,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio mayo 2022,Descuento,Precio referencial con convenio mayo 2022
434,DISULFIRAM,ANTABUS 500mg X24COM.,FARMOQUIMICA DEL PACIFICO,$ 33.999,37%,$ 21.419
435,DOMPERIDONA,IDON (B) 10mg X30CAP.,SAVAL S.A.,$ 13.499,37%,$ 8.504
436,DOMPERIDONA,DOMPERIDONA (B) 10mg X20COM.,LABORATORIO CHILE,$ 1.399,42%,$ 811
437,DOMPERIDONA,RESTOL 10mg/ml GTAS.X20ml,LABORATORIO CHILE,$ 3.499,58%,$ 1.470
438,DONEPECILO,EVIMAL (B) 10mg X30COM.REC.,ANDROMACO FARMA,$ 84.499,15%,$ 71.824
439,DONEPECILO,DOPABEN (B) 10mg X30COM.REC.,LABORATORIO CHILE,$ 46.399,23%,$ 35.727
440,DONEPECILO,DAZOLIN ODT 10mg X30COM.DISP.,RECALCINE,$ 81.999,30%,$ 57.399
441,DONEPECILO,EVOCAZ CD 10mg X30COM.DISP.,SAVAL S.A.,$ 49.799,36%,$ 31.871
442,DONEPECILO,EVOCAZ CD 5mg X30COM.DISP.,SAVAL S.A.,$ 44.999,38%,$ 27.899
443,DONEPECILO,DAZOLIN ODT 5mg X30COM.DISP.,RECALCINE,$ 79.599,40%,$ 47.759
444,DORZOLAMIDA,GLAUCOTENSIL (B) 2% SOL.OFT.5ml,PHARMA INVESTI,$ 22.099,30%,$ 15.469
445,DOXAZOSINA,CARDURA XL 4mg X30COM.,PFIZER,$ 53.599,38%,$ 33.231
446,DOXAZOSINA,ALFADOXIN (B) 4mg X30COM.,LABORATORIO CHILE,$ 13.299,40%,$ 7.979
447,DOXICICLINA,DOXITHAL SR 40mg CAPS.X28,PHARMA INVESTI,$ 23.299,19%,$ 18.872
448,DOXILAMINA + PIRIDOXINA,PLURIAMIN X30COM.PROL.,RECALCINE,$ 19.999,41%,$ 11.799
449,DULOXETINA CLORHIDRATO,NITEXOL 30mg X30CAP.,ANDROMACO FARMA,$ 15.899,15%,$ 13.514
450,DULOXETINA CLORHIDRATO,DUCETEN 60mg X30CAP.,RECALCINE,$ 23.499,24%,$ 17.859
451,DULOXETINA CLORHIDRATO,BINAX (B) 60mg X28CAP.,LABORATORIO CHILE,$ 18.599,25%,$ 13.949
452,DULOXETINA CLORHIDRATO,NITEXOL 60mg X30CAP.,ANDROMACO FARMA,$ 21.699,28%,$ 15.623
453,DULOXETINA CLORHIDRATO,DUCETEN 30mg X30CAP.,RECALCINE,$ 20.499,30%,$ 14.349
454,DULOXETINA CLORHIDRATO,REALTA (B) 60mg X30COM.,SAVAL S.A.,$ 22.099,37%,$ 13.922
455,DULOXETINA CLORHIDRATO,BINAX (B) 30mg X28CAP.,LABORATORIO CHILE,$ 14.099,37%,$ 8.882
456,DULOXETINA CLORHIDRATO,CYMBALTA 30mg X7CAP.,TECNOFARMA LTDA.,$ 16.999,38%,$ 10.539
457,DUTASTERIDA,DUTASVITAE (B) X30CAP.BLANDAS,GALENICUM HEALTH CHILE SPA,$ 38.499,35%,$ 25.024
458,DUTASTERIDA,AVODART 0.5mg X30CAP.BLANDAS,GLAXO,$ 59.599,40%,$ 35.759
459,DUTASTERIDA + TAMSULOSINA,DUODART 0.5mg X30CAP.,GLAXO,$ 47.299,30%,$ 33.109
460,DUTASTERIDA + TAMSULOSINA,GOTELY DUO (B) CAPS.X30,TECNOFARMA LTDA.,$ 31.999,35%,$ 20.799
461,DUTASTERIDA + TAMSULOSINA,PROSTOP-D (B) 0.5/0.4 X30CAP.LS,SAVAL S.A.,$ 21.899,41%,$ 12.920
462,ELETRIPTAN,RELPAX 40mg X2COM.REC.,PFIZER,$ 18.299,50%,$ 9.150
463,EMPAGLIFLOZINA,JARDIANCE 10mg X30COM.REC,BOEHRINGER INGELHEIM,$ 36.499,24%,$ 27.739
464,EMPAGLIFLOZINA,JARDIANCE 25mgX30,BOEHRINGER INGELHEIM,$ 46.299,31%,$ 31.946
465,EMPAGLIFLOZINA+METFORMINA CLORHIDRATO,JARDIANCE DUO 12.5/1000 COM.X60,BOEHRINGER INGELHEIM,$ 47.199,25%,$ 35.399
466,ENALAPRIL,ENALAPRIL (B) 5mg X20COM.,HOSPIFARMA,$ 1.399,30%,$ 979
467,ENALAPRIL,ENALTEN (B) 10mg X30COM.,SAVAL S.A.,$ 18.099,34%,$ 11.945
468,ENALAPRIL,ENALAPRIL (B) 20mg X20COM.,OPKO,$ 1.399,68%,$ 448
469,ENALAPRIL + HIDROCLOROTIAZIDA,ENALTEN D 10/25 X30COM.,SAVAL S.A.,$ 23.999,25%,$ 17.999
470,EPLERENONA,INSPRA 50mg COM.X30,PFIZER,$ 28.999,25%,$ 21.749
471,EPOETINA ALFA HUMANA RECOMBINANTE,HEPTA 4000UI JER.X1,PHARMA INVESTI,$ 12.499,22%,$ 9.749
472,ERGOTAMINA + CAFEINA + CLORFENAMINA + DIPIRONA,CINABEL X10COM.,ANDROMACO FARMA,$ 5.599,20%,$ 4.479
473,ERGOTAMINA + CAFEINA + CLORFENAMINA + DIPIRONA,CEFALMIN X10COM.REC.,SANITAS S.A.,$ 2.899,20%,$ 2.319
474,ESCITALOPRAM,LEXAPRO (R) 20mg X28COM.REC.,LUNDBECK,$ 74.099,16%,$ 62.243
475,ESCITALOPRAM,LEXAPRO (R) 15mg X28COM.REC.,LUNDBECK,$ 53.199,18%,$ 43.623
476,ESCITALOPRAM,ECTIBAN (B) 20mg X30COM.REC.,LABORATORIO CHILE,$ 42.499,24%,$ 32.299
477,ESCITALOPRAM,IPRAN (B) 20mg X30COM.REC.,RECALCINE,$ 48.999,28%,$ 35.279
478,ESCITALOPRAM,ECTIBAN (B) 10mg X30COM.REC.,LABORATORIO CHILE,$ 18.299,30%,$ 12.809
479,ESCITALOPRAM,ESC (B) 10mg X30COM.REC,EUROFARMA CHILE S.A.,$ 13.899,37%,$ 8.756
480,ESCITALOPRAM,ESC (B) 20mg X30COM.REC,EUROFARMA CHILE S.A.,$ 18.999,47%,$ 10.069
481,ESCITALOPRAM,REPOSIL (B) 10mg X30COM.REC.,MEDIPHARM,$ 16.799,49%,$ 8.567
482,ESCITALOPRAM,ESCITALOPRAM (B) 10mg X30 COM.REC,ETHON PHARMACEUTICALS SPA,$ 8.499,65%,$ 2.975
483,ESOMEPRAZOL,EMEZOL (B) 40mg X30COM,ANDROMACO FARMA,$ 27.999,15%,$ 23.799
484,ESOMEPRAZOL,NEXIUM (R) 20mg X28COM.REC.,ASTRA ZENECA DE CHILE LTDA.,$ 25.299,20%,$ 20.239
485,ESOMEPRAZOL,(R) NEXIUM 40mg COMP.X28,ASTRA ZENECA DE CHILE LTDA.,$ 46.299,21%,$ 36.576
486,ESOMEPRAZOL,ESOMEPRAZOL (B) 20mg X30COM.REC,OPKO,$ 5.899,30%,$ 4.129
487,ESOMEPRAZOL,ESOMEPRAZOL (B) 40mg X30COM.,OPKO,$ 5.299,54%,$ 2.438
488,ESPIRONOLACTONA,ESPIRONOLACTONA (B) 25mg X20COM.,ANDROMACO FARMA,$ 2.199,61%,$ 858
489,ESPIRONOLACTONA,ESPIRONOLACTONA (B) 25mg X20COM.,LABORATORIO CHILE,$ 3.099,71%,$ 899
490,ESTERES ETILICOS DEL ACIDO OMEGA 3,OMACOR 1000mg CAP.X28,FERRER,$ 25.299,34%,$ 16.697
491,ESTRADIOL,HORMOGEL PUMP 0.1% GEL TRANS.X35g,SILESIA,$ 17.699,15%,$ 15.044
492,ESTRADIOL,CYCLOBIOL 1mg X30COM.REC.,SILESIA,$ 11.499,15%,$ 9.774
493,ESTRADIOL,SANDRENA 0.1% X28SOB.,MSD-ORGANON,$ 24.899,30%,$ 17.429
494,ESTRADIOL,GINODERM GEL 0.5mg/ PULSACION 95g,ABBOTT ETICO,$ 20.999,30%,$ 14.699
495,ESTRADIOL,PRIMAQUIN 1mg X30COM.REC.,ABBOTT ETICO,$ 15.999,36%,$ 10.239
496,ESTRADIOL,PRIMAQUIN 2mg X30COM.REC.,RECALCINE,$ 17.499,48%,$ 9.099
497,ESTRADIOL + DROSPIRENONA,CLINOMAT X30COM.REC.,RECALCINE,$ 22.999,25%,$ 17.249
498,ESTRADIOL VALERATO,PROGYNOVA (R) 2mg X28GRA.,BAYER ETICO,$ 19.599,41%,$ 11.563
499,ESTRADIOL+NOMEGESTROL,NATUREL COMP.X28,ANDROMACO FARMA,$ 20.999,15%,$ 17.849
500,ESTRIOL,OVESTIN 0.5mg OVUL.X15,ASPEN CHILE,$ 21.299,15%,$ 18.104
501,ESZOPICLONA,VALNOC 2mg X30COM.REC.,RECALCINE,$ 9.999,17%,$ 8.299
502,ESZOPICLONA,NOPTIC 3mg X30COM.REC.,ANDROMACO FARMA,$ 14.399,18%,$ 11.807
503,ESZOPICLONA,PLESSIR 3mg X30COM.REC.,MEDIPHARM,$ 9.099,25%,$ 6.824
504,ESZOPICLONA,VALNOC 3mg X30COM.REC.,RECALCINE,$ 11.999,25%,$ 8.999
505,ESZOPICLONA,NOPTIC 2mg X30COM.REC.,ANDROMACO FARMA,$ 11.499,30%,$ 8.049
506,ESZOPICLONA,ZOPINOM 3mg X30COM.REC.,LABORATORIO CHILE,$ 7.599,30%,$ 5.319
507,ESZOPICLONA,ESZOP 3mg X30COM.REC.,SILESIA,$ 21.999,40%,$ 13.199
508,ESZOPICLONA,NOVO INSOMNIUM 2mg X30COM.REC.,GADORPHARMA SPA,$ 10.999,66%,$ 3.740
509,ESZOPICLONA,NOVO INSOMNIUM 3mg X30COM.REC.,GADORPHARMA SPA,$ 11.799,66%,$ 4.012
510,ETIFOXINA,STRESAM 50mg CAPS.X60,AXON PHARMA,$ 35.399,30%,$ 24.779
511,ETINILESTRADIOL + CLORMADINONA,VIORA CD (B) X28COM.REC.,EXELTIS CHILE,$ 16.899,15%,$ 14.364
512,ETINILESTRADIOL + CLORMADINONA,SERENATA 20 X28COM.REC,SILESIA,$ 20.999,30%,$ 14.699
513,ETINILESTRADIOL + CLORMADINONA,ALIZON 20 (B) X28COM.REC,SAVAL S.A.,$ 17.899,40%,$ 10.739
514,ETINILESTRADIOL + CLORMADINONA,ALIZON (B) X28COM.REC,SAVAL S.A.,$ 17.899,40%,$ 10.739
515,ETINILESTRADIOL + DIENOGEST,GINODIEST (B) COM.X28,ITF (EX LABOMED),$ 12.299,20%,$ 9.839
516,ETINILESTRADIOL + DIENOGEST,NORAH COMP.X28,LABORATORIO CHILE,$ 15.099,25%,$ 11.324
517,ETINILESTRADIOL + DIENOGEST,NICOL (B) 28COM.REC,SAVAL S.A.,$ 15.399,31%,$ 10.625
518,ETINILESTRADIOL + DROSPIRENONA,DAHLIA (B) COMP.X28,ITF (EX LABOMED),$ 19.399,25%,$ 14.549
519,ETINILESTRADIOL + GESTODENO,FEMINOL 20 X21COM.REC.,LABORATORIO CHILE,$ 14.599,20%,$ 11.679
520,ETINILESTRADIOL + GESTODENO,TAMISA 20/75 X21COM.REC.,EUROFARMA CHILE S.A.,$ 6.799,24%,$ 5.167
521,ETINILESTRADIOL + GESTODENO,FEMINOL 20 CD COM.X28,LABORATORIO CHILE,$ 12.499,25%,$ 9.374
522,ETINILESTRADIOL + GESTODENO,TAMISA 30/75 X21GRA.,EUROFARMA CHILE S.A.,$ 7.699,25%,$ 5.774
523,EZETIMIBE,EZETROL 10mg COMP.X30,MSD-ORGANON,$ 43.299,31%,$ 29.876
524,EZETIMIBE,ZETIROL (B) 10mg X28COM.,ASCEND LABORATORIES SPA,$ 34.899,35%,$ 22.684
525,FAMOTIDINA,FAMOTIDINA (B) 40mg X10COM.,LABORATORIO CHILE,$ 1.099,70%,$ 330
526,FENOBARBITAL,FENOBARBITAL 100mg X10COM.,BPH S.A,$ 7.999,21%,$ 6.319
527,FENOFIBRATO,FIBRONIL 200mg CAP.X60,PHARMA INVESTI,$ 46.999,37%,$ 29.609
528,FENOFIBRATO,FIBRONIL 200mg CAPS.X30,PHARMA INVESTI,$ 33.099,41%,$ 19.528
529,FENOFIBRATO DE COLINA,TRILIPIX 135mg X30CAP.PROL.,ABBOTT FARMA,$ 22.999,17%,$ 19.089
530,FENOTEROL + IPRATROPIO BROMURO,BERODUAL SOL.NEBULIZAR X20ml,BOEHRINGER INGELHEIM,$ 29.399,38%,$ 18.227
531,FEXOFENADINA,ALEXIA FORTE 120/180,SAVAL S.A.,$ 28.999,33%,$ 19.429
532,FIERRO (HIDROXIDO FERRICO - SACAROSA),CHELTIN 100mg/5ml X1AMP.,PHARMA INVESTI,$ 23.299,16%,$ 19.571
533,FIERRO GLUCONATO SODICO + AC. FOLICO,CHELTIN FC X30COM.REC.,PHARMA INVESTI,$ 17.199,20%,$ 13.759
534,FIERRO PIROFOSFATO + ACIDO FOLICO,HEMOFOLIC X30CAP.,EXELTIS CHILE,$ 18.199,20%,$ 14.559
535,FIERRO POLIMALTOS + AC. FOLICO + VIT B12,MALTOFER FOL PLUS X30COM.REC.,ANDROMACO FARMA,$ 24.499,30%,$ 17.149
536,FIERRO PROTEINSUCCINILATO,FISIOFER 40mg/15ml JBE.X120ml,ITF (EX LABOMED),$ 12.299,27%,$ 8.978
537,FIERRO SULFATO,FERRIGOT 125mg/ml GTAS.X30ml,PASTEUR,$ 6.899,24%,$ 5.243
538,FIERRO SULFATO,SULFATO FERROSO 125mg/ml GTAS.X30ml,BPH S.A,$ 5.699,50%,$ 2.850
539,FIERRO SULFATO,SULFATO FERROSO 200mg X20COM.,LABORATORIO CHILE,$ 1.899,54%,$ 874
540,FINASTERIDE BAJAS DOSIS,APEPLUS (B) 1mg X30COM.,RECALCINE,$ 26.499,20%,$ 21.199
541,FINASTERIDE BAJAS DOSIS,APEPLUS (B) 1mg X90COM.,RECALCINE,$ 78.999,24%,$ 60.039
542,FINASTERIDE BAJAS DOSIS,FOLIPIL (B) 1mg X30COM.REC.,PHARMA INVESTI,$ 22.699,51%,$ 11.123
543,FLECAINIDA,DIONDEL 100mg COMP.X20,PHARMA INVESTI,$ 16.599,29%,$ 11.785
544,FLUCLOXACILINA,FLUCLOXACILINA 250mg/5ml S.O.X60ml,ANDROMACO FARMA,$ 5.099,56%,$ 2.244
545,FLUCONAZOL,FLUCTIN (B) 150mg X4CAP.,RECALCINE,$ 22.899,60%,$ 9.160
546,FLUCONAZOL,FLUCONAZOL 150mg X4CAP.,LABORATORIO CHILE,$ 6.299,62%,$ 2.394
547,FLUCONAZOL,FLUCONAZOL (B) 150mg X2CAP.,LABORATORIO CHILE,$ 3.899,75%,$ 975
548,FLUDROCORTISONA,FLORINEF 0.1mg COM.X100,ASPEN CHILE,$ 108.499,15%,$ 92.224
549,FLUOXETINA,SOSTAC (B) 20mg X30COM.,LABORATORIO CHILE,$ 17.399,35%,$ 11.309
550,FLUOXETINA,FLUOXETINA (B) 20mg X20COM.,LABORATORIO CHILE,$ 1.599,75%,$ 400
551,FLUPENTIXOL,FLUANXOL DEPOT 20mg/ml AMP.X1,LUNDBECK,$ 25.299,23%,$ 19.480
552,FLUTICASONA,FLUSONA 125mcg INH.X120DS.,RECALCINE,$ 30.999,30%,$ 21.699
553,FLUTICASONA,FLIXOTIDE LF 125mcg INH.X60DS.,GLAXO,$ 44.199,31%,$ 30.497
554,FLUTICASONA,BREXOVENT LF 125mcg INH.X120DS.,ETEX FARMACEUTICA LTDA.,$ 28.399,40%,$ 17.039
555,FLUTICASONA,FLIXOTIDE LF 125mcg INH.X120DS.,GLAXO,$ 53.699,40%,$ 32.219
556,FLUTICASONA NASAL,NEBULEX 50mcg SOL.NAS.X120DS.,LABORATORIO CHILE,$ 20.799,30%,$ 14.559
557,FLUTICASONA NASAL,"ALENYS 27,5mcg SUSP.NAS.X120DS.",ETEX FARMACEUTICA LTDA.,$ 17.999,40%,$ 10.799
558,FLUTICASONA NASAL,FLIXONASE 50mcg INH.X120DS.,GLAXO,$ 44.299,60%,$ 17.720
559,FLUVOXAMINA,LUVOX 100mg X30COM.,ABBOTT FARMA,$ 45.399,32%,$ 30.871
560,FROVATRIPTAN,DOLIPRAN 2.5mg X6COM.,RECALCINE,$ 11.999,15%,$ 10.199
561,FUROSEMIDA,FUROSEMIDA (B) 40mg X12COM.,LABORATORIO CHILE,$ 1.299,70%,$ 390
562,FUROSEMIDA + AMILORIDA,HIDRIUM 5mg COMP.X20,SAVAL S.A.,$ 14.599,44%,$ 8.175
563,GABA + GABOB + ACETILGUTAMINA + VIT.B6,MEMOREX X60CAP.,RECALCINE,$ 32.999,40%,$ 19.799
564,GABA + GABOB + BGM + VIT.B6,GAMALATE B6 X30GRA.,ANDROMACO FARMA,$ 24.999,15%,$ 21.249
565,GABA + GABOB + BGM + VIT.B6,GAMALATE B6 X60GRA.,ANDROMACO FARMA,$ 38.099,30%,$ 26.669
566,GABA + GABOB + BGM + VIT.B6,GAMALATE B6 JBE.X80ml,ANDROMACO FARMA,$ 29.999,37%,$ 18.899
567,GABAPENTINA,(B) RITMENAL 300mg CAPS.X30,SANITAS S.A.,$ 25.599,22%,$ 19.967
568,GABAPENTINA,(B) RITMENAL 400mg CAPS.X30,SANITAS S.A.,$ 30.899,27%,$ 22.556
569,GEMFIBROZILO,GEMFIBROZILO (B) 600mg X20COM.,LABORATORIO CHILE,$ 4.999,40%,$ 2.999
570,GEMFIBROZILO,GEMFIBROZILO (B) 300mg X30COM.REC.,LABORATORIO CHILE,$ 4.299,41%,$ 2.536
571,GENTAMICINA OFTALMICA COLIRIO,GENTAMICINA 0.3% SOF.X5ml,OPKO,$ 2.399,70%,$ 720
572,GENTAMICINA OFTALMICA UNGUENTO,OFTAGEN UNGTO.OFT.3.5g,SAVAL S.A.,$ 12.199,28%,$ 8.783
573,GENTAMICINA OFTALMICA UNGUENTO,GENTAMICINA 0.3% UNG.OF.X3.5g,ETHON PHARMACEUTICALS SPA,$ 6.699,48%,$ 3.483
574,GENTAMICINA SISTEMICA,GENTAMICINA 80mg X5AMP.,BIOSANO,$ 3.599,24%,$ 2.735
575,GINKGO BILOBA,GINKGO MAX 80mg X120CAP.,GARDEN HOUSE,$ 16.199,25%,$ 12.149
576,GINKGO BILOBA,GINKGO MAX 80mg X30CAP.,GARDEN HOUSE,$ 6.399,25%,$ 4.799
577,GINSENG + GINKGO,MENTANIA X30CAP.BLANDAS,SAVAL S.A.,$ 15.299,11%,$ 13.616
578,GLIBENCLAMIDA,GLIBENCLAMIDA (B) 5mg X60COM.,LABORATORIO CHILE,$ 1.499,55%,$ 675
579,GLICAZIDA,DIAMICRON MR 60mg COMP.X30,FERRER,$ 32.599,27%,$ 23.797
580,GLIMEPIRIDA,GLEMAZ 4mg COMP.X30,BAGO,$ 35.299,20%,$ 28.239
581,GLUCOSA + SODIO + POTASIO + CLORURO + CI,REHSAL 60 X2SOB.,LABORATORIO CHILE,$ 4.499,39%,$ 2.744
582,GLUCOSA + SODIO + POTASIO + CLORURO + CI,SALES DE REHIDRATACION 60 X8SOB.,OPKO,$ 7.499,64%,$ 2.700
583,GLUCOSA + SODIO + POTASIO + CLORURO + CI,SALES DE REHIDRATACION 90 X4SOB.,OPKO,$ 7.499,64%,$ 2.700
584,GLUCOSA INYECTABLE,GLUCOSA 5% X500ml,HOSPIFARMA,$ 1.799,50%,$ 900
585,GLUCOSAMINA + CONDROITINA,FINARTRIT X60COM.,GARDEN HOUSE,$ 15.399,25%,$ 11.549
586,GLUCOSAMINA + CONDROITINA,HIPERFLEX UD 4.7g X35SOB.,RECALCINE,$ 42.699,30%,$ 29.889
587,GLUCOSAMINA + CONDROITINA,FINARTRIT FORTE BLISTER X60COM.,GARDEN HOUSE,$ 25.699,38%,$ 15.933
588,GLUCOSAMINA + CONDROITINA,DINAFLEX DUO X60CAP.,TECNOFARMA LTDA.,$ 25.999,39%,$ 15.859
589,GLUCOSAMINA + CONDROITINA,FINARTRIT NARANJA PVO.X30SOB.,GARDEN HOUSE,$ 29.299,44%,$ 16.407
590,GOSERELINA,GOVOLYX 10.8mg IMPLANTE SUBCUTANEO LP X1,EUROFARMA CHILE S.A.,$ 211.599,10%,$ 190.439
591,HALOPERIDOL,HALDOL (R) 5mg X25COM.,JANSSEN,$ 13.199,20%,$ 10.559
592,HALOPERIDOL,HALOPERIDOL (B) 5mg X20COM.,SYNTHON,$ 6.999,33%,$ 4.689
593,HALOPERIDOL,HALOPERIDOL (B) 1mg X30COM.,SYNTHON,$ 4.999,48%,$ 2.599
594,HEDERA HELIX,AEROMED 35mg/5ml JBE.X100ml,MEDIPHARM,$ 4.099,25%,$ 3.074
595,HEDERA HELIX,HIEDRIX 35mg/5ml JBE.X100ml,LABORATORIO CHILE,$ 4.499,73%,$ 1.215
596,HEPARINA,FRAGMIN 10000UI/4ml X1JP.,PFIZER,$ 12.499,16%,$ 10.499
597,HEPARINA,FRAGMIN 2500UI/0.2ml XJP.,PFIZER,$ 11.199,27%,$ 8.175
598,HEPARINA,FRAGMIN 5000UI/0.2ml X1JP.,PFIZER,$ 27.399,52%,$ 13.152
599,HIDRALAZINA,HIDRALAZINA (B) 50mg X20COM.,HOSPIFARMA,$ 3.199,67%,$ 1.056
600,HIDROCLOROTIAZIDA,HIDRORONOL 50mg X24COM.,ITF (EX LABOMED),$ 5.299,18%,$ 4.345
601,HIDROCLOROTIAZIDA,HIDROCLOROTIAZIDA (B) 50mg X20COM.,LABORATORIO CHILE,$ 1.799,64%,$ 648
602,HIDROCLOROTIAZIDA + TRIAMTERENO,UREN X24COM.,LABORATORIO CHILE,$ 5.599,35%,$ 3.639
603,HIDROCORTISONA,HIDROCORTISONA 20mg X20COM.,LABORATORIO CHILE,$ 6.699,32%,$ 4.555
604,HIDROCORTISONA DERMICA,PROCTORAN CR.X30g,FAES FARMA CHILE,$ 14.199,27%,$ 10.365
605,HIDROCORTISONA DERMICA,PANDEL CR.X15g,ANDROMACO FARMA,$ 25.099,30%,$ 17.569
606,HIDROCORTISONA SUCCINATO SODICO,SOLU CORTEF 100mg X1F-A,PFIZER,$ 11.899,55%,$ 5.355
607,HIDROXICLOROQUINA,ILINOL (B) 200mg X30COM.REC.,PHARMA INVESTI,$ 30.899,42%,$ 17.921
608,HIDROXIZINA,FASARAX 20mg COMP.X20,PRATER,$ 2.899,30%,$ 2.029
609,HIDROXIZINA,FASARAX (B) 10mg/5ml JBE.120ml,PRATER,$ 3.399,47%,$ 1.801
610,HIPROMELOSA + DEXTRAN 70,KLINER 0.3% SOL.OFT.15ml,SANITAS S.A.,$ 8.299,49%,$ 4.232
611,HOMEOPATIA NO ESPECIFICADA,ARTHROZEEL X50COM.SUBL.,HEEL,$ 16.199,26%,$ 11.987
612,HOMEOPATIA NO ESPECIFICADA,NERVOHEEL N COMP.X50,HEEL,$ 16.499,30%,$ 11.549
613,HOMEOPATIA NO ESPECIFICADA,COENZIME COMPOSITUM AMP.X5,HEEL,$ 21.199,33%,$ 14.203
614,HOMEOPATIA NO ESPECIFICADA,ARTHROZEEL INY.X5AMP.,HEEL,$ 22.399,40%,$ 13.439
615,HOMEOPATIA NO ESPECIFICADA,GASTRICUMEEL X50COM.SUBL.,HEEL,$ 20.599,46%,$ 11.123
616,HOMEOPATIA NO ESPECIFICADA,GRIPP HELL COMP.X50,HEEL,$ 20.999,47%,$ 11.129
617,HOMEOPATIA NO ESPECIFICADA,LYMPHOMYOSOT INY.X5AMP.,HEEL,$ 19.099,49%,$ 9.740
618,IBANDRONATO + CALCIO + VIT D,IBAMES CD X30CAP.,ANDROMACO FARMA,$ 31.399,19%,$ 25.433
619,IBANDRONATO + CALCIO + VIT D,DRONAVAL PACK BITERAPIA,SAVAL S.A.,$ 26.999,22%,$ 21.059
620,IBANDRONATO + CALCIO + VIT D,DARMAS CAD X1/30CAP.,LABORATORIO CHILE,$ 30.199,24%,$ 22.951
621,IBANDRONATO SODICO MONOH,IBANOX (B) 150mg X1COM.REC.,PASTEUR,$ 23.999,20%,$ 19.199
622,IBANDRONATO SODICO MONOH,IBAMES (B) 150mg X1COM.REC.,ANDROMACO FARMA,$ 37.499,30%,$ 26.249
623,IBUPROFENO,DEUCODOL 100mg/5ml S.O.X120ml,MEDIPHARM,$ 3.999,40%,$ 2.399
624,IBUPROFENO,DEUCODOL FTE.200mg/5ml S.O.X120ml,MEDIPHARM,$ 5.799,60%,$ 2.320
625,IBUPROFENO,IBUPROFENO (B) 400mg X20COM.,LABORATORIO CHILE,$ 1.599,70%,$ 480
626,IBUPROFENO,IBUPROFENO 200mg/5ml S.O X100ml,OPKO,$ 4.099,83%,$ 697
627,IBUPROFENO + DIPIRONA + CLORMEZANONA,DOLNIX X10COM.,RECALCINE,$ 16.499,49%,$ 8.414
628,IMIPRAMINA,IMIPRAMINA (B) 25mg X40COM.,LABORATORIO CHILE,$ 1.999,45%,$ 1.099
629,INDACATEROL + GLICOPIRRONIO,ULTIBRO BREEZHALER X30CAP.,NOVARTIS CHILE S.A.,$ 59.999,26%,$ 44.399
630,INDAPAMIDA,NATRILIX SR COMP.X30,FERRER,$ 27.299,16%,$ 22.931
631,INDAPAMIDA,INDAPRESS 2.5mg COMP.X30,ITF (EX LABOMED),$ 30.699,22%,$ 23.945
632,INSULINA GLARGINA,LANTUS 100UI/ml CARTUCHOS 3ml X1,AVENTIS,$ 25.799,17%,$ 21.413
633,INSULINA GLARGINA,TOUJEO 300UI/ml LAP.PRELL.1.5ml X1,AVENTIS,$ 35.499,38%,$ 22.009
634,INSULINA GLARGINA,LANTUS SOLOSTAR 100UI CARTR.X1,SANOFI,$ 24.999,46%,$ 13.499
635,"INSULINA ISOFANA (NPH, ZINC Y PROTAMINA)",INSULATARD HM 100UI/ml PENFILL 3ml X5F-A,NOVONORDISK,$ 62.899,28%,$ 45.287
636,"INSULINA ISOFANA (NPH, ZINC Y PROTAMINA)",INSULATARD HM 100UI/ml 10ml X1F-A,NOVONORDISK,$ 39.399,60%,$ 15.760
637,INSULINA REGULAR (ZINC CRISTALIZADA),ACTRAPID HM 100UI/ml PENFILL 3ml X5F-A,NOVONORDISK,$ 58.999,26%,$ 43.659
638,INSULINA REGULAR (ZINC CRISTALIZADA),ACTRAPID HM 100UI/ml 10ml X1F-A,NOVONORDISK,$ 35.499,50%,$ 17.750
639,IPRATROPIO BROMURO,ATROVENT 0.025% NEB.X20ml,BOEHRINGER INGELHEIM,$ 21.299,40%,$ 12.779
640,IPRATROPIO BROMURO,AEROTROP HFA 20mcg INH.X250DS.,D&M PHARMA S.A.,$ 14.699,54%,$ 6.762
641,IPRATROPIO BROMURO,BROMURO IPRATROPIO 0.25mg/ml SOL.X20ml,BPH S.A,$ 11.199,60%,$ 4.480
642,IPRATROPIO BROMURO,IPRASYNT HFA 20mcg INH.X200DS.,FARMAPRECIO,$ 8.499,60%,$ 3.400
643,IPRATROPIO BROMURO DE USO NASAL,ATROVENT 0.03% SOL.NAS.X15ml,CHC SANOFI OTC,$ 15.899,30%,$ 11.129
644,IRBESARTAN,IRBEVITAE (B) 150mg X28COM.REC,GALENICUM HEALTH CHILE SPA,$ 25.299,20%,$ 20.239
645,IRBESARTAN,IRBEVITAE (B) 300mg X28COM.REC,GALENICUM HEALTH CHILE SPA,$ 26.699,20%,$ 21.359
646,IRBESARTAN,APROVEL (R) 150mg X28COM.,AVENTIS,$ 46.199,20%,$ 36.959
647,IRBESARTAN + HIDROCLOROTIAZIDA,"COAPROVEL 150/12,5 X28COM.",AVENTIS,$ 44.099,41%,$ 26.018
648,IRBESARTAN + HIDROCLOROTIAZIDA,"COAPROVEL 300/12,5 X28COM.",AVENTIS,$ 47.799,46%,$ 25.811
649,ISOSORBIDE DINITRATO,ISOSORBIDA 10mg X60COM.,HOSPIFARMA,$ 4.699,67%,$ 1.551
