,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio abril 2022,Descuento,Precio referencial con convenio abril 2022
462,EMPAGLIFLOZINA,JARDIANCE 10mg X30COM.REC,BOEHRINGER INGELHEIM,$33.999,24%,$25.839
463,EMPAGLIFLOZINA,JARDIANCE 25mgX30,BOEHRINGER INGELHEIM,$43.099,31%,$29.738
464,EMPAGLIFLOZINA+METFORMINA CLORHIDRATO,JARDIANCE DUO 12.5/1000 COM.X60,BOEHRINGER INGELHEIM,$43.999,25%,$32.999
465,ENALAPRIL,ENALAPRIL (B) 5mg X20COM.,HOSPIFARMA,$1.399,30%,$979
466,ENALAPRIL,ENALTEN (B) 10mg X30COM.,SAVAL S.A.,$17.199,34%,$11.351
467,ENALAPRIL,ENALAPRIL (B) 20mg X20COM.,OPKO,$1.299,68%,$416
468,ENALAPRIL + HIDROCLOROTIAZIDA,ENALTEN D 10/25 X30COM.,SAVAL S.A.,$22.799,25%,$17.099
469,EPLERENONA,INSPRA 50mg COM.X30,PFIZER,$28.999,25%,$21.749
470,EPOETINA ALFA HUMANA RECOMBINANTE,HEPTA 4000UI JER.X1,PHARMA INVESTI,$12.499,22%,$9.749
471,ERGOTAMINA + CAFEINA + CLORFENAMINA + DIPIRONA,CINABEL X10COM.,ANDROMACO FARMA,$5.299,20%,$4.239
472,ERGOTAMINA + CAFEINA + CLORFENAMINA + DIPIRONA,CEFALMIN X10COM.REC.,SANITAS S.A.,$2.799,20%,$2.239
473,ESCITALOPRAM,LEXAPRO (R) 20mg X28COM.REC.,LUNDBECK,$72.199,16%,$60.647
474,ESCITALOPRAM,LEXAPRO (R) 15mg X28COM.REC.,LUNDBECK,$51.799,18%,$42.475
475,ESCITALOPRAM,ECTIBAN (B) 20mg X30COM.REC.,LABORATORIO CHILE,$42.499,24%,$32.299
476,ESCITALOPRAM,IPRAN (B) 20mg X30COM.REC.,RECALCINE,$48.999,28%,$35.279
477,ESCITALOPRAM,ECTIBAN (B) 10mg X30COM.REC.,LABORATORIO CHILE,$18.299,30%,$12.809
478,ESCITALOPRAM,ESC (B) 10mg X30COM.REC,EUROFARMA CHILE S.A.,$13.899,37%,$8.756
479,ESCITALOPRAM,ESC (B) 20mg X30COM.REC,EUROFARMA CHILE S.A.,$18.999,47%,$10.069
480,ESCITALOPRAM,REPOSIL (B) 10mg X30COM.REC.,MEDIPHARM,$16.799,49%,$8.567
481,ESCITALOPRAM,ESCITALOPRAM (B) 10mg X30COM.REC.,LABORATORIO CHILE,$8.499,69%,$2.635
482,ESOMEPRAZOL,EMEZOL (B) 40mg X30COM,ANDROMACO FARMA,$26.899,15%,$22.864
483,ESOMEPRAZOL,NEXIUM (R) 20mg X28COM.REC.,ASTRA ZENECA DE CHILE LTDA.,$23.999,20%,$19.199
484,ESOMEPRAZOL,(R) NEXIUM 40mg COMP.X28,ASTRA ZENECA DE CHILE LTDA.,$43.899,21%,$34.680
485,ESOMEPRAZOL,ESOMEPRAZOL (B) 20mg X30COM.REC,OPKO,$5.599,30%,$3.919
486,ESOMEPRAZOL,ESOMEPRAZOL (B) 40mg X30COM.,OPKO,$4.999,54%,$2.300
487,ESPIRONOLACTONA,ESPIRONOLACTONA (B) 25mg X20COM.,ANDROMACO FARMA,$2.199,61%,$858
488,ESPIRONOLACTONA,ESPIRONOLACTONA (B) 25mg X20COM.,LABORATORIO CHILE,$3.099,71%,$899
489,ESTERES ETILICOS DEL ACIDO OMEGA 3,OMACOR 1000mg CAP.X28,FERRER,$25.299,34%,$16.697
490,ESTRADIOL,HORMOGEL PUMP 0.1% GEL TRANS.X35g,SILESIA,$16.999,15%,$14.449
491,ESTRADIOL,CYCLOBIOL 1mg X30COM.REC.,SILESIA,$11.099,15%,$9.434
492,ESTRADIOL,SANDRENA 0.1% X28SOB.,MSD- ORGANON,$24.899,30%,$17.429
493,ESTRADIOL,GINODERM GEL 0.5mg/ PULSACION 95g,ABBOTT ETICO,$20.999,30%,$14.699
494,ESTRADIOL,PRIMAQUIN 1mg X30COM.REC.,ABBOTT ETICO,$15.599,36%,$9.983
495,ESTRADIOL,PRIMAQUIN 2mg X30COM.REC.,RECALCINE,$17.099,48%,$8.891
496,ESTRADIOL + DROSPIRENONA,CLINOMAT X30COM.REC.,RECALCINE,$22.499,25%,$16.874
497,ESTRADIOL VALERATO,PROGYNOVA (R) 2mg X28GRA.,BAYER ETICO,$19.599,41%,$11.563
498,ESTRADIOL+NOMEGESTROL,NATUREL COMP.X28,ANDROMACO FARMA,$20.299,15%,$17.254
