,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio abril 2022,Descuento,Precio referencial con convenio abril 2022
462,EMPAGLIFLOZINA,JARDIANCE 10mg X30COM.REC,BOEHRINGER INGELHEIM,$33.999,24%,$25.839
463,EMPAGLIFLOZINA,JARDIANCE 25mgX30,BOEHRINGER INGELHEIM,$43.099,31%,$29.738
464,EMPAGLIFLOZINA+METFORMINA CLORHIDRATO,JARDIANCE DUO 12.5/1000 COM.X60,BOEHRINGER INGELHEIM,$43.999,25%,$32.999
465,ENALAPRIL,ENALAPRIL (B) 5mg X20COM.,HOSPIFARMA,$1.399,30%,$979
466,ENALAPRIL,ENALTEN (B) 10mg X30COM.,SAVAL S.A.,$17.199,34%,$11.351
467,ENALAPRIL,ENALAPRIL (B) 20mg X20COM.,OPKO,$1.299,68%,$416
468,ENALAPRIL + HIDROCLOROTIAZIDA,ENALTEN D 10/25 X30COM.,SAVAL S.A.,$22.799,25%,$17.099
469,EPLERENONA,INSPRA 50mg COM.X30,PFIZER,$28.999,25%,$21.749
470,EPOETINA ALFA HUMANA RECOMBINANTE,HEPTA 4000UI JER.X1,PHARMA INVESTI,$12.499,22%,$9.749
471,ERGOTAMINA + CAFEINA + CLORFENAMINA + DIPIRONA,CINABEL X10COM.,ANDROMACO FARMA,$5.299,20%,$4.239
472,ERGOTAMINA + CAFEINA + CLORFENAMINA + DIPIRONA,CEFALMIN X10COM.REC.,SANITAS S.A.,$2.799,20%,$2.239
473,ESCITALOPRAM,LEXAPRO (R) 20mg X28COM.REC.,LUNDBECK,$72.199,16%,$60.647
474,ESCITALOPRAM,LEXAPRO (R) 15mg X28COM.REC.,LUNDBECK,$51.799,18%,$42.475
475,ESCITALOPRAM,ECTIBAN (B) 20mg X30COM.REC.,LABORATORIO CHILE,$42.499,24%,$32.299
476,ESCITALOPRAM,IPRAN (B) 20mg X30COM.REC.,RECALCINE,$48.999,28%,$35.279
477,ESCITALOPRAM,ECTIBAN (B) 10mg X30COM.REC.,LABORATORIO CHILE,$18.299,30%,$12.809
478,ESCITALOPRAM,ESC (B) 10mg X30COM.REC,EUROFARMA CHILE S.A.,$13.899,37%,$8.756
479,ESCITALOPRAM,ESC (B) 20mg X30COM.REC,EUROFARMA CHILE S.A.,$18.999,47%,$10.069
480,ESCITALOPRAM,REPOSIL (B) 10mg X30COM.REC.,MEDIPHARM,$16.799,49%,$8.567
481,ESCITALOPRAM,ESCITALOPRAM (B) 10mg X30COM.REC.,LABORATORIO CHILE,$8.499,69%,$2.635
482,ESOMEPRAZOL,EMEZOL (B) 40mg X30COM,ANDROMACO FARMA,$26.899,15%,$22.864
483,ESOMEPRAZOL,NEXIUM (R) 20mg X28COM.REC.,ASTRA ZENECA DE CHILE LTDA.,$23.999,20%,$19.199
484,ESOMEPRAZOL,(R) NEXIUM 40mg COMP.X28,ASTRA ZENECA DE CHILE LTDA.,$43.899,21%,$34.680
485,ESOMEPRAZOL,ESOMEPRAZOL (B) 20mg X30COM.REC,OPKO,$5.599,30%,$3.919
486,ESOMEPRAZOL,ESOMEPRAZOL (B) 40mg X30COM.,OPKO,$4.999,54%,$2.300
487,ESPIRONOLACTONA,ESPIRONOLACTONA (B) 25mg X20COM.,ANDROMACO FARMA,$2.199,61%,$858
488,ESPIRONOLACTONA,ESPIRONOLACTONA (B) 25mg X20COM.,LABORATORIO CHILE,$3.099,71%,$899
489,ESTERES ETILICOS DEL ACIDO OMEGA 3,OMACOR 1000mg CAP.X28,FERRER,$25.299,34%,$16.697
490,ESTRADIOL,HORMOGEL PUMP 0.1% GEL TRANS.X35g,SILESIA,$16.999,15%,$14.449
491,ESTRADIOL,CYCLOBIOL 1mg X30COM.REC.,SILESIA,$11.099,15%,$9.434
492,ESTRADIOL,SANDRENA 0.1% X28SOB.,MSD- ORGANON,$24.899,30%,$17.429
493,ESTRADIOL,GINODERM GEL 0.5mg/ PULSACION 95g,ABBOTT ETICO,$20.999,30%,$14.699
494,ESTRADIOL,PRIMAQUIN 1mg X30COM.REC.,ABBOTT ETICO,$15.599,36%,$9.983
495,ESTRADIOL,PRIMAQUIN 2mg X30COM.REC.,RECALCINE,$17.099,48%,$8.891
496,ESTRADIOL + DROSPIRENONA,CLINOMAT X30COM.REC.,RECALCINE,$22.499,25%,$16.874
497,ESTRADIOL VALERATO,PROGYNOVA (R) 2mg X28GRA.,BAYER ETICO,$19.599,41%,$11.563
498,ESTRADIOL+NOMEGESTROL,NATUREL COMP.X28,ANDROMACO FARMA,$20.299,15%,$17.254
499,ESTRIOL,OVESTIN 0.5mg OVUL.X15,ASPEN CHILE,$21.299,15%,$18.104
500,ESZOPICLONA,VALNOC 2mg X30COM.REC.,RECALCINE,$9.499,17%,$7.884
501,ESZOPICLONA,NOPTIC 3mg X30COM.REC.,ANDROMACO FARMA,$13.899,18%,$11.397
502,ESZOPICLONA,PLESSIR 3mg X30COM.REC.,MEDIPHARM,$9.099,25%,$6.824
503,ESZOPICLONA,VALNOC 3mg X30COM.REC.,RECALCINE,$11.999,25%,$8.999
504,ESZOPICLONA,NOPTIC 2mg X30COM.REC.,ANDROMACO FARMA,$11.099,30%,$7.769
505,ESZOPICLONA,ZOPINOM 3mg X30COM.REC.,LABORATORIO CHILE,$7.599,30%,$5.319
506,ESZOPICLONA,ESZOP 3mg X30COM.REC.,SILESIA,$21.299,40%,$12.779
507,ESZOPICLONA,NOVO INSOMNIUM 2mg X30COM.REC.,GADORPHARMA SPA,$10.999,66%,$3.740
508,ESZOPICLONA,NOVO INSOMNIUM 3mg X30COM.REC.,GADORPHARMA SpA,$11.799,66%,$4.012
509,ETIFOXINA,STRESAM 50mg CAPS.X60,AXON PHARMA,$32.999,30%,$23.099
510,ETINILESTRADIOL + CLORMADINONA,VIORA CD (B) X28COM.REC.,EXELTIS CHILE,$16.899,15%,$14.364
511,ETINILESTRADIOL + CLORMADINONA,SERENATA 20 X28COM.REC,SILESIA,$20.499,30%,$14.349
512,ETINILESTRADIOL + CLORMADINONA,ALIZON 20 (B) X28COM.REC,SAVAL S.A.,$16.999,40%,$10.199
513,ETINILESTRADIOL + CLORMADINONA,ALIZON (B) X28COM.REC,SAVAL S.A.,$16.999,40%,$10.199
514,ETINILESTRADIOL + DIENOGEST,GINODIEST (B) COM.X28,ITF (EX LABOMED),$12.299,20%,$9.839
515,ETINILESTRADIOL + DIENOGEST,NORAH COMP.X28,LABORATORIO CHILE,$15.099,25%,$11.324
516,ETINILESTRADIOL + DIENOGEST,NICOL (B) 28COM.REC,SAVAL S.A.,$14.699,31%,$10.142
517,ETINILESTRADIOL + DROSPIRENONA,DAHLIA (B) COMP.X28,ITF (EX LABOMED),$19.399,25%,$14.549
518,ETINILESTRADIOL + GESTODENO,FEMINOL 20 X21COM.REC.,LABORATORIO CHILE,$14.599,20%,$11.679
519,ETINILESTRADIOL + GESTODENO,TAMISA 20/75 X21COM.REC.,EUROFARMA CHILE S.A.,$6.799,24%,$5.167
520,ETINILESTRADIOL + GESTODENO,FEMINOL 20 CD COM.X28,LABORATORIO CHILE,$12.499,25%,$9.374
521,ETINILESTRADIOL + GESTODENO,TAMISA 30/75 X21GRA.,EUROFARMA CHILE S.A.,$7.699,25%,$5.774
522,EZETIMIBE,EZETROL 10mg COMP.X30,MSD- ORGANON,$43.299,31%,$29.876
523,EZETIMIBE,ZETIROL (B) 10mg X28COM.,ASCEND LABORATORIES SPA,$34.899,35%,$22.684
524,FAMOTIDINA,FAMOTIDINA (B) 40mg X10COM.,LABORATORIO CHILE,$1.099,70%,$330
525,FENOBARBITAL,FENOBARBITAL 100mg X10COM.,BPH S.A,$7.999,21%,$6.319
526,FENOFIBRATO,FIBRONIL 200mg CAP.X60,PHARMA INVESTI,$46.999,37%,$29.609
527,FENOFIBRATO,FIBRONIL 200mg CAPS.X30,PHARMA INVESTI,$33.099,41%,$19.528
528,FENOFIBRATO DE COLINA,TRILIPIX 135mg X30CAP.PROL.,ABBOTT FARMA,$22.499,17%,$18.674
529,FENOTEROL + IPRATROPIO BROMURO,BERODUAL SOL.NEBULIZAR X20ml,BOEHRINGER INGELHEIM,$27.399,38%,$16.987
530,FEXOFENADINA,ALEXIA FORTE 120/180,SAVAL S.A.,$29.399,33%,$19.697
531,FIERRO (HIDROXIDO FERRICO - SACAROSA),CHELTIN 100mg/5ml X1AMP.,PHARMA INVESTI,$23.299,16%,$19.571
532,FIERRO GLUCONATO SODICO + AC. FOLICO,CHELTIN FC X30COM.REC.,PHARMA INVESTI,$17.199,20%,$13.759
533,FIERRO PIROFOSFATO + ACIDO FOLICO,HEMOFOLIC X30CAP.,EXELTIS CHILE,$18.199,20%,$14.559
534,FIERRO POLIMALTOS + AC. FOLICO + VIT B12,MALTOFER FOL PLUS X30COM.REC.,ANDROMACO FARMA,$23.699,30%,$16.589
535,FIERRO PROTEINSUCCINILATO,FISIOFER 40mg/15ml JBE.X120ml,ITF (EX LABOMED),$12.299,27%,$8.978
536,FIERRO SULFATO,FERRIGOT 125mg/ml GTAS.X30ml,PASTEUR,$6.899,24%,$5.243
537,FIERRO SULFATO,SULFATO FERROSO 125mg/ml GTAS.X30ml,BPH S.A,$5.699,50%,$2.850
538,FIERRO SULFATO,SULFATO FERROSO 200mg X20COM.,LABORATORIO CHILE,$1.899,54%,$874
539,FINASTERIDE BAJAS DOSIS,APEPLUS (B) 1mg X30COM.,RECALCINE,$26.499,20%,$21.199
540,FINASTERIDE BAJAS DOSIS,APEPLUS (B) 1mg X90COM.,RECALCINE,$78.999,24%,$60.039
541,FINASTERIDE BAJAS DOSIS,FOLIPIL (B) 1mg X30COM.REC.,PHARMA INVESTI,$21.599,51%,$10.584
542,FLECAINIDA,DIONDEL 100mg COMP.X20,PHARMA INVESTI,$15.799,29%,$11.217
543,FLUCLOXACILINA,FLUCLOXACILINA 250mg/5ml S.O.X60ml,ANDROMACO FARMA,$5.099,56%,$2.244
544,FLUCONAZOL,FLUCTIN (B) 150mg X4CAP.,RECALCINE,$22.899,60%,$9.160
545,FLUCONAZOL,FLUCONAZOL 150mg X4CAP.,LABORATORIO CHILE,$6.299,62%,$2.394
546,FLUCONAZOL,FLUCONAZOL (B) 150mg X2CAP.,LABORATORIO CHILE,$3.899,75%,$975
547,FLUDROCORTISONA,FLORINEF 0.1mg COM.X100,ASPEN CHILE,$108.499,15%,$92.224
548,FLUOXETINA,SOSTAC (B) 20mg X30COM.,LABORATORIO CHILE,$17.399,35%,$11.309
549,FLUOXETINA,FLUOXETINA (B) 20mg X20COM.,LABORATORIO CHILE,$1.599,75%,$400
550,FLUPENTIXOL,FLUANXOL DEPOT 20mg/ml AMP.X1,LUNDBECK,$24.599,23%,$18.941
551,FLUTICASONA,FLUSONA 125mcg INH.X120DS.,RECALCINE,$29.999,30%,$20.999
552,FLUTICASONA,FLIXOTIDE LF 125mcg INH.X60DS.,GLAXO,$44.199,31%,$30.497
553,FLUTICASONA,BREXOVENT LF 125mcg INH.X120DS.,ETEX FARMACEUTICA LTDA.,$28.399,40%,$17.039
554,FLUTICASONA,FLIXOTIDE LF 125mcg INH.X120DS.,GLAXO,$52.099,40%,$31.259
555,FLUTICASONA NASAL,NEBULEX 50mcg SOL.NAS.X120DS.,LABORATORIO CHILE,$20.799,30%,$14.559
556,FLUTICASONA NASAL,"ALENYS 27,5mcg SUSP.NAS.X120DS.",ETEX FARMACEUTICA LTDA.,$17.999,40%,$10.799
557,FLUTICASONA NASAL,FLIXONASE 50mcg INH.X120DS.,GLAXO,$44.299,60%,$17.720
558,FLUVOXAMINA,LUVOX 100mg X30COM.,ABBOTT FARMA,$43.999,32%,$29.919
559,FROVATRIPTAN,DOLIPRAN 2.5mg X6COM.,RECALCINE,$11.999,15%,$10.199
560,FUROSEMIDA,FUROSEMIDA (B) 40mg X12COM.,LABORATORIO CHILE,$1.299,70%,$390
561,FUROSEMIDA + AMILORIDA,HIDRIUM 5mg COMP.X20,SAVAL S.A.,$13.699,44%,$7.671
562,GABA + GABOB + ACETILGUTAMINA + VIT.B6,MEMOREX X60CAP.,RECALCINE,$32.999,40%,$19.799
563,GABA + GABOB + BGM + VIT.B6,GAMALATE B6 X30GRA.,ANDROMACO FARMA,$24.199,15%,$20.569
564,GABA + GABOB + BGM + VIT.B6,GAMALATE B6 X60GRA.,ANDROMACO FARMA,$36.799,30%,$25.759
565,GABA + GABOB + BGM + VIT.B6,GAMALATE B6 JBE.X80ml,ANDROMACO FARMA,$29.099,37%,$18.332
566,GABAPENTINA,(B) RITMENAL 300mg CAPS.X30,SANITAS S.A.,$25.599,22%,$19.967
567,GABAPENTINA,(B) RITMENAL 400mg CAPS.X30,SANITAS S.A.,$30.899,27%,$22.556
568,GEMFIBROZILO,GEMFIBROZILO (B) 600mg X20COM.,LABORATORIO CHILE,$4.999,40%,$2.999
569,GEMFIBROZILO,GEMFIBROZILO (B) 300mg X30COM.REC.,LABORATORIO CHILE,$4.299,41%,$2.536
570,GENTAMICINA OFTALMICA COLIRIO,GENTAMICINA 0.3% SOF.X5ml,OPKO,$2.199,70%,$660
571,GENTAMICINA OFTALMICA UNGUENTO,OFTAGEN UNGTO.OFT.3.5g,SAVAL S.A.,$11.799,28%,$8.495
572,GENTAMICINA OFTALMICA UNGUENTO,GENTAMICINA 0.3% UNG.OF.X3.5g,ETHON PHARMACEUTICALS SPA,$6.699,48%,$3.483
573,GENTAMICINA SISTEMICA,GENTAMICINA 80mg X5AMP.,BIOSANO,$3.599,24%,$2.735
574,GINKGO BILOBA,GINKGO MAX 80mg X120CAP.,GARDEN HOUSE,$16.199,25%,$12.149
575,GINKGO BILOBA,GINKGO MAX 80mg X30CAP.,GARDEN HOUSE,$6.399,25%,$4.799
576,GINSENG + GINKGO,MENTANIA X30CAP.BLANDAS,SAVAL S.A.,$14.499,11%,$12.904
577,GLIBENCLAMIDA,GLIBENCLAMIDA (B) 5mg X60COM.,LABORATORIO CHILE,$1.499,55%,$675
578,GLICAZIDA,DIAMICRON MR 60mg COMP.X30,FERRER,$32.599,27%,$23.797
579,GLIMEPIRIDA,GLEMAZ 4mg COMP.X30,BAGO,$35.299,20%,$28.239
580,GLUCOSA + SODIO + POTASIO + CLORURO + CI,REHSAL 60 X2SOB.,LABORATORIO CHILE,$4.499,39%,$2.744
581,GLUCOSA + SODIO + POTASIO + CLORURO + CI,SALES DE REHIDRATACION 60 X8SOB.,OPKO,$7.099,64%,$2.556
582,GLUCOSA + SODIO + POTASIO + CLORURO + CI,SALES DE REHIDRATACION 90 X4SOB.,OPKO,$7.099,64%,$2.556
583,GLUCOSA INYECTABLE,GLUCOSA 5% X500ml,HOSPIFARMA,$1.799,50%,$900
584,GLUCOSAMINA + CONDROITINA,FINARTRIT X60COM.,GARDEN HOUSE,$15.399,25%,$11.549
585,GLUCOSAMINA + CONDROITINA,HIPERFLEX UD 4.7g X35SOB.,RECALCINE,$42.699,30%,$29.889
586,GLUCOSAMINA + CONDROITINA,FINARTRIT FORTE BLISTER X60COM.,GARDEN HOUSE,$25.699,38%,$15.933
587,GLUCOSAMINA + CONDROITINA,DINAFLEX DUO X60CAP.,TECNOFARMA LTDA.,$24.999,39%,$15.249
588,GLUCOSAMINA + CONDROITINA,FINARTRIT NARANJA PVO.X30SOB.,GARDEN HOUSE,$29.299,44%,$16.407
589,GOSERELINA,GOVOLYX 10.8mg IMPLANTE SUBCUTANEO LP X1,EUROFARMA CHILE S.A.,$211.599,10%,$190.439
590,HALOPERIDOL,HALDOL (R) 5mg X25COM.,JANSSEN,$13.199,20%,$10.559
591,HALOPERIDOL,HALOPERIDOL (B) 5mg X20COM.,SYNTHON,$6.999,33%,$4.689
592,HALOPERIDOL,HALOPERIDOL (B) 1mg X30COM.,SYNTHON,$4.999,48%,$2.599
593,HEDERA HELIX,AEROMED 35mg/5ml JBE.X100ml,MEDIPHARM,$4.099,25%,$3.074
594,HEDERA HELIX,HIEDRIX 35mg/5ml JBE.X100ml,LABORATORIO CHILE,$4.499,73%,$1.215
595,HEPARINA,FRAGMIN 10000UI/4ml X1JP.,PFIZER,$12.499,16%,$10.499
596,HEPARINA,FRAGMIN 2500UI/0.2ml XJP.,PFIZER,$11.199,27%,$8.175
597,HEPARINA,FRAGMIN 5000UI/0.2ml X1JP.,PFIZER,$27.399,52%,$13.152
598,HIDRALAZINA,HIDRALAZINA (B) 50mg X20COM.,HOSPIFARMA,$3.199,67%,$1.056
599,HIDROCLOROTIAZIDA,HIDRORONOL 50mg X24COM.,ITF (EX LABOMED),$5.299,18%,$4.345
600,HIDROCLOROTIAZIDA,HIDROCLOROTIAZIDA (B) 50mg X20COM.,LABORATORIO CHILE,$1.799,64%,$648
601,HIDROCLOROTIAZIDA + TRIAMTERENO,UREN X24COM.,LABORATORIO CHILE,$5.599,35%,$3.639
602,HIDROCORTISONA,HIDROCORTISONA 20mg X20COM.,LABORATORIO CHILE,$6.699,32%,$4.555
603,HIDROCORTISONA DERMICA,PROCTORAN CR.X30g,FAES FARMA CHILE,$14.199,27%,$10.365
604,HIDROCORTISONA DERMICA,PANDEL CR.X15g,ANDROMACO FARMA,$24.299,30%,$17.009
605,HIDROCORTISONA SUCCINATO SODICO,SOLU CORTEF 100mg X1F-A,PFIZER,$11.899,55%,$5.355
606,HIDROXICLOROQUINA,ILINOL (B) 200mg X30COM.REC.,PHARMA INVESTI,$30.899,42%,$17.921
607,HIDROXIZINA,FASARAX 20mg COMP.X20,PRATER,$2.899,30%,$2.029
608,HIDROXIZINA,FASARAX (B) 10mg/5ml JBE.120ml,PRATER,$3.399,47%,$1.801
609,HIPROMELOSA + DEXTRAN 70,KLINER 0.3% SOL.OFT.15ml,SANITAS S.A.,$8.299,49%,$4.232
610,HOMEOPATIA NO ESPECIFICADA,ARTHROZEEL X50COM.SUBL.,HEEL,$15.499,26%,$11.469
611,HOMEOPATIA NO ESPECIFICADA,NERVOHEEL N COMP.X50,HEEL,$15.699,30%,$10.989
612,HOMEOPATIA NO ESPECIFICADA,COENZIME COMPOSITUM AMP.X5,HEEL,$20.299,33%,$13.600
613,HOMEOPATIA NO ESPECIFICADA,ARTHROZEEL INY.X5AMP.,HEEL,$21.499,40%,$12.899
614,HOMEOPATIA NO ESPECIFICADA,GASTRICUMEEL X50COM.SUBL.,HEEL,$19.799,46%,$10.691
615,HOMEOPATIA NO ESPECIFICADA,GRIPP HELL COMP.X50,HEEL,$19.999,47%,$10.599
616,HOMEOPATIA NO ESPECIFICADA,LYMPHOMYOSOT INY.X5AMP.,HEEL,$18.299,49%,$9.332
617,IBANDRONATO + CALCIO + VIT D,IBAMES CD X30CAP.,ANDROMACO FARMA,$30.299,19%,$24.542
618,IBANDRONATO + CALCIO + VIT D,DRONAVAL PACK BITERAPIA,SAVAL S.A.,$25.699,22%,$20.045
619,IBANDRONATO + CALCIO + VIT D,DARMAS CAD X1/30CAP.,LABORATORIO CHILE,$30.199,24%,$22.951
620,IBANDRONATO SODICO MONOH,IBANOX (B) 150mg X1COM.REC.,PASTEUR,$23.999,20%,$19.199
621,IBANDRONATO SODICO MONOH,IBAMES (B) 150mg X1COM.REC.,ANDROMACO FARMA,$36.199,30%,$25.339
622,IBUPROFENO,DEUCODOL 100mg/5ml S.O.X120ml,MEDIPHARM,$3.999,40%,$2.399
623,IBUPROFENO,DEUCODOL FTE.200mg/5ml S.O.X120ml,MEDIPHARM,$5.799,60%,$2.320
624,IBUPROFENO,IBUPROFENO (B) 400mg X20COM.,LABORATORIO CHILE,$1.599,70%,$480
625,IBUPROFENO,IBUPROFENO 200mg/5ml S.O X100ml,OPKO,$3.899,83%,$663
626,IBUPROFENO + DIPIRONA + CLORMEZANONA,DOLNIX X10COM.,RECALCINE,$16.499,49%,$8.414
627,IMIPRAMINA,IMIPRAMINA (B) 25mg X40COM.,LABORATORIO CHILE,$1.999,45%,$1.099
628,INDACATEROL + GLICOPIRRONIO,ULTIBRO BREEZHALER X30CAP.,NOVARTIS CHILE S.A.,$59.999,26%,$44.399
629,INDAPAMIDA,NATRILIX SR COMP.X30,FERRER,$27.299,16%,$22.931
630,INDAPAMIDA,INDAPRESS 2.5mg COMP.X30,ITF (EX LABOMED),$30.699,22%,$23.945
631,INSULINA GLARGINA,LANTUS 100UI/ml CARTUCHOS 3ml X1,AVENTIS,$25.799,17%,$21.413
632,INSULINA GLARGINA,TOUJEO 300UI/ml LAP.PRELL.1.5ml X1,AVENTIS,$37.199,38%,$23.063
633,INSULINA GLARGINA,LANTUS SOLOSTAR 100UI CARTR.X1,SANOFI,$27.999,46%,$15.119
634,"INSULINA ISOFANA (NPH, ZINC Y PROTAMINA)",INSULATARD HM 100UI/ml PENFILL 3ml X5F-A,NOVONORDISK,$62.799,28%,$45.215
635,"INSULINA ISOFANA (NPH, ZINC Y PROTAMINA)",INSULATARD HM 100UI/ml 10ml X1F-A,NOVONORDISK,$39.299,60%,$15.720
636,INSULINA REGULAR (ZINC CRISTALIZADA),ACTRAPID HM 100UI/ml PENFILL 3ml X5F-A,NOVONORDISK,$58.899,26%,$43.585
637,INSULINA REGULAR (ZINC CRISTALIZADA),ACTRAPID HM 100UI/ml 10ml X1F-A,NOVONORDISK,$35.399,50%,$17.700
638,IPRATROPIO BROMURO,ATROVENT 0.025% NEB.X20ml,BOEHRINGER INGELHEIM,$19.799,40%,$11.879
639,IPRATROPIO BROMURO,AEROTROP HFA 20mcg INH.X250DS.,D&M PHARMA S.A.,$14.699,54%,$6.762
640,IPRATROPIO BROMURO,BROMURO IPRATROPIO 0.25mg/ml SOL.X20ml,BPH S.A,$11.199,60%,$4.480
641,IPRATROPIO BROMURO,IPRASYNT HFA 20mcg INH.X200DS.,PHARMAPRECIO,$8.499,60%,$3.400
642,IPRATROPIO BROMURO DE USO NASAL,ATROVENT 0.03% SOL.NAS.X15ml,CHC SANOFI OTC,$15.899,30%,$11.129
643,IRBESARTAN,IRBEVITAE (B) 150mg X28COM.REC,GALENICUM HEALTH CHILE SPA,$25.299,20%,$20.239
644,IRBESARTAN,IRBEVITAE (B) 300mg X28COM.REC,GALENICUM HEALTH CHILE SPA,$26.699,20%,$21.359
645,IRBESARTAN,APROVEL (R) 150mg X28COM.,AVENTIS,$46.199,20%,$36.959
646,IRBESARTAN + HIDROCLOROTIAZIDA,"COAPROVEL 150/12,5 X28COM.",AVENTIS,$44.099,41%,$26.018
647,IRBESARTAN + HIDROCLOROTIAZIDA,"COAPROVEL 300/12,5 X28COM.",AVENTIS,$47.799,46%,$25.811
648,ISOSORBIDE DINITRATO,ISOSORBIDA 10mg X60COM.,HOSPIFARMA,$4.699,67%,$1.551
649,ISOTRETINOINA SISTEMICA,ACNERAL (B) 10mg X30CAP.BLANDAS,LABORATORIO CHILE,$27.999,18%,$22.959
650,ISOTRETINOINA SISTEMICA,INFLADER 10mg X30CAP.,PHARMA INVESTI,$24.399,20%,$19.519
651,ISOTRETINOINA SISTEMICA,INFLADER 20mg X30CAP.,PHARMA INVESTI,$36.399,20%,$29.119
652,ISOTRETINOINA SISTEMICA,ROACNETAN (R) 20mg X30CAP.,CLINICAL MARKET,$50.799,44%,$28.447
653,ISOTRETINOINA SISTEMICA,ROACNETAN (R) 10mg X30CAP.,CLINICAL MARKET,$38.499,51%,$18.865
654,JERINGAS,JERINGA DESECHABLE 10ml,HOFFMAN ACCESORIOS MEDICOS,$699,83%,$119
655,JERINGAS,JERINGA DESECH.3ml X1UNID.,MEDCELL ACCESORIOS,$799,92%,$64
656,KETOCONAZOL CAPILAR,FINDER 2% SH.X100ml,MEDIPHARM,$14.699,52%,$7.056
657,KETOPROFENO,KETOPROFENO 100mg/2ml IV X5AMP.,BIOSANO,$5.699,25%,$4.274
658,KETOPROFENO,PROFENID (R) 100mg X10COM.,SANOFI,$13.499,32%,$9.179
659,KETOPROFENO,TALFLEX 50mg X10COM.REC.,BAGO,$7.599,39%,$4.635
660,KETOPROFENO,KETOPROFENO (B) 50mg X20CAP.,LABORATORIO CHILE,$2.199,52%,$1.056
661,KETOPROFENO,TALFLEX BI 150mg X14COM.LIB.SOST.,BAGO,$13.499,54%,$6.210
662,KETOROLACO,BURTEN 10mg X10COM.,LABORATORIO CHILE,$13.199,20%,$10.559
663,KETOROLACO,BURTEN 10mg X20COM.SUBL.,LABORATORIO CHILE,$21.699,20%,$17.359
664,KETOTIFENO OFTALMICO,OFTALER FORTE 0.05% SOF.X10ml,SAVAL S.A.,$27.799,15%,$23.629
665,KETOTIFENO OFTALMICO,OFTALER 0.025% OFT.10ml,SAVAL S.A.,$25.199,15%,$21.419
666,L-ACETILCARNITINA,ACTIGERON 500mg COMP.X30,BAGO,$37.799,37%,$23.813
667,LACOSAMIDA,ALDINAM 200mg X30COM.REC.,RECALCINE,$68.499,15%,$58.224
668,LACOSAMIDA,ALDINAM 50mg X30COM.REC.,RECALCINE,$23.999,15%,$20.399
669,LACOSAMIDA,ALDINAM 100mg X30COM.REC.,RECALCINE,$42.499,30%,$29.749
670,LACTASA,DIOLASA X30COM.,ANDROMACO FARMA,$15.599,20%,$12.479
671,LACTASA,DIOLASA VAINILLA X30COM.MAST.,ANDROMACO FARMA,$15.599,20%,$12.479
672,LACTASA,DIAVITAL LACTASA X60COM.,MAVER FARMA,$16.899,20%,$13.519
673,LACTOBACILLUS ACIDOPHILUS,BIOLACTUS 1g PVO.X6SOB.,SYNTHON,$9.999,30%,$6.999
674,LACTULOSA,LACTULOSA 65% SOL.ORAL X1000ml,ANDROMACO FARMA,$39.899,40%,$23.939
675,LACTULOSA,LACTULOSA 65% SOL.ORAL 200ml,RECETARIO,$7.799,50%,$3.900
676,LAMIVUDINA+ZIDOVUDINA,LAMIVUDINA/ZIDOVUDINA (B) X60COM.,OPKO,$74.899,24%,$56.923
677,LAMOTRIGINA,LAFIGIN (B) 25mg X30COM.,RECALCINE,$15.999,15%,$13.599
678,LAMOTRIGINA,DAKSOL (B) 25mg X28COM.,EXELTIS CHILE,$12.399,15%,$10.539
679,LAMOTRIGINA,LAFIGIN DT 100mg X30COM.DISP.,RECALCINE,$31.699,15%,$26.944
680,LAMOTRIGINA,LAFIGIN (B)100mg X30COM.,RECALCINE,$39.999,15%,$33.999
681,LAMOTRIGINA,DAKSOL (B) 100mg X28COM.,EXELTIS CHILE,$40.099,20%,$32.079
682,LAMOTRIGINA,DAKSOL (B) 50mg X28COM.,EXELTIS CHILE,$26.199,20%,$20.959
683,LAMOTRIGINA,TRADOX (B) 50mg X30COM.,ANDROMACO FARMA,$32.499,24%,$24.699
684,LAMOTRIGINA,LAMICTAL (R) 100mg COMP.X30,GLAXO,$60.499,28%,$43.559
685,LAMOTRIGINA,TRADOX (B) 25mg X30COM.,ANDROMACO FARMA,$19.899,30%,$13.929
686,LAMOTRIGINA,LETICO (B) 100mg X30COM.,EUROFARMA CHILE S.A.,$20.499,30%,$14.349
687,LAMOTRIGINA,LAFIGIN DT 200mg X30COM.DISP.,RECALCINE,$59.999,30%,$41.999
688,LAMOTRIGINA,TRADOX (B) 100mg X30COM.,ANDROMACO FARMA,$41.499,31%,$28.634
689,LAMOTRIGINA,LAMICTAL (R) 25mg X30COM.,GLAXO,$26.399,32%,$17.951
690,LAMOTRIGINA,DAKSOL (B) 200mg X28COM.,EXELTIS CHILE,$53.399,35%,$34.709
691,LAMOTRIGINA,MEGANOX 200mg X30COM.DISP.,ETEX FARMACEUTICA LTDA.,$82.499,36%,$52.799
692,LAMOTRIGINA,TRIGILAB (B) 50mg X30COM.,INTERPHARMA,$7.999,44%,$4.479
693,LAMOTRIGINA,LAMOTRIGINA 50mg X30COM.DISP.,LABORATORIO CHILE,$7.099,53%,$3.337
694,LAMOTRIGINA,TRIGILAB (B) 100mg X30COM.,INTERPHARMA,$21.999,54%,$10.120
