,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio julio 2020,Descuento,Precio referencial con Descuento julio 2020
471,IBUPROFENO,IBUPROFENO (B) 400mg X20COM.,LABORATORIO CHILE,$1.599,75%,$400
472,IMIPRAMINA,IMIPRAMINA 25mg X40COM.,LABORATORIO CHILE,$1.999,64%,$720
473,INDACATEROL + GLICOPIRRONIO,ULTIBRO BREEZHALER X30CAP.,NOVARTIS CHILE S.A.,$59.999,30%,$41.999
474,INSULINA GLARGINA,LANTUS 100UI/ml CARTUCHOS 3ml X1,AVENTIS,$23.699,17%,$19.670
475,INSULINA GLARGINA,TOUJEO 300UI/ml LAP.PRELL.1.5ml X1,AVENTIS,$34.299,53%,$16.121
476,"INSULINA ISOFANA (NPH, ZINC Y PROTAMINA)",INSULATARD HM 100UI/ml 10ml X1F-A,NOVONORDISK,$35.999,92%,$2.880
477,INSULINA REGULAR (ZINC CRISTALIZADA),ACTRAPID HM 100UI/ml 10ml X1F-A,NOVONORDISK,$32.399,92%,$2.592
478,IPRATROPIO BROMURO,AEROTROP HFA 20mcg INH.X250DS.,D&M PHARMA S.A.,$13.999,88%,$1.680
479,IPRATROPIO BROMURO,ATROVENT 0.025% NEB.X20ml,BOEHRINGER INGELHEIM,$18.599,68%,$5.952
480,IPRATROPIO BROMURO,BROMURO IPRATROPIO 0.25mg/ml SOL.X20ml,BPH S.A,$10.999,76%,$2.640
481,IPRATROPIO BROMURO DE USO NASAL,ATROVENT 0.03% SOL.NAS.X15ml,CHC SANOFI OTC,$14.999,56%,$6.600
482,IRBESARTAN,IRBEVITAE (B) 150mg X28COM.REC,GALENICUM HEALTH CHILE SPA,$22.999,20%,$18.399
483,IRBESARTAN,IRBEVITAE (B) 300mg X28COM.REC,GALENICUM HEALTH CHILE SPA,$24.199,20%,$19.359
484,ISOSORBIDE DINITRATO,ISOSORBIDE 10mg X60COM.,HOSPIFARMA,$3.999,92%,$320
485,ISOTRETINOINA SISTEMICA,ACNERAL (B) 10mg X30CAP.BLANDAS,LABORATORIO CHILE,$27.999,20%,$22.399
486,ISOTRETINOINA SISTEMICA,ACNERAL (B) 20mg X30CAP.BLANDAS,LABORATORIO CHILE,$42.499,20%,$33.999
487,JERINGAS,JERINGA DESECH.1ml TUBERCULINA 25G,MED CELL IMPORTACIONES,$499,94%,$30
488,JERINGAS,JERINGA DESECHABLE 10ml,HOFFMAN ACCESORIOS MEDICOS,$699,93%,$49
489,KETOCONAZOL CAPILAR,FINDER SH. X 100ML,MEDIPHARM,$13.999,52%,$6.720
490,KETOPROFENO,FLOGOFIN 100mg X20COM.,LABORATORIO CHILE,$5.999,75%,$1.500
491,KETOPROFENO,KETOPROFENO (B) 50mg X20CAP.,LABORATORIO CHILE,$2.199,71%,$638
492,KETOPROFENO,KETOPROFENO 100mg/2ml IV X5AMP.,BIOSANO,$5.599,25%,$4.199
493,KETOPROFENO,Profenid 100 mg x 10 CE,AVENTIS,$13.199,36%,$8.447
494,KETOPROFENO,Profenid 100 mg x 20 CE,AVENTIS,$22.599,36%,$14.463
495,KETOPROFENO,Profenid Bi 150 mg x 10 comp.,AVENTIS,$17.399,36%,$11.135
496,KETOROLACO,BURTEN 10mg X10COM.SUBL.,LABORATORIO CHILE,$12.499,20%,$9.999
497,KETOROLACO,BURTEN 10mg X20COM.SUBL.,LABORATORIO CHILE,$20.999,20%,$16.799
498,KETOTIFENO OFTALMICO,OFTALER FORTE 0.05% SOF.X10ml,SAVAL S.A.,$27.499,23%,$21.174
499,LACOSAMIDA,ALDINAM 100mg X30COM.REC.,RECALCINE,$42.499,47%,$22.524
500,LACOSAMIDA,ALDINAM 200mg X30COM.REC.,RECALCINE,$68.499,25%,$51.374
501,LACOSAMIDA,ALDINAM 50mg X30COM.REC.,RECALCINE,$23.999,25%,$17.999
502,LACTASA,DIOLASA COMP.X30,ANDROMACO FARMA,$15.299,20%,$12.239
503,LACTASA,DIOLASA VAINILLA COMP.X30,ANDROMACO FARMA,$11.999,20%,$9.599
504,LACTULOSA,LACTULOSA 65% SOL.ORAL 200ml,RECETARIO,$7.499,25%,$5.624
505,LACTULOSA,LACTULOSA 65% SOL.ORAL X1000ml,ANDROMACO FARMA,$35.799,65%,$12.530
506,LAMOTRIGINA,LETICO(BE) 100mg COM.X30,EUROFARMA CHILE S.A.,$19.499,57%,$8.385
507,LAMOTRIGINA,DAKSOL (B) 100mg X28COM.,EXELTIS CHILE,$39.499,20%,$31.599
508,LAMOTRIGINA,DAKSOL (B) 25mg X28COM.,EXELTIS CHILE,$11.499,20%,$9.199
509,LAMOTRIGINA,DAKSOL (B) 50mg X28COM.,EXELTIS CHILE,$24.499,20%,$19.599
510,LAMOTRIGINA,LAFIGIN (B) 25mg X30COM.,RECALCINE,$15.999,25%,$11.999
511,LAMOTRIGINA,LAFIGIN 100mg X30COM.,RECALCINE,$39.999,25%,$29.999
512,LAMOTRIGINA,LAFIGIN DT 100mg X30COM.DISP.,RECALCINE,$31.699,25%,$23.774
513,LAMOTRIGINA,LAFIGIN DT 200mg X30COM.DISP.,RECALCINE,$59.999,35%,$38.999
514,LAMOTRIGINA,LAMOTRIGINA 50mg X30COM.DISP.,LABORATORIO CHILE,$7.099,53%,$3.337
515,LAMOTRIGINA,TRADOX 100MG.30COMP.,ANDROMACO FARMA,$39.799,40%,$23.879
516,LAMOTRIGINA,TRADOX 25MG.30COMP.,ANDROMACO FARMA,$19.499,40%,$11.699
517,LAMOTRIGINA,TRADOX 50MG.30COMP.,ANDROMACO FARMA,$31.799,40%,$19.079
518,LAMOTRIGINA,TRADOX FT 200MG/30COMP.,ANDROMACO FARMA,$67.999,40%,$40.799
519,LANSOPRAZOL,GASTRIDE 30mg X28COM.,LABORATORIO CHILE,$19.999,20%,$15.999
520,LANSOPRAZOL,LANZOPRAL 30mg COMP.X28,PHARMA INVESTI,$26.999,20%,$21.599
521,LANSOPRAZOL,LANZOPRAZOL 30mg COMP.X30,LABORATORIO CHILE,$3.799,30%,$2.659
522,LATANOPROST,"LATANOPROST 50mcg/ml SOF.X2,5ml",OPKO,$8.499,45%,$4.674
523,LEFLUNOMIDA,ARAVA 20 mg x 30 COMPRIMIDOS,AVENTIS,$101.999,83%,$17.340
524,LEFLUNOMIDA,ARTROTIN (B) 20mg X30COM.REC.,RECALCINE,$67.999,88%,$8.160
525,LETROZOL,LOSIRAL 2.5mg X30COM.REC.,RECALCINE,$99.299,91%,$8.937
526,LEVETIRACETAM,KOPODEX (B) 1000mg X30COM.REC.,RECALCINE,$47.999,64%,$17.280
527,LEVETIRACETAM,KOPODEX (B) 500mg X30COM.REC.,RECALCINE,$24.499,35%,$15.924
528,LEVETIRACETAM,KOPODEX (B) 500mg X60COM.REC.,RECALCINE,$46.799,35%,$30.419
529,LEVETIRACETAM,KOPODEX 100mg/ml S.O.X120ml,RECALCINE,$19.999,63%,$7.400
530,LEVETIRACETAM,KOPODEX XR 500mg X30COM.,RECALCINE,$26.099,35%,$16.964
531,LEVETIRACETAM,LEVEVITAE (B) 1000mg X30COM.REC,GALENICUM HEALTH CHILE SPA,$31.999,61%,$12.480
532,LEVOCETIRIZINA,TIRIZ 5mg COMP.X30,EUROFARMA CHILE S.A.,$5.599,40%,$3.359
533,LEVOCETIRIZINA,XUZAL 5mg/ml GTAS.X20ml,GLAXO,$14.499,65%,$5.075
534,LEVODOPA + CARBIDOPA,GRIFOPARKIN 30C,LABORATORIO CHILE,$16.899,87%,$2.197
535,LEVODOPA + CARBIDOPA,LEVOFAMIL 250/25 COMP.X30,ANDROMACO FARMA,$21.699,30%,$15.189
536,LEVOFLOXACINO,LEVOXIN(BE) 500mg COMP.X7,EUROFARMA CHILE S.A.,$15.999,58%,$6.720
537,LEVOFLOXACINO,(B) QUINOBIOT 750mg COMP.X10,ANDROMACO FARMA,$19.499,30%,$13.649
538,LEVONORGESTREL,CERCIORA T (B) 0.75mg X2COM.,EXELTIS CHILE,$15.799,20%,$12.639
539,LEVONORGESTREL + ETINILESTRADIOL,ANULETTE 20 CD X28COM.,SILESIA,$13.399,50%,$6.700
540,LEVONORGESTREL + ETINILESTRADIOL,ANULETTE CD X28COM.,SILESIA,$7.199,50%,$3.600
541,LEVONORGESTREL + ETINILESTRADIOL,NORVETAL 20 CD X28COM.REC.,RECALCINE,$11.699,25%,$8.774
542,LEVONORGESTREL + ETINILESTRADIOL,VONILLE CD COMP.X28,EXELTIS CHILE,$7.499,20%,$5.999
543,LEVOTIROXINA,(R) EUTIROX 100mcg TABL.X100,MERCK SA CHILE,$13.899,17%,$11.536
544,LEVOTIROXINA,(R) EUTIROX 100mcg TABL.X50,MERCK SA CHILE,$9.199,32%,$6.255
545,LEVOTIROXINA,(R) EUTIROX 112mcg COMP.X50,MERCK SA CHILE,$13.899,52%,$6.672
546,LEVOTIROXINA,(R) EUTIROX 125mcg TABL.X50,MERCK SA CHILE,$13.899,46%,$7.505
547,LEVOTIROXINA,(R) EUTIROX 50mcg TABL.X50,MERCK SA CHILE,$10.199,61%,$3.978
548,LEVOTIROXINA,(R) EUTIROX 75mcg TABL.X50,MERCK SA CHILE,$10.699,43%,$6.098
549,LEVOTIROXINA,(R) EUTIROX 88mcg COMP.X50,MERCK SA CHILE,$11.299,49%,$5.762
550,LEVOTIROXINA,EUTIROX (R) 137mcg X50COM.,MERCK SA CHILE,$17.099,54%,$7.866
551,LEVOTIROXINA,EUTIROX (R) 150mcg X50COM.,MERCK SA CHILE,$15.399,44%,$8.623
552,LEVOTIROXINA,EUTIROX (R) 175mcg X50COM.,MERCK SA CHILE,$20.599,56%,$9.064
553,LEVOTIROXINA,EUTIROX (R) 200mcg X50COM.,MERCK SA CHILE,$20.899,53%,$9.823
554,LEVOTIROXINA,T4-BAGO (B) 50mcg X50COM.FLEXIDOSIS,BAGO,$6.999,61%,$2.730
555,LEVOTIROXINA,T4-BAGO (B) 75mcg X50COM.FLEXIDOSIS,BAGO,$7.499,55%,$3.375
556,LIDOCAINA CLORHIDRATO,LIDOCAINA 2% 5ml X5AMP.,SANDERSON S.A.,$1.399,94%,$84
557,LINAGLIPTINA + METFORMINA,TRAYENTA DUO 2.5mg/500 COMP.X60,BOEHRINGER INGELHEIM,$39.199,50%,$19.600
558,LISINOPRIL,ACERDIL 10mg X30COM.,RECALCINE,$24.999,25%,$18.749
559,LISINOPRIL,ACERDIL 20mg X30COM.REC.,RECALCINE,$34.999,25%,$26.249
560,LISINOPRIL,ACERDIL 5mg X30COM.REC.,RECALCINE,$13.199,25%,$9.899
561,LISINOPRIL,TONOTENSIL 10MG 30C,LABORATORIO CHILE,$22.499,35%,$14.624
562,LISINOPRIL,TONOTENSIL 20MG 30C,LABORATORIO CHILE,$29.999,45%,$16.499
563,LISINOPRIL + HIDROCLOROTIAZIDA,ACERDIL D X30COM.,RECALCINE,$34.999,25%,$26.249
564,LISINOPRIL + HIDROCLOROTIAZIDA,TONOTENSIL D 30C,LABORATORIO CHILE,$23.499,35%,$15.274
565,LITIO CARBONATO,CARBORON 300mg X50COM.,PHARMA INVESTI,$18.999,92%,$1.520
566,LITIO CARBONATO,KALITIUM 300mg COM.X50,EUROFARMA CHILE S.A.,$9.899,30%,$6.929
567,LITIO CARBONATO,KALITIUM 450mg COM.X30,EUROFARMA CHILE S.A.,$11.499,30%,$8.049
568,LOPERAMIDA,LOPERAMIDA 2mg X6COM.,LABORATORIO CHILE,$999,81%,$190
569,LORATADINA,LORATADINA (B)10mg X30COM.,LABORATORIO CHILE,$1.399,73%,$378
570,LORATADINA + PSEUDOEFEDRINA,FRENALER D JBE.X100ml,LABORATORIO CHILE,$15.299,20%,$12.239
571,LORATADINA + PSEUDOEFEDRINA,FRENALER D X10CAP.LIB.SOST.,LABORATORIO CHILE,$18.499,20%,$14.799
572,LORATADINA + PSEUDOEFEDRINA,FRENALER D X20CAP.LIB.SOST.,LABORATORIO CHILE,$21.499,20%,$17.199
573,LOSARTAN,(B) ARATAN 100mg COMP.X30,LABORATORIO CHILE,$20.499,30%,$14.349
574,LOSARTAN,LOSARTAN (B) 100mg X30COM.,LABORATORIO CHILE,$8.199,70%,$2.460
575,LOSARTAN,LOSARTAN (B) 50mg X30COM.,LABORATORIO CHILE,$2.399,88%,$288
576,LOSARTAN,SIMPERTEN 100MG 30CR,LABORATORIO CHILE,$17.999,35%,$11.699
577,LOSARTAN,SIMPERTEN 50MG 30CR,LABORATORIO CHILE,$7.199,35%,$4.679
578,LOSARTAN + HIDROCLOROTIAZIDA,ARATAN D FTE.COMP.X30,ANDROMACO FARMA,$29.999,30%,$20.999
579,LOSARTAN + HIDROCLOROTIAZIDA,CORODIN D FTE.COMP.REC.X30,RECALCINE,$28.499,30%,$19.949
580,LOSARTAN + HIDROCLOROTIAZIDA,LOSARTAN/HIDROCL 100/25 X30COM.,EUROFARMA CHILE S.A.,$2.999,30%,$2.099
581,LOSARTAN + HIDROCLOROTIAZIDA,LOSARTAN/HIDROCL 50/12.5 X30COM.REC.,ASCEND LABORATORIES SPA,$4.699,30%,$3.289
582,LOSARTAN + HIDROCLOROTIAZIDA,SIMPERTEN D 100/25 30CR,LABORATORIO CHILE,$29.499,35%,$19.174
583,LOSARTAN + HIDROCLOROTIAZIDA,SIMPERTEN D 30C AA,LABORATORIO CHILE,$26.499,35%,$17.224
584,LOVASTATINA,LOVASTATINA 20mg X28COM.,LABORATORIO CHILE,$1.999,75%,$500
585,MACROGOL,CONTUMAX PVO.X15SOB.,TECNOFARMA LTDA.,$19.499,68%,$6.240
586,MACROGOL,LAX SOB.X7,ANDROMACO FARMA,$12.999,48%,$6.759
587,MEBENDAZOL,MEBENDAZOL 100mg X6COM.,HOSPIFARMA,$1.299,50%,$650
588,MEBEVERINA,EVADOL XR 200mg CAPS.X30,ANDROMACO FARMA,$25.799,48%,$13.415
589,MEBEVERINA,MEDITOINA 135 mg. x 30 comprimidos,MEDIPHARM,$13.999,25%,$10.499
590,MEDROXIPROGESTERONA,PRODASONE (R) 5mg X20COM.,PFIZER,$13.099,68%,$4.192
591,MEDROXIPROGESTERONA,SAYANA 104mg/0.65ml X1JP,PFIZER,$49.799,41%,$29.381
592,MEMANTINA,EBIXA 20mg X28COM.REC.,LUNDBECK,$97.299,25%,$72.974
593,MEMANTINA,EUTEBROL 20mg X30COM.,TECNOFARMA LTDA.,$30.799,30%,$21.559
594,MEMANTINA,MIMETIX ODT 10mg X60COM.REC.,RECALCINE,$47.499,40%,$28.499
595,MEMANTINA,MIMETIX ODT 20mg X30COM.REC.,RECALCINE,$49.999,50%,$25.000
596,MEMANTINA,NEUROPRON FT 20mg COM.X30,ANDROMACO FARMA,$50.999,40%,$30.599
597,MEMANTINA,VIVIMEX 10mg COMP.X60,PHARMA INVESTI,$38.199,30%,$26.739
598,MESALAZINA,PENTASA 1g X28SUP.,FERRING,$123.699,20%,$98.959
599,MESALAZINA,PENTASA 1g X50SOB.,FERRING,$87.399,20%,$69.919
600,MESALAZINA,PENTASA 2g X30SOB.,FERRING,$95.299,20%,$76.239
601,MESALAZINA,PENTASA 500mg X100COM.,FERRING,$86.799,20%,$69.439
602,METFORMINA,(B) GLAFORNIL XR 1000 COMP.X30,MERCK SA CHILE,$24.099,39%,$14.700
603,METFORMINA,(B) GLIFORTEX 850mg COMP.X30,ANDROMACO FARMA,$11.799,30%,$8.259
604,METFORMINA,(B) GLIFORTEX 850mg COMP.X60,ANDROMACO FARMA,$16.699,30%,$11.689
605,METFORMINA,(R) GLAFORNIL 850mg COMP.X30,MERCK SA CHILE,$13.899,39%,$8.478
606,METFORMINA,GLAFORNIL (R) 500mg X30COM.,MERCK SA CHILE,$8.599,38%,$5.331
607,METFORMINA,GLIDANIL 500mg. BE x 30 compr.,MEDIPHARM,$3.599,46%,$1.943
608,METFORMINA,GLIDANIL 850 MG. 30 comprimidos (BE),MEDIPHARM,$4.399,71%,$1.276
609,METFORMINA,GLIFORTEX XR 1000 COMP.X30,ANDROMACO FARMA,$15.499,30%,$10.849
610,METFORMINA,GLIFORTEX XR 500 COMP.X30,ANDROMACO FARMA,$8.699,30%,$6.089
611,METFORMINA,GLIFORTEX XR 750 COMP.X30,ANDROMACO FARMA,$12.799,30%,$8.959
612,METFORMINA,HIPOGLUCIN 1000 LP 30 C,LABORATORIO CHILE,$13.999,35%,$9.099
613,METFORMINA,HIPOGLUCIN 1000 LP 60 C,LABORATORIO CHILE,$25.499,35%,$16.574
614,METFORMINA,HIPOGLUCIN 1GR 30C,LABORATORIO CHILE,$17.999,35%,$11.699
615,METFORMINA,HIPOGLUCIN 500 MG 30 C LP,LABORATORIO CHILE,$7.999,35%,$5.199
616,METFORMINA,HIPOGLUCIN 500 MG 60 C LP,LABORATORIO CHILE,$11.999,35%,$7.799
617,METFORMINA,HIPOGLUCIN 750 LP 30 C,LABORATORIO CHILE,$12.599,43%,$7.181
618,METFORMINA,HIPOGLUCIN 750 LP 60 C,LABORATORIO CHILE,$21.599,35%,$14.039
619,METFORMINA,HIPOGLUCIN 850MG 30CR,LABORATORIO CHILE,$7.999,35%,$5.199
620,METFORMINA,HIPOGLUCIN 850MG 60 CR,LABORATORIO CHILE,$16.499,35%,$10.724
621,METFORMINA,METFORMINA (B) 850mg X30COM.REC.,LABORATORIO CHILE,$2.899,67%,$957
622,METFORMINA,METFORMINA (B) 850mg X60COM.REC.,LABORATORIO CHILE,$4.999,88%,$600
623,METFORMINA + GLIBENCLAMIDA,GLUCOVANCE 500/5 COMP.X30,MERCK SA CHILE,$19.199,30%,$13.439
624,METFORMINA + GLIBENCLAMIDA,GLUKAUT 500/5 X60COM.,SANITAS S.A.,$10.999,90%,$1.100
625,METFORMINA + GLIBENCLAMIDA,HIPOGLUCIN DA 500MG/2.5MG 30C,LABORATORIO CHILE,$9.999,35%,$6.499
626,METFORMINA + GLIBENCLAMIDA,HIPOGLUCIN DA 500MG/5MG 30C,LABORATORIO CHILE,$10.499,35%,$6.824
627,METILFENIDATO,ARADIX (B) 10mg X30COM.,RECALCINE,$24.499,20%,$19.599
628,METILFENIDATO,ARADIX RET.10mg X30COM.,RECALCINE,$32.699,20%,$26.159
629,METILFENIDATO,ARADIX RET.20mg X30COM.,RECALCINE,$45.499,20%,$36.399
630,METILFENIDATO,METRANS XR 20MG. CAJA 30 COMP.REC. LP,ANDROMACO FARMA,$37.099,40%,$22.259
631,METILFENIDATO,NEBAPUL (B) 10mg X30COM.,PHARMA INVESTI,$11.399,61%,$4.446
632,METILFENIDATO,RUBIFEN (B) 10mg X30COM.,EXELTIS CHILE,$22.399,20%,$17.919
633,METILFENIDATO,RUBIFEN SR (B) 20mg X30COM.,EXELTIS CHILE,$35.399,20%,$28.319
634,METILPREDNISOLONA,DEPO MEDROL 80mg/ml X1F-A,PFIZER,$43.299,41%,$25.546
635,METILPREDNISOLONA,MEDROL 4mg X20COM.,PFIZER,$19.099,33%,$12.796
636,METILPREDNISOLONA,SOLU MEDROL 40mg X1AMP.,PFIZER,$9.299,66%,$3.162
637,METISOPRINOL,ISOPRINOSINE 500mg COMP.X20,ANDROMACO FARMA,$50.899,30%,$35.629
638,METOCLOPRAMIDA,METOCLOPRAMIDA (B) 10mg X24COM.,LABORATORIO CHILE,$1.699,73%,$459
639,METOPROLOL,BETALOC ZOK 25mg X30COM.PROL.,ASTRA ZENECA DE CHILE LTDA.,$24.199,66%,$8.228
640,METOPROLOL,BETALOC ZOK 50mg COMP.X30,ASTRA ZENECA DE CHILE LTDA.,$29.999,61%,$11.700
641,METRONIDAZOL,METROPAST (B) 500mg X20COM.,PASTEUR,$9.899,51%,$4.851
642,METRONIDAZOL DERMICO,MEDAZOL GEL 30 grs.,MEDIPHARM,$7.899,25%,$5.924
643,METRONIDAZOL OVULOS,METRONIDAZOL 500mg X10OVULOS,LABORATORIO CHILE,$2.699,57%,$1.161
644,MICOFENOLATO MOFETIL,LINFONEX (B) 250mg X60COM.REC.,RECALCINE,$65.499,35%,$42.574
645,MICOFENOLATO MOFETIL,LINFONEX (B) 500mg X30COM.REC.,RECALCINE,$65.999,30%,$46.199
646,MIRTAZAPINA,CIBLEX (B) 15mg X30COM.REC.,RECALCINE,$22.499,25%,$16.874
647,MIRTAZAPINA,CIBLEX (B) 30mg X30COM.REC.,RECALCINE,$49.499,38%,$30.689
648,MIRTAZAPINA,DIVARIL (B) 30mg X30COM.REC.,TECNOFARMA LTDA.,$26.199,16%,$22.007
649,MOMETASONA FUROATO PARA INHALACION,PLUSTER 50mcg NEB.X120DS.,DEUTSCHE PHARMA S.A.,$9.999,62%,$3.800
650,MOMETASONA FUROATO PARA INHALACION,RINITEK FREE 50mcg NEB.NAS.X200DS.,RECALCINE,$18.999,25%,$14.249
651,MONTELUKAST,LUCASTE(BE) 4mg COM.X30,EUROFARMA CHILE S.A.,$17.999,41%,$10.619
652,MONTELUKAST,LUCASTE(BE) 5mg COM.X30,EUROFARMA CHILE S.A.,$17.999,37%,$11.339
653,MONTELUKAST,BRONDILAT (B) 10mg X30COM.REC.,RECALCINE,$54.899,93%,$3.843
654,MONTELUKAST,BRONDILAT 4mg X30COM.REC.,RECALCINE,$36.499,25%,$27.374
655,MONTELUKAST,BRONDILAT 5mg X30COM.REC.,RECALCINE,$35.499,25%,$26.624
656,MONTELUKAST,BRONDILAT PED.4mg GRAN.X40SOB.,RECALCINE,$34.199,51%,$16.758
657,MUPIROCINA,MUPAX 2% UNG.X7.5g,RECALCINE,$5.999,15%,$5.099
658,N-ACETILCISTEINA,FLUIDASA 100mg X10SOB.,RECALCINE,$4.499,20%,$3.599
659,N-ACETILCISTEINA,FLUIDASA 600mg X10SOB.,RECALCINE,$4.799,20%,$3.839
660,NALTREXONA,NALERONA 50mg COMP.X30,SILESIA,$80.999,30%,$56.699
661,NAPROXENO,NAPROXENO (B) 550mg X10COM.,ANDROMACO FARMA,$2.899,62%,$1.102
662,NEBIVOLOL,ANFIBOL (B) 5mg X30COM.REC.,RECALCINE,$22.999,25%,$17.249
663,NEBIVOLOL,DOOX 5 MG 30 COMP,LABORATORIO CHILE,$21.699,48%,$11.283
664,NIFEDIPINO,NIFEDIPINO RET.20mg X30COM.REC.,LABORATORIO CHILE,$2.499,80%,$500
665,NIFUROXAZIDA + FTALILSULFATIAZOL,LIRACOL x 20 comprimidos,MEDIPHARM,$3.799,25%,$2.849
666,NIFURTIMOX,LAMPIT 120mg X100COM.,BAYER ETICO,$122.999,22%,$95.939
667,NISTATINA + ZINC OXIDO + VIT.A + VIT.D,NISTAGLOS CR.30g,ANDROMACO FARMA,$14.199,30%,$9.939
668,NISTATINA VAGINAL,NISTATINA 100000UI X12OVULOS,LABORATORIO CHILE,$3.599,60%,$1.440
669,NITROFURANTOINA,NITROFURANTOINA 100mg X10COM.,HOSPIFARMA,$1.599,30%,$1.119
670,NOMEGESTROL,MARILOW X28COM.,RECALCINE,$18.499,25%,$13.874
671,NOMEGESTROL,POEM 2.5mg X28COM.,SILESIA,$19.899,50%,$9.950
672,NOSCAPINA,NOSCAPINA 5mg/5ml JBE.X100ml,HOSPIFARMA,$2.599,60%,$1.040
673,NOSCAPINA + PARACETAMOL + PSEUDOEFEDRINA + ACIDO ASCORBICO,CONGESTEX GTAS.X15ml,RECALCINE,$13.499,25%,$10.124
674,NOSCAPINA + PARACETAMOL + PSEUDOEFEDRINA + ACIDO ASCORBICO,CONGESTEX JBE.X120ml,RECALCINE,$10.499,25%,$7.874
675,NOSCAPINA + PARACETAMOL + PSEUDOEFEDRINA + ACIDO ASCORBICO,CONGESTEX X10CAP.,RECALCINE,$9.999,25%,$7.499
676,OLANZAPINA,SINCRIS (B) 10mg X30COM.REC.,LABORATORIO CHILE,$34.999,45%,$19.249
677,OLANZAPINA,(B) SINCRIS 5mg COMP.X30,LABORATORIO CHILE,$23.999,35%,$15.599
678,OLANZAPINA,ZAPINEX FT 10mg COMP.X30,ANDROMACO FARMA,$83.399,14%,$71.723
679,OLMESARTAN,CARDIOPLUS 20mg X30COM.REC.,RECALCINE,$19.699,25%,$14.774
680,OLMESARTAN,CARDIOPLUS 40mg X30COM.REC.,RECALCINE,$18.999,35%,$12.349
681,OLMESARTAN + AMLODIPINO,OLTAN AMLO 40/5 X30COM.REC.,ITF (EX LABOMED),$17.499,42%,$10.149
682,OLMESARTAN + HIDROCLOROTIAZIDA,CARDIOPLUS D 20/12.5 X30COM.REC.,RECALCINE,$23.499,25%,$17.624
683,OLMESARTAN + HIDROCLOROTIAZIDA,CARDIOPLUS D 40/12.5 X30COM.REC.,RECALCINE,$24.699,25%,$18.524
684,OMEGA3+ANTIOXIDANTES+MINERALES+VITAMINAS,MANHAE X30CAP.,PASTEUR,$17.199,20%,$13.759
685,OMEPRAZOL,(B) OMEPRAZOL 20mg COM.X60,LABORATORIO CHILE,$3.299,30%,$2.309
686,OMEPRAZOL,OMEPRAZOL (B) 20mg X30CAP.,LABORATORIO CHILE,$1.599,65%,$560
687,ONDANSETRON,ODATRON (B) 8mg X8COM.BUC.,PASTEUR,$62.999,75%,$15.750
688,OSELTAMIVIR,RIMIVAT 12mg/ml 75ml,ANDROMACO FARMA,$59.699,49%,$30.446
689,OSELTAMIVIR,RIMIVAT 75mg CAPS.X10,ANDROMACO FARMA,$51.999,30%,$36.399
690,OXCARBAZEPINA,TRILEPTAL 300mg X30COM.,AXON PHARMA,$27.799,31%,$19.181
691,OXIDO DE ZINC,PASTA LASSAR X50g,RECETARIO,$1.499,61%,$585
692,OXOLAMINA,OXOLAMINA AD.50mg/5ml JBE.X100ml,ANDROMACO FARMA,$2.199,64%,$792
693,OXOLAMINA,OXOLAMINA PED.28mg/5ml JBE.X100ml,ANDROMACO FARMA,$1.899,67%,$627
694,PANCREATINA,CREON 10.000 X20CAP.PROL.,ABBOTT FARMA,$24.999,58%,$10.500
695,PANCREATINA + PEPSINA + DIASTASA + BILIS DES. + SIMETICONA,FLAPEX E CAPS.X20,ANDROMACO FARMA,$7.799,20%,$6.239
696,PANTOPRAZOL,PANTOCAL 40mg X28COM.REC.,EUROFARMA CHILE S.A.,$18.999,40%,$11.399
697,PARACETAMOL,GESIDOL 500 MG BE X 24 COMPRIMIDOS,MEDIPHARM,$1.490,29%,$1.058
698,PARACETAMOL,GESIDOL NIÑOS 160mg X16COM.MAST.,MEDIPHARM,$2.399,62%,$912
699,PARACETAMOL,KITADOL (B) 1g X18COM.,LABORATORIO CHILE,$7.899,51%,$3.871
700,PARACETAMOL,PARACETAMOL (B) 500mg X16COM.,LABORATORIO CHILE,$899,85%,$135
701,PARACETAMOL,PARACETAMOL 100mg/ml GTAS.X15ml,LABORATORIO CHILE,$1.799,77%,$414
702,PARACETAMOL,PARACETAMOL PED.125mg X5SUP.,LABORATORIO CHILE,$1.499,65%,$525
703,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,CORTIGRIP DIA/NOCHE x 15 comprimidos,MEDIPHARM,$3.399,25%,$2.549
704,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,NASTIFRIN CPTO.S.O.X100ml,LABORATORIO CHILE,$6.999,86%,$980
705,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,NASTIZOL CPTO.JBE.X100ml,BAGO,$8.499,83%,$1.445
706,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,NASTUL CPTO.JBE.X100ml,CHEMOPHARMA S.A.,$8.599,84%,$1.376
707,PARACETAMOL + CLORFENAMINA + PSEUDOEFEDRINA,NASTUL CPTO.X10COM.REC.,CHEMOPHARMA S.A.,$4.799,88%,$576
708,PARACETAMOL + CLORZOXAZONA,BREVEX X20COM.REC.,BAGO,$11.499,12%,$10.119
