,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio enero 2021,Descuento,Precio referencial con convenio enero 2021
469,IBANDRONATO SODICO MONOH,IBAMES 150mg COMP.X1,ANDROMACO FARMA,$35.099,30%,$24.569
470,IBANDRONATO SODICO MONOH,IBANOX (B) 150mg X1COM.REC.,PASTEUR,$21.999,20%,$17.599
471,IBUPROFENO,DEUCODOL FTE.200mg/5ml S.O.X120ml,MEDIPHARM,$5.799,91%,$522
472,IBUPROFENO,DEUCODOL SUSPENSION x 120 ml,MEDIPHARM,$3.999,40%,$2.399
473,IBUPROFENO,IBUPROFENO (B) 400mg X20COM.,LABORATORIO CHILE,$1.599,70%,$480
474,IBUPROFENO + DIPIRONA + CLORMEZANONA,DOLNIX COMP.X10,RECALCINE,$16.499,49%,$8.414
475,IMIPRAMINA,IMIPRAMINA 25mg X40COM.,LABORATORIO CHILE,$1.999,64%,$720
476,INDACATEROL + GLICOPIRRONIO,ULTIBRO BREEZHALER X30CAP.,NOVARTIS CHILE S.A.,$59.999,26%,$44.399
477,INSULINA GLARGINA,LANTUS 100UI/ml CARTUCHOS 3ml X1,AVENTIS,$23.699,17%,$19.670
478,INSULINA GLARGINA,TOUJEO 300UI/ml LAP.PRELL.1.5ml X1,AVENTIS,$34.299,46%,$18.521
479,"INSULINA ISOFANA (NPH, ZINC Y PROTAMINA)",INSULATARD HM 100UI/ml 10ml X1F-A,NOVONORDISK,$35.999,92%,$2.880
480,INSULINA REGULAR (ZINC CRISTALIZADA),ACTRAPID HM 100UI/ml 10ml X1F-A,NOVONORDISK,$32.399,92%,$2.592
481,IPRATROPIO BROMURO,AEROTROP HFA 20mcg INH.X250DS.,D&M PHARMA S.A.,$13.999,88%,$1.680
482,IPRATROPIO BROMURO,ATROVENT 0.025% NEB.X20ml,BOEHRINGER INGELHEIM,$19.199,68%,$6.144
483,IPRATROPIO BROMURO,IPRASYNT HFA 20mcg INH.200DS.,FARMAPRECIO,$8.499,51%,$4.165
484,IPRATROPIO BROMURO DE USO NASAL,ATROVENT 0.03% SOL.NAS.X15ml,CHC SANOFI OTC,$14.999,56%,$6.600
485,IRBESARTAN,IRBEVITAE (B) 150mg X28COM.REC,GALENICUM HEALTH CHILE SPA,$24.199,20%,$19.359
486,IRBESARTAN,IRBEVITAE (B) 300mg X28COM.REC,GALENICUM HEALTH CHILE SPA,$25.499,20%,$20.399
487,IRBESARTAN,APROVEL (R) 150mg X28COM.,AVENTIS,$43.399,20%,$34.719
488,IRBESARTAN + HIDROCLOROTIAZIDA,"COAPROVEL 150/12,5 COMP.X28",AVENTIS,$38.899,41%,$22.950
489,IRBESARTAN + HIDROCLOROTIAZIDA,"COAPROVEL 300/12,5 COMP.X28",AVENTIS,$42.699,46%,$23.057
490,ISOSORBIDE DINITRATO,ISOSORBIDE 10mg X60COM.,HOSPIFARMA,$3.999,92%,$320
491,ISOTRETINOINA SISTEMICA,ACNERAL (B) 10mg X30CAP.BLANDAS,LABORATORIO CHILE,$27.999,20%,$22.399
492,ISOTRETINOINA SISTEMICA,ACNERAL (B) 20mg X30CAP.BLANDAS,LABORATORIO CHILE,$42.499,16%,$35.699
493,ISOTRETINOINA SISTEMICA,INFLADER 10mg X30CAP.,PHARMA INVESTI,$26.299,20%,$21.039
494,ISOTRETINOINA SISTEMICA,INFLADER 20mg X30CAP.,PHARMA INVESTI,$38.399,20%,$30.719
495,JERINGAS,JERINGA DESECH.1ml TUBERCULINA 25G,MED CELL IMPORTACIONES,$499,94%,$ 30
496,JERINGAS,JERINGA DESECHABLE 10ml,HOFFMAN ACCESORIOS MEDICOS,$699,93%,$ 49
497,KETOCONAZOL CAPILAR,FINDER SH. X 100ML,MEDIPHARM,$13.999,52%,$6.720
498,KETOPROFENO,KETOPROFENO 100mg/2ml IV X5AMP.,BIOSANO,$5.599,25%,$4.199
499,KETOPROFENO,Profenid 100 mg x 10 CE,AVENTIS,$13.199,30%,$9.239
500,KETOPROFENO,Profenid 100 mg x 20 CE,AVENTIS,$22.599,34%,$14.915
501,KETOPROFENO,Profenid Bi 150 mg x 10 comp.,AVENTIS,$16.599,36%,$10.623
502,KETOPROFENO,KETOPROFENO (B) 50mg X20CAP.,LABORATORIO CHILE,$2.199,71%,$638
503,KETOROLACO,BURTEN 10mg X10COM.SUBL.,LABORATORIO CHILE,$12.499,20%,$9.999
504,KETOROLACO,BURTEN 10mg X20COM.SUBL.,LABORATORIO CHILE,$20.999,20%,$16.799
505,KETOTIFENO OFTALMICO,OFTALER FORTE 0.05% SOF.X10ml,SAVAL S.A.,$27.499,15%,$23.374
506,KETOTIFENO OFTALMICO,NEDRUS 0.05% SOF.X10ml,SMB,$15.999,23%,$12.319
507,LACOSAMIDA,ALDINAM 100mg X30COM.REC.,RECALCINE,$42.499,47%,$22.524
508,LACOSAMIDA,ALDINAM 200mg X30COM.REC.,RECALCINE,$68.499,25%,$51.374
509,LACOSAMIDA,ALDINAM 50mg X30COM.REC.,RECALCINE,$23.999,24%,$18.239
510,LACTASA,DIOLASA COMP.X30,ANDROMACO FARMA,$15.299,20%,$12.239
511,LACTASA,DIOLASA VAINILLA COMP.X30,ANDROMACO FARMA,$11.999,20%,$9.599
512,LACTASA,DIAVITAL LACTASA X60COM.,MAVER FARMA,$15.999,20%,$12.799
513,LACTOBACILLUS ACIDOPHILUS,BIOLACTUS 1g SOB.X6,SYNTHON,$9.999,30%,$6.999
514,LACTULOSA,LACTULOSA 65% SOL.ORAL 200ml,RECETARIO,$7.499,25%,$5.624
515,LACTULOSA,LACTULOSA 65% SOL.ORAL X1000ml,ANDROMACO FARMA,$35.799,65%,$12.530
516,LAMIVUDINA+ZIDOVUDINA,(R) COMBIVIR COMP.X60,GLAXO,$99.499,30%,$69.649
517,LAMOTRIGINA,LETICO(BE) 100mg COM.X30,EUROFARMA CHILE S.A.,$19.499,57%,$8.385
518,LAMOTRIGINA,DAKSOL (B) 100mg X28COM.,EXELTIS CHILE,$39.499,20%,$31.599
519,LAMOTRIGINA,DAKSOL (B) 25mg X28COM.,EXELTIS CHILE,$11.499,20%,$9.199
520,LAMOTRIGINA,DAKSOL (B) 50mg X28COM.,EXELTIS CHILE,$24.499,20%,$19.599
521,LAMOTRIGINA,LAFIGIN (B) 25mg X30COM.,RECALCINE,$15.999,25%,$11.999
522,LAMOTRIGINA,LAFIGIN 100mg X30COM.,RECALCINE,$39.999,21%,$31.599
523,LAMOTRIGINA,LAFIGIN DT 100mg X30COM.DISP.,RECALCINE,$31.699,25%,$23.774
524,LAMOTRIGINA,LAFIGIN DT 200mg X30COM.DISP.,RECALCINE,$59.999,33%,$40.199
525,LAMOTRIGINA,LAMOTRIGINA 50mg X30COM.DISP.,LABORATORIO CHILE,$7.099,53%,$3.337
526,LAMOTRIGINA,TRADOX 100MG.30COMP.,ANDROMACO FARMA,$40.599,40%,$24.359
527,LAMOTRIGINA,TRADOX 25MG.30COMP.,ANDROMACO FARMA,$19.899,36%,$12.735
528,LAMOTRIGINA,TRADOX 50MG.30COMP.,ANDROMACO FARMA,$32.499,34%,$21.449
529,LAMOTRIGINA,DAKSOL (B) 200mg X28COM.,EXELTIS CHILE,$52.299,35%,$33.994
530,LAMOTRIGINA,MEGANOX 200mg COMP.X30,ETEX FARMACEUTICA LTDA.,$82.499,30%,$57.749
531,LANSOPRAZOL,GASTRIDE 30mg X28COM.,LABORATORIO CHILE,$19.999,20%,$15.999
532,LANSOPRAZOL,LANZOPRAL 30mg COMP.X28,PHARMA INVESTI,$26.999,20%,$21.599
533,LANSOPRAZOL,LANZOPRAZOL 30mg COMP.X30,LABORATORIO CHILE,$3.799,30%,$2.659
534,LATANOPROST,"LATANOPROST 50mcg/ml SOF.X2,5ml",OPKO,$8.499,45%,$4.674
535,LEFLUNOMIDA,ARTROTIN (B) 20mg X30COM.REC.,RECALCINE,$67.999,88%,$8.160
536,LEFLUNOMIDA,ARTRILAB 20mg COMP.X30,ITF (EX LABOMED),$53.299,37%,$33.578
537,LETROZOL,LETROZOL (B) 2.5mg X30COM.,EUROFARMA CHILE S.A.,$31.599,44%,$17.695
538,LEVETIRACETAM,KOPODEX (B) 1000mg X30COM.REC.,RECALCINE,$47.999,64%,$17.280
539,LEVETIRACETAM,KOPODEX (B) 500mg X30COM.REC.,RECALCINE,$24.499,35%,$15.924
540,LEVETIRACETAM,KOPODEX (B) 500mg X60COM.REC.,RECALCINE,$46.799,25%,$35.099
541,LEVETIRACETAM,KOPODEX 100mg/ml S.O.X120ml,RECALCINE,$19.999,63%,$7.400
542,LEVETIRACETAM,KOPODEX XR 500mg X30COM.,RECALCINE,$26.099,28%,$18.791
543,LEVETIRACETAM,LEVEVITAE (B) 1000mg X30COM.REC,GALENICUM HEALTH CHILE SPA,$33.699,61%,$13.143
544,LEVETIRACETAM,LEVEVITAE (B) 500mg X30COM.REC,GALENICUM HEALTH CHILE SPA,$19.199,35%,$12.479
545,LEVOCETIRIZINA,TIRIZ 5mg COMP.X30,EUROFARMA CHILE S.A.,$5.599,40%,$3.359
546,LEVOCETIRIZINA,XUZAL 5mg/ml GTAS.X20ml,GLAXO,$14.499,65%,$5.075
547,LEVOCETIRIZINA,LEVORIGOTAX (B) 5mg X60COM.REC.,PRATER,$13.199,40%,$7.919
548,LEVODOPA + BENZERAZIDA,PROLOPA 200/50 COMP.X30,ROCHE,$28.299,35%,$18.394
549,LEVODOPA + CARBIDOPA,GRIFOPARKIN 30C,LABORATORIO CHILE,$16.899,87%,$2.197
550,LEVODOPA + CARBIDOPA,LEVOFAMIL 250/25 COMP.X30,ANDROMACO FARMA,$22.399,21%,$17.695
551,LEVOFLOXACINO,LEVOXIN(BE) 500mg COMP.X7,EUROFARMA CHILE S.A.,$15.999,58%,$6.720
552,LEVOFLOXACINO,(B) QUINOBIOT 750mg COMP.X10,ANDROMACO FARMA,$19.499,30%,$13.649
553,LEVOFLOXACINO,NOVACILINA 750mg COMP.X10,TECNOFARMA LTDA.,$19.599,13%,$17.051
554,LEVONORGESTREL + ETINILESTRADIOL,ANULETTE 20 CD X28COM.,SILESIA,$13.399,50%,$6.700
555,LEVONORGESTREL + ETINILESTRADIOL,ANULETTE CD X28COM.,SILESIA,$7.199,50%,$3.600
556,LEVONORGESTREL + ETINILESTRADIOL,NORVETAL 20 CD X28COM.REC.,RECALCINE,$11.699,25%,$8.774
557,LEVOTIROXINA,(R) EUTIROX 100mcg TABL.X100,MERCK SA CHILE,$14.399,17%,$11.951
558,LEVOTIROXINA,(R) EUTIROX 100mcg TABL.X50,MERCK SA CHILE,$9.499,32%,$6.459
559,LEVOTIROXINA,(R) EUTIROX 112mcg COMP.X50,MERCK SA CHILE,$14.399,52%,$6.912
560,LEVOTIROXINA,(R) EUTIROX 125mcg TABL.X50,MERCK SA CHILE,$14.399,46%,$7.775
561,LEVOTIROXINA,(R) EUTIROX 50mcg TABL.X50,MERCK SA CHILE,$10.599,61%,$4.134
562,LEVOTIROXINA,(R) EUTIROX 75mcg TABL.X50,MERCK SA CHILE,$11.099,33%,$7.436
563,LEVOTIROXINA,(R) EUTIROX 88mcg COMP.X50,MERCK SA CHILE,$11.699,49%,$5.966
564,LEVOTIROXINA,EUTIROX (R) 137mcg X50COM.,MERCK SA CHILE,$17.699,54%,$8.142
565,LEVOTIROXINA,EUTIROX (R) 150mcg X50COM.,MERCK SA CHILE,$15.899,44%,$8.903
566,LEVOTIROXINA,EUTIROX (R) 175mcg X50COM.,MERCK SA CHILE,$21.299,56%,$9.372
567,LEVOTIROXINA,EUTIROX (R) 200mcg X50COM.,MERCK SA CHILE,$21.599,53%,$10.152
568,LEVOTIROXINA,T4-BAGO (B) 50mcg X50COM.FLEXIDOSIS,BAGO,$7.399,61%,$2.886
569,LEVOTIROXINA,T4-BAGO (B) 75mcg X50COM.FLEXIDOSIS,BAGO,$7.899,55%,$3.555
570,LEVOTIROXINA,T4-BAGO (B) 100mcg X100COM.FLEXIDOSIS,BAGO,$11.599,29%,$8.235
571,LIDOCAINA CLORHIDRATO,LIDOCAINA 2% 5ml X5AMP.,SANDERSON S.A.,$1.399,94%,$84
572,LINAGLIPTINA + METFORMINA,TRAYENTA DUO 2.5mg/500 COMP.X60,BOEHRINGER INGELHEIM,$40.399,50%,$20.200
573,LISINOPRIL,ACERDIL 10mg X30COM.,RECALCINE,$24.999,18%,$20.499
574,LISINOPRIL,ACERDIL 20mg X30COM.REC.,RECALCINE,$34.999,25%,$26.249
575,LISINOPRIL,ACERDIL 5mg X30COM.REC.,RECALCINE,$13.199,25%,$9.899
576,LISINOPRIL,TONOTENSIL 10MG 30C,LABORATORIO CHILE,$22.499,26%,$16.649
577,LISINOPRIL + HIDROCLOROTIAZIDA,ACERDIL D X30COM.,RECALCINE,$34.999,25%,$26.249
578,LISINOPRIL + HIDROCLOROTIAZIDA,TONOTENSIL D 30C,LABORATORIO CHILE,$23.499,35%,$15.274
579,LITIO CARBONATO,CARBORON 300mg X50COM.,PHARMA INVESTI,$18.999,92%,$1.520
580,LITIO CARBONATO,KALITIUM 300mg COM.X50,EUROFARMA CHILE S.A.,$9.899,30%,$6.929
581,LITIO CARBONATO,KALITIUM 450mg COM.X30,EUROFARMA CHILE S.A.,$11.499,30%,$8.049
582,LOPERAMIDA,LOPERAMIDA 2mg X6COM.,LABORATORIO CHILE,$999,81%,$190
583,LORATADINA,LORATADINA (B)10mg X30COM.,LABORATORIO CHILE,$1.399,73%,$378
584,LORATADINA + PSEUDOEFEDRINA,FRENALER D JBE.X100ml,LABORATORIO CHILE,$15.299,20%,$12.239
585,LORATADINA + PSEUDOEFEDRINA,FRENALER D X10CAP.LIB.SOST.,LABORATORIO CHILE,$18.499,20%,$14.799
586,LORATADINA + PSEUDOEFEDRINA,FRENALER D X20CAP.LIB.SOST.,LABORATORIO CHILE,$21.499,20%,$17.199
587,LORATADINA + PSEUDOEFEDRINA,ALLEDRYL D JBE.120ml,PRATER,$6.899,20%,$5.519
588,LOSARTAN,(B) ARATAN 100mg COMP.X30,ANDROMACO FARMA,$20.499,26%,$15.169
589,LOSARTAN,LOSARTAN (B) 100mg X30COM.,LABORATORIO CHILE,$8.199,63%,$3.034
590,LOSARTAN,LOSARTAN (B) 50mg X30COM.,LABORATORIO CHILE,$2.399,88%,$288
591,LOSARTAN,SIMPERTEN 50MG 30CR,LABORATORIO CHILE,$7.499,35%,$4.874
592,LOSARTAN,CORODIN (B) 100mg X30COM.,RECALCINE,$20.499,7%,$19.064
593,LOSARTAN + HIDROCLOROTIAZIDA,CORODIN D FTE.COMP.REC.X30,RECALCINE,$28.499,35%,$18.524
594,LOSARTAN + HIDROCLOROTIAZIDA,LOSARTAN/HIDROCL 100/25 X30COM.,EUROFARMA CHILE S.A.,$2.999,30%,$2.099
595,LOSARTAN + HIDROCLOROTIAZIDA,LOSARTAN/HIDROCL 50/12.5 X30COM.REC.,ASCEND LABORATORIES SPA,$4.699,30%,$3.289
596,LOSARTAN + HIDROCLOROTIAZIDA,SIMPERTEN D 100/25 30CR,LABORATORIO CHILE,$29.499,35%,$19.174
597,LOSARTAN + HIDROCLOROTIAZIDA,SIMPERTEN D 30C AA,LABORATORIO CHILE,$26.499,35%,$17.224
598,LOVASTATINA,LOVASTATINA 20mg X28COM.,LABORATORIO CHILE,$1.999,70%,$600
599,MACROGOL,CONTUMAX PVO.X15SOB.,TECNOFARMA LTDA.,$19.499,68%,$6.240
600,MACROGOL,LAX SOB.X7,ANDROMACO FARMA,$13.299,48%,$6.915
601,MEBENDAZOL,MEBENDAZOL 100mg X6COM.,HOSPIFARMA,$1.599,43%,$911
602,MEBEVERINA,EVADOL XR 200mg CAPS.X30,ANDROMACO FARMA,$26.599,43%,$15.161
603,MEBEVERINA,MEDITOINA 135 mg. x 30 comprimidos,MEDIPHARM,$13.999,25%,$10.499
604,MEBEVERINA,DUSPATALIN 200mg 30CAP.,RECALCINE,$22.999,30%,$16.099
605,MEDROXIPROGESTERONA,PRODASONE (R) 5mg X20COM.,PFIZER,$14.199,68%,$4.544
606,MEDROXIPROGESTERONA,SAYANA PRESS 1JP.,PFIZER,$52.599,33%,$35.241
607,MEMANTINA,EBIXA 20mg X28COM.REC.,LUNDBECK,$97.299,25%,$72.974
608,MEMANTINA,EUTEBROL 20mg X30COM.,TECNOFARMA LTDA.,$30.799,30%,$21.559
609,MEMANTINA,MIMETIX ODT 10mg X60COM.REC.,RECALCINE,$47.499,40%,$28.499
610,MEMANTINA,MIMETIX ODT 20mg X30COM.REC.,RECALCINE,$49.999,50%,$25.000
611,MEMANTINA,NEUROPRON FT 20mg COM.X30,ANDROMACO FARMA,$50.999,40%,$30.599
612,MEMANTINA,VIVIMEX 10mg COMP.X60,PHARMA INVESTI,$38.199,30%,$26.739
613,MEMANTINA,MEMANVITAE (B) 10mg X56COM.REC,GALENICUM HEALTH CHILE SPA,$31.599,30%,$22.119
614,MEMANTINA,VIVIMEX 20 20mg X30COM.REC.,PHARMA INVESTI,$49.099,25%,$36.824
615,MESALAZINA,PENTASA 1g X50SOB.,FERRING,$87.399,18%,$71.667
616,MESALAZINA,PENTASA 2g X30SOB.,FERRING,$95.299,20%,$76.239
617,MESALAZINA,PENTASA 500mg X100COM.,FERRING,$86.799,20%,$69.439
618,METAMIZOL MAGNESICO + PARGEVERINA CLORHI,BEVITEX CPTO.GTAS 30ml,PRATER,$6.299,23%,$4.850
619,METFORMINA,(B) GLAFORNIL XR 1000 COMP.X30,MERCK SA CHILE,$24.199,35%,$15.729
620,METFORMINA,(B) GLIFORTEX 850mg COMP.X30,ANDROMACO FARMA,$13.199,25%,$9.899
621,METFORMINA,(B) GLIFORTEX 850mg COMP.X60,ANDROMACO FARMA,$16.899,26%,$12.505
622,METFORMINA,(R) GLAFORNIL 850mg COMP.X30,MERCK SA CHILE,$14.399,29%,$10.223
623,METFORMINA,GLAFORNIL (R) 500mg X30COM.,MERCK SA CHILE,$8.899,38%,$5.517
624,METFORMINA,GLIDANIL 500mg. BE x 30 compr.,MEDIPHARM,$3.599,38%,$2.231
625,METFORMINA,GLIDANIL 850 MG. 30 comprimidos (BE),MEDIPHARM,$4.399,70%,$1.320
626,METFORMINA,GLIFORTEX XR 1000 COMP.X30,ANDROMACO FARMA,$15.699,30%,$10.989
627,METFORMINA,GLIFORTEX XR 500 COMP.X30,ANDROMACO FARMA,$8.799,30%,$6.159
628,METFORMINA,GLIFORTEX XR 750 COMP.X30,ANDROMACO FARMA,$12.999,30%,$9.099
629,METFORMINA,HIPOGLUCIN 1000 LP 30 C,LABORATORIO CHILE,$13.999,35%,$9.099
630,METFORMINA,HIPOGLUCIN 1000 LP 60 C,LABORATORIO CHILE,$25.499,35%,$16.574
631,METFORMINA,HIPOGLUCIN 1GR 30C,LABORATORIO CHILE,$17.999,35%,$11.699
632,METFORMINA,HIPOGLUCIN 500 MG 30 C LP,LABORATORIO CHILE,$7.999,35%,$5.199
633,METFORMINA,HIPOGLUCIN 500 MG 60 C LP,LABORATORIO CHILE,$11.999,35%,$7.799
634,METFORMINA,HIPOGLUCIN 750 LP 30 C,LABORATORIO CHILE,$12.599,38%,$7.811
635,METFORMINA,HIPOGLUCIN 750 LP 60 C,LABORATORIO CHILE,$21.599,35%,$14.039
636,METFORMINA,HIPOGLUCIN 850MG 30CR,LABORATORIO CHILE,$7.999,35%,$5.199
637,METFORMINA,HIPOGLUCIN 850MG 60 CR,LABORATORIO CHILE,$16.499,35%,$10.724
638,METFORMINA,METFORMINA (B) 850mg X30COM.REC.,LABORATORIO CHILE,$2.899,67%,$957
639,METFORMINA,METFORMINA (B) 850mg X60COM.REC.,LABORATORIO CHILE,$4.999,88%,$600
640,METFORMINA,GLAUPAX (B) 500mg X30COM.REC.,PASTEUR,$6.799,35%,$4.419
641,METFORMINA,GLAUPAX XR (B) 750mg X30COM.PROL.,PASTEUR,$11.999,30%,$8.399
642,METFORMINA,(R) GLAFORNIL 1000mg COM.X30,MERCK SA CHILE,$23.699,34%,$15.641
643,METFORMINA + GLIBENCLAMIDA,GLUCOVANCE 500/5 COMP.X30,MERCK SA CHILE,$19.799,30%,$13.859
644,METFORMINA + GLIBENCLAMIDA,GLUKAUT 500/5 X60COM.,SANITAS S.A.,$10.999,90%,$1.100
645,METFORMINA + GLIBENCLAMIDA,HIPOGLUCIN DA 500MG/2.5MG 30C,LABORATORIO CHILE,$9.999,31%,$6.899
646,METFORMINA + GLIBENCLAMIDA,HIPOGLUCIN DA 500MG/5MG 30C,LABORATORIO CHILE,$10.499,32%,$7.139
647,METFORMINA + GLIBENCLAMIDA,GLICENEX DUO 500/2.5 X30COM.REC.,BAGO,$10.899,35%,$7.084
648,METILFENIDATO,ARADIX (B) 10mg X30COM.,RECALCINE,$24.499,20%,$19.599
649,METILFENIDATO,ARADIX RET.10mg X30COM.,RECALCINE,$32.699,16%,$27.467
650,METILFENIDATO,ARADIX RET.20mg X30COM.,RECALCINE,$45.499,20%,$36.399
651,METILFENIDATO,METRANS XR 20MG. CAJA 30 COMP.REC. LP,ANDROMACO FARMA,$38.299,40%,$22.979
652,METILFENIDATO,NEBAPUL (B) 10mg X30COM.,PHARMA INVESTI,$11.399,61%,$4.446
653,METILFENIDATO,RUBIFEN (B) 10mg X30COM.,EXELTIS CHILE,$22.399,20%,$17.919
654,METILFENIDATO,RUBIFEN SR (B) 20mg X30COM.,EXELTIS CHILE,$35.399,20%,$28.319
655,METILPREDNISOLONA,DEPO MEDROL 80mg/ml X1F-A,PFIZER,$43.299,41%,$25.546
656,METILPREDNISOLONA,MEDROL 4mg X20COM.,PFIZER,$19.099,33%,$12.796
657,METILPREDNISOLONA,SOLU MEDROL 40mg X1AMP.,PFIZER,$9.299,66%,$3.162
658,METISOPRINOL,ISOPRINOSINE 500mg COMP.X20,ANDROMACO FARMA,$52.499,30%,$36.749
659,METOCLOPRAMIDA,METOCLOPRAMIDA (B) 10mg X24COM.,LABORATORIO CHILE,$1.699,68%,$544
660,METOPROLOL,BETALOC ZOK 25mg X30COM.PROL.,ASTRA ZENECA DE CHILE LTDA.,$24.199,66%,$8.228
661,METOPROLOL,BETALOC ZOK 50mg COMP.X30,ASTRA ZENECA DE CHILE LTDA.,$29.999,61%,$11.700
662,METRONIDAZOL,METROPAST (B) 500mg X20COM.,PASTEUR,$9.899,51%,$4.851
663,METRONIDAZOL DERMICO,MEDAZOL GEL 30 grs.,MEDIPHARM,$7.899,25%,$5.924
664,METRONIDAZOL OVULOS,METRONIDAZOL 500mg X10OVULOS,LABORATORIO CHILE,$2.699,47%,$1.430
665,MICOFENOLATO MOFETIL,LINFONEX (B) 250mg X60COM.REC.,RECALCINE,$65.499,35%,$42.574
666,MICOFENOLATO MOFETIL,LINFONEX (B) 500mg X30COM.REC.,RECALCINE,$65.999,30%,$46.199
667,MICOFENOLATO MOFETIL,MICOFENOLATO (B) 500mg X50COM.,LABORATORIO CHILE,$34.599,18%,$28.371
668,MINOCICLINA,BAGOMICINA 100mg COMP.X15,BAGO,$24.799,30%,$17.359
669,MIRTAZAPINA,CIBLEX (B) 15mg X30COM.REC.,RECALCINE,$22.499,25%,$16.874
670,MIRTAZAPINA,CIBLEX (B) 30mg X30COM.REC.,RECALCINE,$49.499,38%,$30.689
671,MIRTAZAPINA,DIVARIL (B) 30mg X30COM.REC.,TECNOFARMA LTDA.,$26.199,16%,$22.007
672,MOMETASONA FUROATO PARA INHALACION,PLUSTER 50mcg NEB.X120DS.,BOEHRINGER INGELHEIM,$10.199,62%,$3.876
673,MOMETASONA FUROATO PARA INHALACION,RINITEK FREE 50mcg NEB.NAS.X200DS.,RECALCINE,$18.999,24%,$14.439
674,MOMETASONA FUROATO PARA INHALACION,SYNALLER 50mcg NEB.X200DS.,PASTEUR,$13.999,25%,$10.499
675,MONTELUKAST,LUCASTE(BE) 4mg COM.X30,EUROFARMA CHILE S.A.,$17.999,41%,$10.619
676,MONTELUKAST,LUCASTE(BE) 5mg COM.X30,EUROFARMA CHILE S.A.,$17.999,37%,$11.339
677,MONTELUKAST,BRONDILAT (B) 10mg X30COM.REC.,RECALCINE,$54.899,93%,$3.843
678,MONTELUKAST,BRONDILAT 4mg X30COM.REC.,RECALCINE,$36.499,25%,$27.374
679,MONTELUKAST,BRONDILAT 5mg X30COM.REC.,RECALCINE,$35.499,25%,$26.624
680,MONTELUKAST,BRONDILAT PED.4mg GRAN.X40SOB.,RECALCINE,$34.199,51%,$16.758
681,MONTELUKAST,MONKAST (B) 5mg X28COM.MAST.,PASTEUR,$18.399,25%,$13.799
682,MONTELUKAST,MONKAST (B) 4mg X28COM.MAST.,PASTEUR,$16.999,25%,$12.749
683,MUPIROCINA,MUPAX 2% UNG.X7.5g,RECALCINE,$6.299,15%,$5.354
684,N-ACETILCISTEINA,FLUIDASA 100mg X10SOB.,RECALCINE,$4.499,20%,$3.599
685,N-ACETILCISTEINA,FLUIDASA 600mg X10SOB.,RECALCINE,$4.799,20%,$3.839
686,NAPROXENO,NAPROXENO (B) 550mg X10COM.,ANDROMACO FARMA,$2.799,62%,$1.064
687,NEBIVOLOL,ANFIBOL (B) 5mg X30COM.REC.,RECALCINE,$22.999,25%,$17.249
688,NEBIVOLOL,DOOX 5 MG 30 COMP,LABORATORIO CHILE,$21.699,45%,$11.934
689,NEBIVOLOL,PERTIUM (B) 5mg X30COM.,SAVAL S.A.,$15.399,24%,$11.703
690,NIFEDIPINO,NIFEDIPINO RET.20mg X30COM.REC.,LABORATORIO CHILE,$2.499,80%,$500
691,NIFUROXAZIDA + FTALILSULFATIAZOL,LIRACOL x 20 comprimidos,MEDIPHARM,$3.799,25%,$2.849
692,NIFUROXAZIDA + FTALILSULFATIAZOL,IMECOL AD. 16COM.,MAVER FARMA,$3.799,25%,$2.849
693,NISTATINA + ZINC OXIDO + VIT.A + VIT.D,NISTAGLOS CR.30g,ANDROMACO FARMA,$14.699,30%,$10.289
694,NISTATINA DERMICA,NISTATINA 100000UI UNG.X15g,LABORATORIO CHILE,$2.399,51%,$1.176
695,NISTATINA VAGINAL,NISTATINA 100000UI X12OVULOS,LABORATORIO CHILE,$3.599,54%,$1.656
696,NITROFURANTOINA,NITROFURANTOINA 100mg X10COM.,HOSPIFARMA,$1.599,21%,$1.263
697,NITROFURANTOINA,MACROSAN (B) 100mg X15CAP.,SANITAS S.A.,$10.499,30%,$7.349
698,NOMEGESTROL,MARILOW X28COM.,RECALCINE,$18.499,25%,$13.874
699,NOMEGESTROL,POEM 2.5mg X28COM.,SILESIA,$19.899,50%,$9.950
700,NOSCAPINA,NOSCAPINA 5mg/5ml JBE.X100ml,HOSPIFARMA,$2.699,52%,$1.296
701,NOSCAPINA + PARACETAMOL + PSEUDOEFEDRINA + ACIDO ASCORBICO,CONGESTEX GTAS.X15ml,RECALCINE,$13.499,25%,$10.124
702,NOSCAPINA + PARACETAMOL + PSEUDOEFEDRINA + ACIDO ASCORBICO,CONGESTEX JBE.X120ml,RECALCINE,$10.499,25%,$7.874
703,NOSCAPINA + PARACETAMOL + PSEUDOEFEDRINA + ACIDO ASCORBICO,CONGESTEX X10CAP.,RECALCINE,$9.999,25%,$7.499
704,OLANZAPINA,SINCRIS (B) 10mg X30COM.REC.,LABORATORIO CHILE,$34.999,45%,$19.249
705,OLANZAPINA,(B) SINCRIS 5mg COMP.X30,LABORATORIO CHILE,$23.999,35%,$15.599
706,OLANZAPINA,ZAPINEX FT 10mg COMP.X30,ANDROMACO FARMA,$96.999,14%,$83.419
707,OLANZAPINA,OLANFAR (B) 10mg X30COM.REC.,MEDIPHARM,$28.999,30%,$20.299
708,OLANZAPINA,(B) AMULSIN 10mg COMP.X30,SANITAS S.A.,$44.199,20%,$35.359
