,Laboratorio,Descripción Medicamento,Descuento,Precio referencial sin convenio 03/07/2018,Precio referencial redondeado El Botiquín 03/07/2018
571,NOVARTIS CHILE S.A.,RASILEZ 150mg X28COM.REC.,20%,$ 32.999,$ 26.399
572,NOVARTIS CHILE S.A.,RASILEZ 300mg X28COM.REC.,20%,$ 38.299,$ 30.639
573,NOVARTIS CHILE S.A.,GALVUS 50mg X56COM.,20%,$ 40.499,$ 32.399
574,NOVARTIS CHILE S.A.,GALVUS 50mg X28COM.,25%,$ 25.999,$ 19.499
575,NOVARTIS CHILE S.A.,RASILEZ D 300/12.5 X28COM.REC.,20%,$ 41.499,$ 33.199
576,NOVARTIS CHILE S.A.,GALVUS MET 50/850 X56COM.REC.,20%,$ 45.899,$ 36.719
577,NOVARTIS CHILE S.A.,GALVUS MET 50/850 X28COM.REC.,20%,$ 32.199,$ 25.759
578,NOVARTIS CHILE S.A.,GALVUS MET 50/1000 X56COM.REC.,20%,$ 43.499,$ 34.799
579,NOVARTIS CHILE S.A.,GALVUS MET 50/1000 X28COM.REC.,20%,$ 27.999,$ 22.399
580,NOVARTIS CHILE S.A.,EXFORGE D 10/160/12.5 X28COM.REC.,20%,$ 37.199,$ 29.759
581,NOVARTIS CHILE S.A.,EXFORGE D 10/320/25 X28COM.REC.,20%,$ 37.999,$ 30.399
582,NOVARTIS CHILE S.A.,EXFORGE D 5/160/12.5 X28COM.REC.,20%,$ 49.299,$ 39.439
583,NOVARTIS CHILE S.A.,GALVUS MET 50/500 X28COM.REC.,20%,$ 24.899,$ 19.919
584,NOVARTIS CHILE S.A.,GALVUS MET 50/500 X56COM.REC.,20%,$ 45.899,$ 36.719
585,NOVARTIS CHILE S.A.,TAREG (R) 320mg X28COM.REC.,30%,$ 35.299,$ 24.709
586,NOVARTIS CHILE S.A.,TAREG (R) 80mg X28COM.REC.,30%,$ 39.099,$ 27.369
587,NOVARTIS CHILE S.A.,EXFORGE 5/160 X56COM.REC.,20%,$ 73.499,$ 58.799
588,NOVARTIS CHILE S.A.,EXELON 15 X30PCHE.,30%,$ 125.599,$ 87.919
589,NOVARTIS CHILE S.A.,ULTIBRO BREEZHALER X30CAP.,25%,$ 57.199,$ 42.899
590,ASTRA ZENECA DE CHILE LTDA.,SEROQUEL (R) 25mg X30COM.,25%,$ 36.899,$ 27.674
591,ASTRA ZENECA DE CHILE LTDA.,CRESTOR TABLETS (R) 40mg X30COM.,25%,$ 78.399,$ 58.799
592,ASTRA ZENECA DE CHILE LTDA.,CRESTOR TABLETS (R) 20mg X30COM.,25%,$ 52.999,$ 39.749
593,ASTRA ZENECA DE CHILE LTDA.,SEROQUEL XR (R) 400mg X30COM.PROL.,25%,$ 113.699,$ 85.274
594,ASTRA ZENECA DE CHILE LTDA.,SEROQUEL XR (R) 300mg X30COM.PROL,25%,$ 98.999,$ 74.249
595,ASTRA ZENECA DE CHILE LTDA.,SEROQUEL XR (R) 200mg X30COM.PROL,25%,$ 88.399,$ 66.299
596,ASTRA ZENECA DE CHILE LTDA.,SEROQUEL XR (R) 50mg X30COM.PROL.,25%,$ 69.399,$ 52.049
597,ASTRA ZENECA DE CHILE LTDA.,SEROQUEL XR 150mg X30COM.PROL.,25%,$ 79.999,$ 59.999
598,ASTRA ZENECA DE CHILE LTDA.,SEROQUEL (R) 300mg X30COM.,25%,$ 137.199,$ 102.899
599,ASTRA ZENECA DE CHILE LTDA.,SEROQUEL (R) 200mg X30COM.,25%,$ 93.999,$ 70.499
600,ASTRA ZENECA DE CHILE LTDA.,SEROQUEL (R) 100mg X30COM.,25%,$ 67.399,$ 50.549
601,LABORATORIO CHILE,BURTEN 10mg X10COM.SUBL.,20%,$ 10.999,$ 8.799
602,LABORATORIO CHILE,BURTEN 10mg X20COM.SUBL.,20%,$ 18.999,$ 15.199
603,LABORATORIO CHILE,GASTRIDE 30mg X28COM.,20%,$ 19.999,$ 15.999
604,LABORATORIO CHILE,LACTIL 1g X6SOB.,30%,$ 10.999,$ 7.699
605,LABORATORIO CHILE,LACTIL 250mg X12CAP.,30%,$ 13.299,$ 9.309
606,LABORATORIO CHILE,ACNERAL (B) 10mg X30CAP.BLANDAS,20%,$ 25.099,$ 20.079
607,LABORATORIO CHILE,ACNERAL (B) 20mg X30CAP.BLANDAS,20%,$ 38.599,$ 30.879
608,LABORATORIO CHILE,AEROFACIDOSE AEROCAMARA AD/ESCOLAR,20%,$ 7.999,$ 6.399
609,LABORATORIO CHILE,AEROFACIDOSE AEROCAMARA LACTANTE,20%,$ 7.999,$ 6.399
610,LABORATORIO CHILE,CORTIPREX (B) 20mg X20COM.REC.,20%,$ 6.699,$ 5.359
611,LABORATORIO CHILE,CORTIPREX 1mg/ml S.O.X100ml,20%,$ 10.999,$ 8.799
612,LABORATORIO CHILE,FRENALER D JBE.X100ml,20%,$ 13.699,$ 10.959
613,LABORATORIO CHILE,FRENALER D X10CAP.LIB.SOST.,20%,$ 16.699,$ 13.359
614,LABORATORIO CHILE,FRENALER D X20CAP.LIB.SOST.,20%,$ 20.099,$ 16.079
615,LABORATORIO CHILE,ARTRIDOL DUO PVO.SOL.X30SOB.,20%,$ 33.999,$ 27.199
616,LABORATORIO CHILE,EPRAL 20mg X30CAP.,20%,$ 14.799,$ 11.839
617,LABORATORIO CHILE,FEMINOL 20 CD X28COM.REC.,20%,$ 11.399,$ 9.119
618,RAFFO S.A.,MUPAX 2% UNG.X7.5g,15%,$ 9.999,$ 8.499
619,RAFFO S.A.,PLUSGIN 150mg X1COM.,15%,$ 6.099,$ 5.184
620,RAFFO S.A.,PLUSGIN 150mg X10COM.,15%,$ 32.120,$ 27.302
621,RAFFO S.A.,PLUSGIN 150mg X2COM.,15%,$ 10.290,$ 8.747
622,RAFFO S.A.,PLUSGIN 150mg X4COM.,15%,$ 10.999,$ 9.349
623,RAFFO S.A.,PLUSGIN (B) 150mg X10CAP.,15%,$ 21.299,$ 18.104
624,RAFFO S.A.,PLUSGIN (B) 150mg X1CAP.,15%,$ 4.299,$ 3.654
625,RAFFO S.A.,PLUSGIN (B) 150mg X2CAP.,15%,$ 6.499,$ 5.524
626,RAFFO S.A.,PLUSGIN (B) 150mg X4CAP.,15%,$ 9.999,$ 8.499
627,RECALCINE,ACERDIL 10mg X30COM.,25%,$ 24.799,$ 18.599
628,RECALCINE,ACERDIL 20mg X30COM.REC.,25%,$ 34.999,$ 26.249
629,RECALCINE,ACERDIL 5mg X30COM.REC.,25%,$ 12.399,$ 9.299
630,RECALCINE,ACERDIL D X30COM.,25%,$ 34.999,$ 26.249
631,RECALCINE,ACOTOL X28COM.REC.,25%,$ 14.199,$ 10.649
632,RECALCINE,ACUODE 50.000UI PVO.SOL.X2SOB.,50%,$ 13.499,$ 6.750
633,RECALCINE,ALDINAM 100mg X30COM.REC.,25%,$ 44.399,$ 33.299
634,RECALCINE,ALDINAM 200mg X30COM.REC.,25%,$ 70.499,$ 52.874
635,RECALCINE,ALDINAM 50mg X30COM.REC.,25%,$ 24.999,$ 18.749
636,RECALCINE,ANALGEX SAP X20COM.REC.,50%,$ 19.599,$ 9.800
637,RECALCINE,ANFIBOL (B) 5mg X30COM.REC.,25%,$ 21.699,$ 16.274
638,RECALCINE,APEPLUS (B) 1mg X30COM.,35%,$ 26.199,$ 17.029
639,RECALCINE,APEPLUS (B) 1mg X90COM.,35%,$ 78.999,$ 51.349
640,RECALCINE,ARLETTE 28 X28COM.REC.,25%,$ 13.999,$ 10.499
641,RECALCINE,ARTESOL 100mg X30COM.,35%,$ 31.199,$ 20.279
642,RECALCINE,ARTESOL 50mg X30COM.,35%,$ 19.299,$ 12.544
643,RECALCINE,ARTROTIN (B) 20mg X30COM.REC.,35%,$ 65.899,$ 42.834
644,RECALCINE,AZYMOL 10mg X30COM.,25%,$ 49.099,$ 36.824
645,RECALCINE,AZYMOL 15mg X30COM.,25%,$ 72.499,$ 54.374
646,RECALCINE,AZYMOL 5mg X30COM.,25%,$ 33.999,$ 25.499
647,RECALCINE,BETAPLEX (B) 12.5mg X30COM.,25%,$ 16.999,$ 12.749
648,RECALCINE,BETAPLEX (B) 25mg X30COM.,25%,$ 21.699,$ 16.274
649,RECALCINE,"BETAPLEX (B) 6,25mg X30COM.",25%,$ 9.199,$ 6.899
650,RECALCINE,BETAPLEX CR 10mg X30COM.,25%,$ 8.199,$ 6.149
651,RECALCINE,BETAPLEX CR 20mg X30COM.,25%,$ 13.899,$ 10.424
652,RECALCINE,BETAPLEX CR 40mg X30COM.,25%,$ 18.999,$ 14.249
653,RECALCINE,BIOPSOL 0.25mg X30COM.,25%,$ 13.899,$ 10.424
654,RECALCINE,BIOPSOL 1mg X30COM.,25%,$ 45.599,$ 34.199
655,RECALCINE,CAPRIMIDA D FTE.X30CAP.,25%,$ 10.299,$ 7.724
656,RECALCINE,CARDIOPLUS 20mg X30COM.REC.,25%,$ 18.699,$ 14.024
657,RECALCINE,CARDIOPLUS 40mg X30COM.REC.,25%,$ 18.899,$ 14.174
658,RECALCINE,CARDIOPLUS D 20/12.5 X30COM.REC.,25%,$ 21.999,$ 16.499
659,RECALCINE,CARDIOPLUS D 40/12.5 X30COM.REC.,25%,$ 23.199,$ 17.399
660,RECALCINE,CIBLEX (B) 15mg X30COM.REC.,25%,$ 20.999,$ 15.749
661,RECALCINE,CIBLEX (B) 30mg X30COM.REC.,25%,$ 49.499,$ 37.124
662,RECALCINE,CICLIDON X21COM.REC.,25%,$ 21.599,$ 16.199
663,RECALCINE,CICLOMEX 15 X28COM.REC.,25%,$ 12.999,$ 9.749
664,RECALCINE,CICLOMEX 20 CD X28COM.REC.,25%,$ 11.999,$ 8.999
665,RECALCINE,CICLOMEX CD X28COM.REC.,25%,$ 13.299,$ 9.974
666,RECALCINE,CLINOMAT X30COM.REC.,25%,$ 21.099,$ 15.824
667,RECALCINE,CLUVAX 100mg X3CAP.VAG.,50%,$ 15.199,$ 7.600
668,RECALCINE,CLUVAX 100mg X7CAP.VAG.,50%,$ 23.499,$ 11.750
669,RECALCINE,CRESADEX 10mg X30COM.REC.,25%,$ 25.399,$ 19.049
670,RECALCINE,CRESADEX 20mg X30COM.REC.,25%,$ 35.099,$ 26.324
671,RECALCINE,DAL X28COM.REC.,25%,$ 13.299,$ 9.974
672,RECALCINE,DAZOLIN ODT 10mg X30COM.DISP.,50%,$ 77.499,$ 38.750
673,RECALCINE,DAZOLIN ODT 5mg X30COM.DISP.,50%,$ 74.999,$ 37.500
674,RECALCINE,DAZOLIN SR 23mg X30COM.,50%,$ 80.999,$ 40.500
675,RECALCINE,DIXI 35 X21GRA.,50%,$ 21.999,$ 11.000
676,RECALCINE,DOLIPRAN 2.5mg X6COM.,25%,$ 12.199,$ 9.149
677,RECALCINE,DUCETEN 30mg X30CAP.,35%,$ 17.399,$ 11.309
678,RECALCINE,DUCETEN 60mg X30CAP.,35%,$ 21.099,$ 13.714
679,RECALCINE,ELEVAL 100mg X30COM.REC.,25%,$ 35.099,$ 26.324
680,RECALCINE,ELEVAL 50mg X30COM.REC.,25%,$ 18.299,$ 13.724
681,RECALCINE,ELEVAL 50mg X60COM.REC.,25%,$ 33.999,$ 25.499
682,RECALCINE,FEMELLE 20 FOL X28COM.REC.,25%,$ 18.399,$ 13.799
683,RECALCINE,FEMELLE 20 X28COM.REC.,25%,$ 14.799,$ 11.099
684,RECALCINE,FEMELLE FOL X28COM.REC.,25%,$ 18.299,$ 13.724
685,RECALCINE,FEMELLE X28COM.REC.,25%,$ 17.599,$ 13.199
686,RECALCINE,FUROKAL 250mg X100CAP.,25%,$ 71.599,$ 53.699
687,RECALCINE,FUROKAL 500mg X50CAP.,25%,$ 81.099,$ 60.824
688,RECALCINE,GESER 30mg X30COM.REC.,25%,$ 86.599,$ 64.949
689,RECALCINE,GESER 60mg X30COM.REC.,25%,$ 164.299,$ 123.224
690,RECALCINE,GINODERM 0.06% GEL X80g,25%,$ 23.199,$ 17.399
691,RECALCINE,GYNORELLE X28COM.REC.,50%,$ 21.699,$ 10.850
692,RECALCINE,HIPERFLEX K FTE.X60COM.,25%,$ 34.599,$ 25.949
693,RECALCINE,HIPERFLEX UD 4.7g X35SOB.,35%,$ 40.999,$ 26.649
694,RECALCINE,IPRAN (B) 10mg X30COM.REC.,35%,$ 27.099,$ 17.614
695,RECALCINE,IPRAN (B) 20mg X30COM.REC.,35%,$ 48.999,$ 31.849
696,RECALCINE,KOPODEX (B) 1000mg X30COM.REC.,35%,$ 47.799,$ 31.069
697,RECALCINE,KOPODEX (B) 500mg X30COM.REC.,35%,$ 23.099,$ 15.014
698,RECALCINE,KOPODEX (B) 500mg X60COM.REC.,35%,$ 46.799,$ 30.419
699,RECALCINE,KOPODEX 100mg/ml S.O.X120ml,35%,$ 18.199,$ 11.829
700,RECALCINE,KOPODEX XR 500mg X30COM.,35%,$ 26.099,$ 16.964
701,RECALCINE,LAFIGIN (B) 25mg X30COM.,25%,$ 16.799,$ 12.599
702,RECALCINE,LAFIGIN (B) 50mg X30COM.,25%,$ 31.899,$ 23.924
703,RECALCINE,LAFIGIN 100mg X30COM.,25%,$ 38.999,$ 29.249
704,RECALCINE,LAFIGIN DT 100mg X30COM.DISP.,25%,$ 32.399,$ 24.299
705,RECALCINE,LAFIGIN DT 200mg X30COM.DISP.,25%,$ 54.799,$ 41.099
706,RECALCINE,LEODRIN 70 DUO X4/56COM.REC.,25%,$ 22.399,$ 16.799
707,RECALCINE,LEODRIN PLUS 5600 X5COM.,25%,$ 30.899,$ 23.174
708,RECALCINE,LEROGIN X30GRA.,50%,$ 20.099,$ 10.050
709,RECALCINE,LINFONEX (B) 250mg X60COM.REC.,35%,$ 65.099,$ 42.314
710,RECALCINE,LINFONEX (B) 500mg X30COM.REC.,35%,$ 69.299,$ 45.044
711,RECALCINE,MARILOW X28COM.,25%,$ 16.499,$ 12.374
712,RECALCINE,MEMOREX X60CAP.,25%,$ 28.799,$ 21.599
713,RECALCINE,MIMETIX ODT 10mg X60COM.REC.,50%,$ 50.399,$ 25.200
714,RECALCINE,MIMETIX ODT 20mg X30COM.REC.,50%,$ 52.899,$ 26.450
715,RECALCINE,MIZONASE SET,50%,$ 18.899,$ 9.450
716,RECALCINE,NEORESOTYL 150mg X30COM.,25%,$ 40.199,$ 30.149
717,RECALCINE,NEORESOTYL 50mg X30COM.,25%,$ 28.599,$ 21.449
718,RECALCINE,NEUROCAM X10COM.REC.,25%,$ 19.599,$ 14.699
719,RECALCINE,NORVETAL 20 CD X28COM.REC.,25%,$ 11.099,$ 8.324
720,RECALCINE,NORVETAL CD X28COM.REC.,50%,$ 6.399,$ 3.200
721,RECALCINE,ORALAFI 7.5mg X15COM.PROL.,25%,$ 14.199,$ 10.649
722,RECALCINE,OXICODAL 300mg X30COM.,25%,$ 20.199,$ 15.149
723,RECALCINE,OXICODAL 600mg X30COM.,25%,$ 32.599,$ 24.449
724,RECALCINE,PIPLEX (B) 20mg X30CAP.BLANDAS,35%,$ 49.999,$ 32.499
725,RECALCINE,PLANIDEN ODT 10mg X30COM.,25%,$ 13.799,$ 10.349
726,RECALCINE,PLANIDEN ODT 5mg X30COM.,25%,$ 6.999,$ 5.249
727,RECALCINE,PLURIAMIN X30COM.PROL.,50%,$ 18.099,$ 9.050
728,RECALCINE,PREGOBIN (B) 150mg X30CAP.,25%,$ 42.899,$ 32.174
729,RECALCINE,PREGOBIN (B) 75mg X30CAP.,25%,$ 23.199,$ 17.399
730,RECALCINE,PRENAMIN NATAL VITAM/OMEGA X60CAP.,25%,$ 18.999,$ 14.249
731,RECALCINE,PRIMAQUIN 1mg X30COM.REC.,25%,$ 13.699,$ 10.274
732,RECALCINE,PROGENDO 100mg X30CAP.BLANDAS,25%,$ 19.299,$ 14.474
733,RECALCINE,PROGENDO 200mg X30CAP.BLANDAS,25%,$ 21.999,$ 16.499
734,RECALCINE,PROGENDO 400mg X30CAP.BLANDAS,25%,$ 31.999,$ 23.999
735,RECALCINE,PROSTALL 0.4mg X30COM.PROL.,25%,$ 19.599,$ 14.699
736,RECALCINE,QUETIDIN (B) 100mg X30COM.REC.,35%,$ 41.199,$ 26.779
737,RECALCINE,QUETIDIN (B) 200mg X30COM.REC.,35%,$ 65.199,$ 42.379
738,RECALCINE,QUETIDIN (B) 25mg X30COM.REC.,35%,$ 24.499,$ 15.924
739,RECALCINE,QUETIDIN (B) 300mg X30COM.REC.,35%,$ 82.999,$ 53.949
740,RECALCINE,QUETIDIN XR 150mg X30COM.,35%,$ 47.499,$ 30.874
741,RECALCINE,QUETIDIN XR 200mg X30COM.REC.,35%,$ 53.099,$ 34.514
742,RECALCINE,QUETIDIN XR 300mg X30COM.REC.,35%,$ 69.999,$ 45.499
743,RECALCINE,QUETIDIN XR 400mg X30COM.REC.,35%,$ 82.999,$ 53.949
744,RECALCINE,QUETIDIN XR 50mg X30COM.REC.,35%,$ 37.999,$ 24.699
745,RECALCINE,RECAXIN (B) 150mg X1COM.REC.,25%,$ 26.199,$ 19.649
746,RECALCINE,RECAXIN DUO X1/60COM.REC.,25%,$ 29.499,$ 22.124
747,RECALCINE,RITMOCOR 150mg X20COM.,35%,$ 26.999,$ 17.549
748,RECALCINE,RITMOCOR 300mg X20COM.,35%,$ 37.999,$ 24.699
749,RECALCINE,SENEXON SR 150mg X30COM.PROL.,25%,$ 59.899,$ 44.924
750,RECALCINE,SENEXON SR 75mg X30COM.PROL.,25%,$ 32.599,$ 24.449
751,RECALCINE,SERETRAN 20mg X30COM.,25%,$ 36.999,$ 27.749
752,RECALCINE,SERETRAN 40mg X30COM.REC.,25%,$ 46.199,$ 34.649
753,RECALCINE,SINCOM 2mg X30COM.REC.,25%,$ 23.199,$ 17.399
754,RECALCINE,SINCOM 4mg X30COM.REC.,25%,$ 33.999,$ 25.499
755,RECALCINE,TENSODOX (B) 10mg X10COM.REC.,25%,$ 13.699,$ 10.274
756,RECALCINE,TENSODOX (B) 10mg X20COM.REC.,25%,$ 13.299,$ 9.974
757,RECALCINE,TENSODOX (B) 5mg X20COM.REC.,25%,$ 9.299,$ 6.974
758,RECALCINE,TENSODOX XR 10mg X20COM.PROL.,25%,$ 7.799,$ 5.849
759,RECALCINE,"TINOX 2,5mg X30COM.",25%,$ 24.399,$ 18.299
760,RECALCINE,TOPREL 100mg X30COM.REC.,25%,$ 64.099,$ 48.074
761,RECALCINE,TOPREL 25mg X30COM.REC.,25%,$ 23.099,$ 17.324
762,RECALCINE,TOPREL 50mg X30COM.REC.,25%,$ 38.299,$ 28.724
763,RECALCINE,ULCRATEX 20mg X30CAP.,35%,$ 20.599,$ 13.389
764,RECALCINE,ULCRATEX 40mg X30CAP.,35%,$ 36.799,$ 23.919
765,RECALCINE,ULCRATEX HP TRITERAPIA X14DOSIS,50%,$ 37.199,$ 18.600
766,RECALCINE,VACIDOX 0.1% CR.VAG.X30g,50%,$ 20.399,$ 10.200
767,RECALCINE,VACIDOX 0.5mg X15OV.,25%,$ 25.999,$ 19.499
768,RECALCINE,VALNOC 2mg X30COM.REC.,25%,$ 9.599,$ 7.199
769,RECALCINE,VALNOC 3mg X30COM.REC.,25%,$ 11.399,$ 8.549
770,RECALCINE,VARTALAN 160mg X30CAP/COM,25%,$ 19.599,$ 14.699
771,RECALCINE,VARTALAN 320mg X30COM.REC.,25%,$ 15.099,$ 11.324
772,RECALCINE,VARTALAN 80mg X30CAP/COM,25%,$ 19.399,$ 14.549
773,RECALCINE,VARTALAN AM 10/160 X30COM.REC.,25%,$ 25.399,$ 19.049
774,RECALCINE,VARTALAN AM 5/160 X30COM.REC.,25%,$ 23.999,$ 17.999
775,RECALCINE,VARTALAN AM 5/320 X30COM.REC.,25%,$ 22.799,$ 17.099
776,RECALCINE,VARTALAN AM 5/80 X30COM.REC.,25%,$ 22.699,$ 17.024
777,RECALCINE,VARTALAN AMD 10/160/12.5 X30CAP.,25%,$ 21.899,$ 16.424
778,RECALCINE,VARTALAN AMD 5/160/12.5 X30CAP.,25%,$ 25.299,$ 18.974
779,RECALCINE,VARTALAN D 80/12.5 X30COM.REC.,25%,$ 18.999,$ 14.249
780,RECALCINE,VARTALAN D FTE.160/12.5 X30COM.REC.,25%,$ 18.399,$ 13.799
781,RECALCINE,VARTALAN D PLUS 160/25 X30COM.REC.,25%,$ 18.599,$ 13.949
782,MERCK SA CHILE,(R) EUTIROX 100mcg TABL.X50,54%,$ 7.799,$ 3.588
783,MERCK SA CHILE,(R) EUTIROX 50mcg TABL.X50,30%,$ 8.499,$ 5.949
784,MERCK SA CHILE,(R) GLAFORNIL 850mg COMP.X30,39%,$ 11.899,$ 7.258
785,PHARMA INVESTI,DAGOTIL 3mg X30COM.,93%,$ 22.099,$ 1.547
786,ANDROMACO FARMA,FOLVIT 1mg COMP.X30,30%,$ 6.299,$ 4.409
787,ANDROMACO FARMA,FOLVIT 5mg COMP.X30,30%,$ 6.299,$ 4.409
788,SILESIA,SOLVOBIL 250mg COMP.X100,30%,$ 79.199,$ 55.439
789,GENERICOS,AMIODARONA 200mg COMP.X20,30%,$ 2.399,$ 1.679
790,ANDROMACO FARMA,AMOLEX DUO FTE.800/57 35ml,30%,$ 10.699,$ 7.489
791,ANDROMACO FARMA,AMOLEX DUO FTE.800/57 70ml,30%,$ 17.599,$ 12.319
792,ANDROMACO FARMA,AMOLEX DUO 400/57 SUSP.70ml,30%,$ 18.099,$ 12.669
793,ANDROMACO FARMA,(B) AMOLEX DUO 875/125 COMP.X14,30%,$ 21.299,$ 14.909
794,ANDROMACO FARMA,(B) AMOLEX DUO 875/125 COMP.X20,30%,$ 25.799,$ 18.059
795,ANDROMACO FARMA,ABACTEN 200mg SOE 15ml,30%,$ 9.799,$ 6.859
796,ANDROMACO FARMA,ABACTEN 200mg SOE 30ml,30%,$ 15.299,$ 10.709
797,ANDROMACO FARMA,ABACTEN 400mg SOE 20ml,30%,$ 17.999,$ 12.599
798,ANDROMACO FARMA,ABACTEN 400mg SOE 30ml,30%,$ 16.499,$ 11.549
799,ANDROMACO FARMA,(B) ABACTEN 500mg COMP.X6,30%,$ 21.999,$ 15.399
800,MERCK QCA.CHILENA SOC.LTDA.,"CONCOR 2,5mg COMP.X28",30%,$ 24.999,$ 17.499
801,ANDROMACO FARMA,ELCAL 320mg CAPS.X30,30%,$ 10.299,$ 7.209
802,ANDROMACO FARMA,ELCAL CI COMP.X60,30%,$ 15.299,$ 10.709
803,ANDROMACO FARMA,ELCAL D CAPS.X30,30%,$ 8.299,$ 5.809
804,ANDROMACO FARMA,ELCAL D CAPS.X60,30%,$ 9.299,$ 6.509
805,ANDROMACO FARMA,ELCAL D FTE.CAPS.X30,30%,$ 8.499,$ 5.949
806,ANDROMACO FARMA,ELCAL D FTE.CAPS.X60,30%,$ 10.599,$ 7.419
807,ANDROMACO FARMA,ELCAL D PLUS CAPS.X30,30%,$ 12.399,$ 8.679
808,ANDROMACO FARMA,ELCAL D PLUS CAPS.X60,30%,$ 12.399,$ 8.679
809,ANDROMACO FARMA,ELCAL D 500/800 CAPS.X60,30%,$ 12.599,$ 8.819
810,ANDROMACO FARMA,ELCAL D SUPRA SOB.X30,30%,$ 18.999,$ 13.299
811,ANDROMACO FARMA,ELCAL KID JBE.180ml,30%,$ 11.999,$ 8.399
812,ANDROMACO FARMA,SICCAFLUID GEL 10g,30%,$ 16.999,$ 11.899
813,ANDROMACO FARMA,SICCAFLUID UNIDOSIS X30,30%,$ 18.999,$ 13.299
814,ANDROMACO FARMA,(B) COXDOS 200mg CAP.X30,30%,$ 30.599,$ 21.419
815,ANDROMACO FARMA,(B) CLARIMAX 500mg COMP.X14,30%,$ 24.699,$ 17.289
816,ANDROMACO FARMA,(B) CLARIMAX 500mg COMP.X20,30%,$ 26.499,$ 18.549
817,ANDROMACO FARMA,CLARIMAX 125mg 80ml,30%,$ 11.599,$ 8.119
818,ANDROMACO FARMA,CLARIMAX 250mg SOE 80ml,30%,$ 22.099,$ 15.469
819,LABORATORIO CHILE,TENSOLIV COMP.X30,30%,$ 10.099,$ 7.069
820,ANDROMACO FARMA,ACEPRAN 1mg COMP.X30,30%,$ 8.799,$ 6.159
821,ANDROMACO FARMA,ACEPRAN 2mg COMP.X30,30%,$ 10.699,$ 7.489
822,ANDROMACO FARMA,ACEPRAN 2.5mg GTAS.10ml,30%,$ 12.499,$ 8.749
823,ANDROMACO FARMA,ARNELA 100mg OVUL.X6,30%,$ 15.199,$ 10.639
824,ANDROMACO FARMA,ARNELA 500mg OVUL.X2,30%,$ 17.899,$ 12.529
825,ANDROMACO FARMA,ELITOS ET FTE.JBE.120ml,30%,$ 16.699,$ 11.689
826,ANDROMACO FARMA,ELITOS ET JBE.120ml,30%,$ 16.599,$ 11.619
827,ANDROMACO FARMA,DVIDA GTAS.10ml,30%,$ 15.999,$ 11.199
828,ANDROMACO FARMA,DVIDA MAX PVO.1g,30%,$ 18.899,$ 13.229
829,ANDROMACO FARMA,MALTOFER 100mg BEB.X10,30%,$ 19.999,$ 13.999
830,ANDROMACO FARMA,MALTOFER 50mg GTAS.30ml,30%,$ 17.899,$ 12.529
831,ANDROMACO FARMA,(B) DEZARTAL 6mg COMP.X30,30%,$ 32.499,$ 22.749
832,ANDROMACO FARMA,NEOLARMAX 2.5mg JBE.75ml,30%,$ 9.999,$ 6.999
833,ANDROMACO FARMA,ARTRIZONA 50mg CAPS.X30,30%,$ 39.799,$ 27.859
834,ANDROMACO FARMA,DEFLAMAT 1% GEL 60g,30%,$ 7.999,$ 5.599
835,ANDROMACO FARMA,VENARTEL 500mg COMP.X60,30%,$ 45.599,$ 31.919
836,GENERICOS,ENALAPRIL 5mg COMP.X20,30%,$ 1.499,$ 1.049
837,HOSPIFARMA,ENALAPRIL 5mg X20COM.,30%,$ 1.499,$ 1.049
838,GENERICOS,(B) ESCITALOPRAM 10mg COMP.X30,30%,$ 9.999,$ 6.999
839,220-MINTLAB,(B) ESCITALOPRAM 10mg COMP.X30,30%,$ 9.999,$ 6.999
840,251-PHARMA INVESTI,(B) ESCITALOPRAM 10mg COMP.X30,30%,$ 9.999,$ 6.999
841,43-LABORATORIO CHILE,(B) ESCITALOPRAM 10mg COMP.X30,30%,$ 9.999,$ 6.999
842,70-ALPES CHEMIE S.A.,(B) ESCITALOPRAM 10mg COMP.X30,30%,$ 9.999,$ 6.999
843,ANDROMACO FARMA,ECITALEX FT 10mg COMP.X30,30%,$ 11.999,$ 8.399
844,ANDROMACO FARMA,EMEZOL 40mg CAPS.X30,30%,$ 22.899,$ 16.029
845,GENERICOS,ESOMEPRAZOL (B) 20mg CAP.X30,30%,$ 5.399,$ 3.779
846,263-HOSPIFARMA,ESOMEPRAZOL (B) 20mg CAP.X30,30%,$ 5.399,$ 3.779
847,96-ByB FARMACEUTICA,ESOMEPRAZOL (B) 20mg CAP.X30,30%,$ 5.399,$ 3.779
848,90-PRATER,ESOMEPRAZOL (B) 20mg CAP.X30,30%,$ 5.399,$ 3.779
849,GENERICOS,ESOMEPRAZOL (B) 40mg CAP.X30,30%,$ 6.999,$ 4.899
850,263-HOSPIFARMA,ESOMEPRAZOL (B) 40mg CAP.X30,30%,$ 6.999,$ 4.899
851,90-PRATER,ESOMEPRAZOL (B) 40mg CAP.X30,30%,$ 6.999,$ 4.899
852,SILESIA,HORMOGEL PUMP 0.1% GEL TRANS. 35g,30%,$ 13.999,$ 9.799
853,SILESIA,ALTESSE COMP.X28,30%,$ 16.199,$ 11.339
854,ANDROMACO FARMA,MALTOFER FOL PLUS COMP.X30,30%,$ 22.499,$ 15.749
855,ANDROMACO FARMA,PANDEL CR.15g,30%,$ 18.899,$ 13.229
856,ANDROMACO FARMA,IBAMES CD CAPS.X30,30%,$ 25.799,$ 18.059
