,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio septiembre 2020,Descuento,Precio referencial con convenio septiembre 2020
468,GENTAMICINA SISTEMICA,GENTAMICINA 80mg X5AMP.,BIOSANO,$3.499,38%,$2.169
469,GINKGO BILOBA,GINKGO MAX 80mg X120CAP.,GARDEN HOUSE,$15.399,25%,$11.549
470,GINKGO BILOBA,GINKGO MAX 80mg X30CAP.,GARDEN HOUSE,$5.999,25%,$4.499
471,GINSENG + GINKGO,MENTANIA X30CAP.BLANDAS,SAVAL S.A.,$13.699,11%,$12.192
472,GLIBENCLAMIDA,GLIBENCLAMIDA (B) 5mg X60COM.,LABORATORIO CHILE,$1.199,83%,$204
473,GLIPIZIDA,MINIDIAB 5mg X30CAP.,PFIZER,$19.699,27%,$14.380
474,GLIPIZIDA,MINIDIAB 5mg X90COM.,PFIZER,$44.499,67%,$14.685
475,GLUCOSA + SODIO + POTASIO + CLORURO + CI,SALES DE REHIDRATACION 60 X8SOB.,OPKO,$7.299,65%,$2.555
476,GLUCOSA + SODIO + POTASIO + CLORURO + CI,SALES DE REHIDRATACION 90 X4SOB.,OPKO,$7.699,67%,$2.541
477,GLUCOSA + SODIO CLORURO,GLUCOSALINO ISOTONICO X500ml,HOSPIFARMA,$2.099,81%,$399
478,GLUCOSA INYECTABLE,GLUCOSA 5% X500ml,HOSPIFARMA,$1.699,50%,$850
479,GLUCOSAMINA + CONDROITINA,ARTRIDOL DUO FTE.SOB.X30,LABORATORIO CHILE,$35.499,34%,$23.429
480,GLUCOSAMINA + CONDROITINA,ARTRIDOL DUO X60CAP.BLANDAS,LABORATORIO CHILE,$19.299,35%,$12.544
481,GLUCOSAMINA + CONDROITINA,HIPERFLEX UD 4.7g X35SOB.,RECALCINE,$42.699,53%,$20.069
482,GLUCOSAMINA + CONDROITINA,CONDROX (GLUCOSAMINA/CONDROIT) X30COM.,MEDCELL HELTY,$7.699,35%,$5.004
483,GLUCOSAMINA KCL + CONDROITINA SULFATO,HIPERFLEX K FTE.X60COM.,RECALCINE,$32.499,25%,$24.374
484,GOSERELINA,ZOLADEX 10.8mg X1IMPLANTE,ASTRA ZENECA DE CHILE LTDA.,$276.099,52%,$132.528
485,HALOPERIDOL,HALOPERIDOL 1mg X30COM.,SYNTHON,$4.999,48%,$2.599
486,HALOPERIDOL,HALOPERIDOL 5mg X20COM.,SYNTHON,$6.999,49%,$3.569
487,HEDERA HELIX,ABRILAR 35mg/5ml JBE.X100ml,PHARMA INVESTI,$4.499,81%,$855
488,HEDERA HELIX,AEROMED JARABE 100 ml.,MEDIPHARM,$4.099,25%,$3.074
489,HEDERA HELIX,HIEDRIX 35mg/5ml JBE.X100ml,LABORATORIO CHILE,$3.899,70%,$1.170
490,HEPARINA,FRAGMIN 10000UI/4ml X1JP.,PFIZER,$12.499,60%,$5.000
491,HEPARINA,FRAGMIN 2500UI/0.2ml XJP.,PFIZER,$8.599,83%,$1.462
492,HIDROCLOROTIAZIDA,HIDROCLOROTIAZIDA (B) 50mg X20COM.,LABORATORIO CHILE,$1.699,65%,$595
493,HIDROCLOROTIAZIDA + TRIAMTERENO,UREN 24C,LABORATORIO CHILE,$4.699,35%,$3.054
494,HIDROCORTISONA,HIDROCORTISONA 20mg X20COM.,LABORATORIO CHILE,$6.099,51%,$2.989
495,HIDROCORTISONA DERMICA,PROCTORAN CR.30g,FAES FARMA CHILE,$12.799,27%,$9.343
496,HIDROCORTISONA DERMICA,PANDEL CR.15g,ANDROMACO FARMA,$22.799,30%,$15.959
497,HIDROCORTISONA DERMICA,CALMURID 1% CR.X15g,PHARMA INVESTI,$16.099,27%,$11.752
498,HIDROCORTISONA SUCCINATO SODICO,SOLU CORTEF 100mg X1F-A,PFIZER,$11.899,55%,$5.355
499,HIDROXICARBAMIDA,HIDROXICARBAMIDA 500mg X100COM.,BPH S.A,$70.899,57%,$30.487
500,HIDROXICLOROQUINA,"PLAQUINOL (R) 200mg X30TAB,",AVENTIS,$48.899,76%,$11.736
501,HORMONA FOLICULO ESTIMULANTE,GONAL F INYECTOR 300UI/0.75ml X1F-A,MERCK SA CHILE,$169.199,28%,$121.823
502,IBANDRONATO + CALCIO + VIT D,IBAMES CD CAPS.X30,ANDROMACO FARMA,$28.499,30%,$19.949
503,IBANDRONATO SODICO MONOH,IBAMES 150mg COMP.X1,ANDROMACO FARMA,$33.999,30%,$23.799
504,IBANDRONATO SODICO MONOH,IBANOX (B) 150mg X1COM.REC.,PASTEUR,$21.999,20%,$17.599
505,IBUPROFENO,DEUCODOL FTE.200mg/5ml S.O.X120ml,MEDIPHARM,$5.799,91%,$522
506,IBUPROFENO,DEUCODOL SUSPENSION x 120 ml,MEDIPHARM,$3.999,40%,$2.399
507,IBUPROFENO,IBUPROFENO (B) 400mg X20COM.,LABORATORIO CHILE,$1.599,70%,$480
508,IBUPROFENO + DIPIRONA + CLORMEZANONA,DOLNIX COMP.X10,RECALCINE,$16.499,49%,$8.414
509,IMIPRAMINA,IMIPRAMINA 25mg X40COM.,LABORATORIO CHILE,$1.999,64%,$720
510,INDACATEROL + GLICOPIRRONIO,ULTIBRO BREEZHALER X30CAP.,NOVARTIS CHILE S.A.,$59.999,26%,$44.399
511,INSULINA GLARGINA,LANTUS 100UI/ml CARTUCHOS 3ml X1,AVENTIS,$23.699,17%,$19.670
512,INSULINA GLARGINA,TOUJEO 300UI/ml LAP.PRELL.1.5ml X1,AVENTIS,$34.299,46%,$18.521
513,"INSULINA ISOFANA (NPH, ZINC Y PROTAMINA)",INSULATARD HM 100UI/ml 10ml X1F-A,NOVONORDISK,$35.999,92%,$2.880
514,INSULINA REGULAR (ZINC CRISTALIZADA),ACTRAPID HM 100UI/ml 10ml X1F-A,NOVONORDISK,$32.399,92%,$2.592
515,IPRATROPIO BROMURO,AEROTROP HFA 20mcg INH.X250DS.,D&M PHARMA S.A.,$13.999,88%,$1.680
516,IPRATROPIO BROMURO,ATROVENT 0.025% NEB.X20ml,BOEHRINGER INGELHEIM,$18.599,68%,$5.952
517,IPRATROPIO BROMURO,INFLUMIX 20mcg INH.X200DS.,RECALCINE,$13.999,64%,$5.040
518,IPRATROPIO BROMURO DE USO NASAL,ATROVENT 0.03% SOL.NAS.X15ml,CHC SANOFI OTC,$14.999,56%,$6.600
519,IRBESARTAN,IRBEVITAE (B) 150mg X28COM.REC,GALENICUM HEALTH CHILE SPA,$22.999,20%,$18.399
520,IRBESARTAN,IRBEVITAE (B) 300mg X28COM.REC,GALENICUM HEALTH CHILE SPA,$24.199,20%,$19.359
521,IRBESARTAN,APROVEL (R) 150mg X28COM.,AVENTIS,$43.399,20%,$34.719
522,IRBESARTAN + HIDROCLOROTIAZIDA,"COAPROVEL 150/12,5 COMP.X28",AVENTIS,$38.899,41%,$22.950
523,IRBESARTAN + HIDROCLOROTIAZIDA,"COAPROVEL 300/12,5 COMP.X28",AVENTIS,$42.699,46%,$23.057
524,ISOSORBIDE DINITRATO,ISOSORBIDE 10mg X60COM.,HOSPIFARMA,$3.999,92%,$320
525,ISOTRETINOINA SISTEMICA,ACNERAL (B) 10mg X30CAP.BLANDAS,LABORATORIO CHILE,$27.999,20%,$22.399
526,ISOTRETINOINA SISTEMICA,ACNERAL (B) 20mg X30CAP.BLANDAS,LABORATORIO CHILE,$42.499,16%,$35.699
527,ISOTRETINOINA SISTEMICA,INFLADER 10mg X30CAP.,PHARMA INVESTI,$26.299,20%,$21.039
528,ISOTRETINOINA SISTEMICA,INFLADER 20mg X30CAP.,PHARMA INVESTI,$38.399,20%,$30.719
529,JERINGAS,JERINGA DESECH.1ml TUBERCULINA 25G,MED CELL IMPORTACIONES,$499,94%,$30
530,JERINGAS,JERINGA DESECHABLE 10ml,HOFFMAN ACCESORIOS MEDICOS,$699,93%,$49
531,KETOCONAZOL CAPILAR,FINDER SH. X 100ML,MEDIPHARM,$13.999,52%,$6.720
532,KETOPROFENO,FLOGOFIN 100mg X20COM.,LABORATORIO CHILE,$5.999,75%,$1.500
533,KETOPROFENO,KETOPROFENO 100mg/2ml IV X5AMP.,BIOSANO,$5.599,25%,$4.199
534,KETOPROFENO,Profenid 100 mg x 10 CE,AVENTIS,$13.199,30%,$9.239
535,KETOPROFENO,Profenid 100 mg x 20 CE,AVENTIS,$22.599,34%,$14.915
536,KETOPROFENO,Profenid Bi 150 mg x 10 comp.,AVENTIS,$16.599,36%,$10.623
537,KETOPROFENO,DOLOFAR 100mg X20COM.REC.,MEDIPHARM,$6.199,36%,$3.967
538,KETOPROFENO,KETOPROFENO (B) 50mg X20CAP.,LABORATORIO CHILE,$2.199,71%,$638
539,KETOROLACO,BURTEN 10mg X10COM.SUBL.,LABORATORIO CHILE,$12.499,20%,$9.999
540,KETOROLACO,BURTEN 10mg X20COM.SUBL.,LABORATORIO CHILE,$20.999,20%,$16.799
541,KETOTIFENO OFTALMICO,OFTALER FORTE 0.05% SOF.X10ml,SAVAL S.A.,$27.499,15%,$23.374
542,KETOTIFENO OFTALMICO,NEDRUS 0.05% SOF.X10ml,SMB,$15.999,23%,$12.319
543,LACOSAMIDA,ALDINAM 100mg X30COM.REC.,RECALCINE,$42.499,47%,$22.524
544,LACOSAMIDA,ALDINAM 200mg X30COM.REC.,RECALCINE,$68.499,25%,$51.374
545,LACOSAMIDA,ALDINAM 50mg X30COM.REC.,RECALCINE,$23.999,24%,$18.239
546,LACOSAMIDA,VIMPAT 50mg X14COM.,ANDROMACO FARMA,$11.999,25%,$8.999
547,LACOSAMIDA,VIMPAT 200mg X28COM.,ANDROMACO FARMA,$64.999,25%,$48.749
548,LACTASA,DIOLASA COMP.X30,ANDROMACO FARMA,$15.299,20%,$12.239
549,LACTASA,DIOLASA VAINILLA COMP.X30,ANDROMACO FARMA,$11.999,20%,$9.599
550,LACTASA,DIAVITAL LACTASA X60COM.,MAVER FARMA,$15.999,20%,$12.799
551,LACTOBACILLUS ACIDOPHILUS,BIOLACTUS 1g SOB.X6,SYNTHON,$9.999,30%,$6.999
552,LACTULOSA,LACTULOSA 65% SOL.ORAL 200ml,RECETARIO,$7.499,25%,$5.624
553,LACTULOSA,LACTULOSA 65% SOL.ORAL X1000ml,ANDROMACO FARMA,$35.799,65%,$12.530
554,LAMIVUDINA+ZIDOVUDINA,(R) COMBIVIR COMP.X60,GLAXO,$99.499,30%,$69.649
555,LAMOTRIGINA,LETICO(BE) 100mg COM.X30,EUROFARMA CHILE S.A.,$19.499,57%,$8.385
556,LAMOTRIGINA,DAKSOL (B) 100mg X28COM.,EXELTIS CHILE,$39.499,20%,$31.599
557,LAMOTRIGINA,DAKSOL (B) 25mg X28COM.,EXELTIS CHILE,$11.499,20%,$9.199
558,LAMOTRIGINA,DAKSOL (B) 50mg X28COM.,EXELTIS CHILE,$24.499,20%,$19.599
559,LAMOTRIGINA,LAFIGIN (B) 25mg X30COM.,RECALCINE,$15.999,25%,$11.999
560,LAMOTRIGINA,LAFIGIN 100mg X30COM.,RECALCINE,$39.999,21%,$31.599
561,LAMOTRIGINA,LAFIGIN DT 100mg X30COM.DISP.,RECALCINE,$31.699,25%,$23.774
562,LAMOTRIGINA,LAFIGIN DT 200mg X30COM.DISP.,RECALCINE,$59.999,33%,$40.199
563,LAMOTRIGINA,LAMOTRIGINA 50mg X30COM.DISP.,LABORATORIO CHILE,$7.099,53%,$3.337
564,LAMOTRIGINA,TRADOX 100MG.30COMP.,ANDROMACO FARMA,$39.799,40%,$23.879
565,LAMOTRIGINA,TRADOX 25MG.30COMP.,ANDROMACO FARMA,$19.499,36%,$12.479
566,LAMOTRIGINA,TRADOX 50MG.30COMP.,ANDROMACO FARMA,$31.799,34%,$20.987
567,LAMOTRIGINA,TRADOX FT 200MG/30COMP.,ANDROMACO FARMA,$67.999,39%,$41.479
568,LAMOTRIGINA,DAKSOL (B) 200mg X28COM.,EXELTIS CHILE,$52.299,35%,$33.994
569,LANSOPRAZOL,GASTRIDE 30mg X28COM.,LABORATORIO CHILE,$19.999,20%,$15.999
570,LANSOPRAZOL,LANZOPRAL 30mg COMP.X28,PHARMA INVESTI,$26.999,20%,$21.599
571,LANSOPRAZOL,LANZOPRAZOL 30mg COMP.X30,LABORATORIO CHILE,$3.799,30%,$2.659
572,LATANOPROST,"LATANOPROST 50mcg/ml SOF.X2,5ml",OPKO,$8.499,45%,$4.674
573,LEFLUNOMIDA,ARAVA 20 mg x 30 COMPRIMIDOS,AVENTIS,$101.999,83%,$17.340
574,LEFLUNOMIDA,ARTROTIN (B) 20mg X30COM.REC.,RECALCINE,$67.999,88%,$8.160
575,LETROZOL,LOSIRAL 2.5mg X30COM.REC.,RECALCINE,$99.299,91%,$8.937
576,LEVETIRACETAM,KOPODEX (B) 1000mg X30COM.REC.,RECALCINE,$47.999,64%,$17.280
577,LEVETIRACETAM,KOPODEX (B) 500mg X30COM.REC.,RECALCINE,$24.499,35%,$15.924
578,LEVETIRACETAM,KOPODEX (B) 500mg X60COM.REC.,RECALCINE,$46.799,25%,$35.099
579,LEVETIRACETAM,KOPODEX 100mg/ml S.O.X120ml,RECALCINE,$19.999,63%,$7.400
580,LEVETIRACETAM,KOPODEX XR 500mg X30COM.,RECALCINE,$26.099,28%,$18.791
581,LEVETIRACETAM,LEVEVITAE (B) 1000mg X30COM.REC,GALENICUM HEALTH CHILE SPA,$31.999,61%,$12.480
582,LEVETIRACETAM,LEVEVITAE (B) 500mg X30COM.REC,GALENICUM HEALTH CHILE SPA,$18.199,35%,$11.829
583,LEVOCETIRIZINA,TIRIZ 5mg COMP.X30,EUROFARMA CHILE S.A.,$5.599,40%,$3.359
584,LEVOCETIRIZINA,XUZAL 5mg/ml GTAS.X20ml,GLAXO,$14.499,65%,$5.075
585,LEVOCETIRIZINA,LEVORIGOTAX (B) 5mg X60COM.REC.,PRATER,$13.199,40%,$7.919
586,LEVODOPA + BENZERAZIDA,PROLOPA 200/50 COMP.X30,ROCHE,$28.299,35%,$18.394
587,LEVODOPA + CARBIDOPA,GRIFOPARKIN 30C,LABORATORIO CHILE,$16.899,87%,$2.197
588,LEVODOPA + CARBIDOPA,LEVOFAMIL 250/25 COMP.X30,ANDROMACO FARMA,$21.699,21%,$17.142
589,LEVOFLOXACINO,LEVOXIN(BE) 500mg COMP.X7,EUROFARMA CHILE S.A.,$15.999,58%,$6.720
590,LEVOFLOXACINO,(B) QUINOBIOT 750mg COMP.X10,ANDROMACO FARMA,$19.499,30%,$13.649
591,LEVOFLOXACINO,MEDIBIOX 750mg X7COM.REC.,MEDIPHARM,$10.999,30%,$7.699
592,LEVONORGESTREL + ETINILESTRADIOL,ANULETTE 20 CD X28COM.,SILESIA,$13.399,50%,$6.700
593,LEVONORGESTREL + ETINILESTRADIOL,ANULETTE CD X28COM.,SILESIA,$7.199,50%,$3.600
594,LEVONORGESTREL + ETINILESTRADIOL,NORVETAL 20 CD X28COM.REC.,RECALCINE,$11.699,25%,$8.774
595,LEVOTIROXINA,(R) EUTIROX 100mcg TABL.X100,MERCK SA CHILE,$13.899,17%,$11.536
596,LEVOTIROXINA,(R) EUTIROX 100mcg TABL.X50,MERCK SA CHILE,$9.199,32%,$6.255
597,LEVOTIROXINA,(R) EUTIROX 112mcg COMP.X50,MERCK SA CHILE,$13.899,52%,$6.672
598,LEVOTIROXINA,(R) EUTIROX 125mcg TABL.X50,MERCK SA CHILE,$13.899,46%,$7.505
599,LEVOTIROXINA,(R) EUTIROX 50mcg TABL.X50,MERCK SA CHILE,$10.199,61%,$3.978
600,LEVOTIROXINA,(R) EUTIROX 75mcg TABL.X50,MERCK SA CHILE,$10.699,33%,$7.168
601,LEVOTIROXINA,(R) EUTIROX 88mcg COMP.X50,MERCK SA CHILE,$11.299,49%,$5.762
602,LEVOTIROXINA,EUTIROX (R) 137mcg X50COM.,MERCK SA CHILE,$17.099,54%,$7.866
603,LEVOTIROXINA,EUTIROX (R) 150mcg X50COM.,MERCK SA CHILE,$15.399,44%,$8.623
604,LEVOTIROXINA,EUTIROX (R) 175mcg X50COM.,MERCK SA CHILE,$20.599,56%,$9.064
605,LEVOTIROXINA,EUTIROX (R) 200mcg X50COM.,MERCK SA CHILE,$20.899,53%,$9.823
606,LEVOTIROXINA,T4-BAGO (B) 50mcg X50COM.FLEXIDOSIS,BAGO,$6.999,61%,$2.730
607,LEVOTIROXINA,T4-BAGO (B) 75mcg X50COM.FLEXIDOSIS,BAGO,$7.499,55%,$3.375
608,LEVOTIROXINA,T4-BAGO (B) 100mcg X100COM.FLEXIDOSIS,BAGO,$10.999,29%,$7.809
609,LIDOCAINA CLORHIDRATO,LIDOCAINA 2% 5ml X5AMP.,SANDERSON S.A.,$1.399,94%,$84
610,LINAGLIPTINA + METFORMINA,TRAYENTA DUO 2.5mg/500 COMP.X60,BOEHRINGER INGELHEIM,$39.199,50%,$19.600
611,LISINOPRIL,ACERDIL 10mg X30COM.,RECALCINE,$24.999,18%,$20.499
612,LISINOPRIL,ACERDIL 20mg X30COM.REC.,RECALCINE,$34.999,25%,$26.249
613,LISINOPRIL,ACERDIL 5mg X30COM.REC.,RECALCINE,$13.199,25%,$9.899
614,LISINOPRIL,TONOTENSIL 10MG 30C,LABORATORIO CHILE,$22.499,26%,$16.649
615,LISINOPRIL,TONOTENSIL 20MG 30C,LABORATORIO CHILE,$29.999,35%,$19.499
616,LISINOPRIL + HIDROCLOROTIAZIDA,ACERDIL D X30COM.,RECALCINE,$34.999,25%,$26.249
617,LISINOPRIL + HIDROCLOROTIAZIDA,TONOTENSIL D 30C,LABORATORIO CHILE,$23.499,35%,$15.274
618,LITIO CARBONATO,CARBORON 300mg X50COM.,PHARMA INVESTI,$18.999,92%,$1.520
619,LITIO CARBONATO,KALITIUM 300mg COM.X50,EUROFARMA CHILE S.A.,$9.899,30%,$6.929
620,LITIO CARBONATO,KALITIUM 450mg COM.X30,EUROFARMA CHILE S.A.,$11.499,30%,$8.049
621,LOPERAMIDA,LOPERAMIDA 2mg X6COM.,LABORATORIO CHILE,$999,81%,$190
622,LORATADINA,LORATADINA (B)10mg X30COM.,LABORATORIO CHILE,$1.399,73%,$378
623,LORATADINA + PSEUDOEFEDRINA,FRENALER D JBE.X100ml,LABORATORIO CHILE,$15.299,20%,$12.239
624,LORATADINA + PSEUDOEFEDRINA,FRENALER D X10CAP.LIB.SOST.,LABORATORIO CHILE,$18.499,20%,$14.799
625,LORATADINA + PSEUDOEFEDRINA,FRENALER D X20CAP.LIB.SOST.,LABORATORIO CHILE,$21.499,20%,$17.199
626,LORATADINA + PSEUDOEFEDRINA,PRIMORIX D JBE.X100ml,MEDIPHARM,$9.499,20%,$7.599
627,LOSARTAN,(B) ARATAN 100mg COMP.X30,ANDROMACO FARMA,$20.499,26%,$15.169
628,LOSARTAN,LOSARTAN (B) 100mg X30COM.,LABORATORIO CHILE,$8.199,63%,$3.034
629,LOSARTAN,LOSARTAN (B) 50mg X30COM.,LABORATORIO CHILE,$2.399,88%,$288
630,LOSARTAN,SIMPERTEN 100MG 30CR,LABORATORIO CHILE,$17.999,27%,$13.139
631,LOSARTAN,SIMPERTEN 50MG 30CR,LABORATORIO CHILE,$7.199,35%,$4.679
632,LOSARTAN + HIDROCLOROTIAZIDA,ARATAN D FTE.COMP.X30,ANDROMACO FARMA,$29.999,30%,$20.999
633,LOSARTAN + HIDROCLOROTIAZIDA,CORODIN D FTE.COMP.REC.X30,RECALCINE,$28.499,35%,$18.524
634,LOSARTAN + HIDROCLOROTIAZIDA,LOSARTAN/HIDROCL 100/25 X30COM.,EUROFARMA CHILE S.A.,$2.999,30%,$2.099
635,LOSARTAN + HIDROCLOROTIAZIDA,LOSARTAN/HIDROCL 50/12.5 X30COM.REC.,ASCEND LABORATORIES SPA,$4.699,30%,$3.289
636,LOSARTAN + HIDROCLOROTIAZIDA,SIMPERTEN D 100/25 30CR,LABORATORIO CHILE,$29.499,35%,$19.174
637,LOSARTAN + HIDROCLOROTIAZIDA,SIMPERTEN D 30C AA,LABORATORIO CHILE,$26.499,35%,$17.224
638,LOVASTATINA,LOVASTATINA 20mg X28COM.,LABORATORIO CHILE,$1.999,70%,$600
639,MACROGOL,CONTUMAX PVO.X15SOB.,TECNOFARMA LTDA.,$19.499,68%,$6.240
640,MACROGOL,LAX SOB.X7,ANDROMACO FARMA,$12.999,48%,$6.759
641,MEBENDAZOL,MEBENDAZOL 100mg X6COM.,HOSPIFARMA,$1.399,43%,$797
642,MEBEVERINA,EVADOL XR 200mg CAPS.X30,ANDROMACO FARMA,$25.799,43%,$14.705
643,MEBEVERINA,MEDITOINA 135 mg. x 30 comprimidos,MEDIPHARM,$13.999,25%,$10.499
644,MEBEVERINA,MEDITOINA 200mg X20COM.REC.,MEDIPHARM,$9.599,48%,$4.991
645,MEDROXIPROGESTERONA,PRODASONE (R) 5mg X20COM.,PFIZER,$13.799,68%,$4.416
646,MEDROXIPROGESTERONA,SAYANA 104mg/0.65ml X1JP,PFIZER,$49.799,41%,$29.381
647,MEMANTINA,EBIXA 20mg X28COM.REC.,LUNDBECK,$97.299,25%,$72.974
648,MEMANTINA,EUTEBROL 20mg X30COM.,TECNOFARMA LTDA.,$30.799,30%,$21.559
649,MEMANTINA,MIMETIX ODT 10mg X60COM.REC.,RECALCINE,$47.499,40%,$28.499
650,MEMANTINA,MIMETIX ODT 20mg X30COM.REC.,RECALCINE,$49.999,50%,$25.000
651,MEMANTINA,NEUROPRON FT 20mg COM.X30,ANDROMACO FARMA,$50.999,40%,$30.599
652,MEMANTINA,VIVIMEX 10mg COMP.X60,PHARMA INVESTI,$38.199,30%,$26.739
653,MEMANTINA,MEMANVITAE (B) 10mg X56COM.REC,GALENICUM HEALTH CHILE SPA,$29.999,30%,$20.999
654,MEMANTINA,VIVIMEX 20 20mg X30COM.REC.,PHARMA INVESTI,$49.099,25%,$36.824
655,MESALAZINA,PENTASA 1g X50SOB.,FERRING,$87.399,18%,$71.667
656,MESALAZINA,PENTASA 2g X30SOB.,FERRING,$95.299,20%,$76.239
657,MESALAZINA,PENTASA 500mg X100COM.,FERRING,$86.799,20%,$69.439
658,METFORMINA,(B) GLAFORNIL XR 1000 COMP.X30,MERCK SA CHILE,$24.099,35%,$15.664
659,METFORMINA,(B) GLIFORTEX 850mg COMP.X30,ANDROMACO FARMA,$12.399,25%,$9.299
660,METFORMINA,(B) GLIFORTEX 850mg COMP.X60,ANDROMACO FARMA,$16.699,26%,$12.357
661,METFORMINA,(R) GLAFORNIL 850mg COMP.X30,MERCK SA CHILE,$13.899,29%,$9.868
662,METFORMINA,GLAFORNIL (R) 500mg X30COM.,MERCK SA CHILE,$8.599,38%,$5.331
663,METFORMINA,GLIDANIL 500mg. BE x 30 compr.,MEDIPHARM,$3.599,38%,$2.231
664,METFORMINA,GLIDANIL 850 MG. 30 comprimidos (BE),MEDIPHARM,$4.399,70%,$1.320
665,METFORMINA,GLIFORTEX XR 1000 COMP.X30,ANDROMACO FARMA,$15.499,30%,$10.849
666,METFORMINA,GLIFORTEX XR 500 COMP.X30,ANDROMACO FARMA,$8.699,30%,$6.089
667,METFORMINA,GLIFORTEX XR 750 COMP.X30,ANDROMACO FARMA,$12.799,30%,$8.959
668,METFORMINA,HIPOGLUCIN 1000 LP 30 C,LABORATORIO CHILE,$13.999,35%,$9.099
669,METFORMINA,HIPOGLUCIN 1000 LP 60 C,LABORATORIO CHILE,$25.499,35%,$16.574
670,METFORMINA,HIPOGLUCIN 1GR 30C,LABORATORIO CHILE,$17.999,35%,$11.699
671,METFORMINA,HIPOGLUCIN 500 MG 30 C LP,LABORATORIO CHILE,$7.999,35%,$5.199
672,METFORMINA,HIPOGLUCIN 500 MG 60 C LP,LABORATORIO CHILE,$11.999,35%,$7.799
673,METFORMINA,HIPOGLUCIN 750 LP 30 C,LABORATORIO CHILE,$12.599,38%,$7.811
674,METFORMINA,HIPOGLUCIN 750 LP 60 C,LABORATORIO CHILE,$21.599,35%,$14.039
675,METFORMINA,HIPOGLUCIN 850MG 30CR,LABORATORIO CHILE,$7.999,35%,$5.199
676,METFORMINA,HIPOGLUCIN 850MG 60 CR,LABORATORIO CHILE,$16.499,35%,$10.724
677,METFORMINA,METFORMINA (B) 850mg X30COM.REC.,LABORATORIO CHILE,$2.899,67%,$957
678,METFORMINA,METFORMINA (B) 850mg X60COM.REC.,LABORATORIO CHILE,$4.999,88%,$600
679,METFORMINA,GLIDANIL 1000mg X30COM.REC.,MEDIPHARM,$10.299,35%,$6.694
680,METFORMINA,GLAUPAX (B) 500mg X30COM.REC.,PASTEUR,$6.799,35%,$4.419
681,METFORMINA,GLAUPAX XR (B) 750mg X30COM.PROL.,PASTEUR,$11.999,30%,$8.399
682,METFORMINA + GLIBENCLAMIDA,GLUCOVANCE 500/5 COMP.X30,MERCK SA CHILE,$19.199,30%,$13.439
683,METFORMINA + GLIBENCLAMIDA,GLUKAUT 500/5 X60COM.,SANITAS S.A.,$10.999,90%,$1.100
684,METFORMINA + GLIBENCLAMIDA,HIPOGLUCIN DA 500MG/2.5MG 30C,LABORATORIO CHILE,$9.999,31%,$6.899
685,METFORMINA + GLIBENCLAMIDA,HIPOGLUCIN DA 500MG/5MG 30C,LABORATORIO CHILE,$10.499,32%,$7.139
686,METFORMINA + GLIBENCLAMIDA,GLICENEX DUO 500/2.5 X30COM.REC.,BAGO,$10.499,35%,$6.824
687,METILFENIDATO,ARADIX (B) 10mg X30COM.,RECALCINE,$24.499,20%,$19.599
688,METILFENIDATO,ARADIX RET.10mg X30COM.,RECALCINE,$32.699,16%,$27.467
689,METILFENIDATO,ARADIX RET.20mg X30COM.,RECALCINE,$45.499,20%,$36.399
690,METILFENIDATO,METRANS XR 20MG. CAJA 30 COMP.REC. LP,ANDROMACO FARMA,$37.099,40%,$22.259
691,METILFENIDATO,NEBAPUL (B) 10mg X30COM.,PHARMA INVESTI,$11.399,61%,$4.446
692,METILFENIDATO,RUBIFEN (B) 10mg X30COM.,EXELTIS CHILE,$22.399,20%,$17.919
693,METILFENIDATO,RUBIFEN SR (B) 20mg X30COM.,EXELTIS CHILE,$35.399,20%,$28.319
694,METILPREDNISOLONA,DEPO MEDROL 80mg/ml X1F-A,PFIZER,$43.299,41%,$25.546
695,METILPREDNISOLONA,MEDROL 4mg X20COM.,PFIZER,$19.099,33%,$12.796
696,METILPREDNISOLONA,SOLU MEDROL 40mg X1AMP.,PFIZER,$9.299,66%,$3.162
697,METISOPRINOL,ISOPRINOSINE 500mg COMP.X20,ANDROMACO FARMA,$50.899,30%,$35.629
698,METOCLOPRAMIDA,METOCLOPRAMIDA (B) 10mg X24COM.,LABORATORIO CHILE,$1.699,68%,$544
699,METOPROLOL,BETALOC ZOK 25mg X30COM.PROL.,ASTRA ZENECA DE CHILE LTDA.,$24.199,66%,$8.228
700,METOPROLOL,BETALOC ZOK 50mg COMP.X30,ASTRA ZENECA DE CHILE LTDA.,$29.999,61%,$11.700
701,METRONIDAZOL,METROPAST (B) 500mg X20COM.,PASTEUR,$9.899,51%,$4.851
702,METRONIDAZOL DERMICO,MEDAZOL GEL 30 grs.,MEDIPHARM,$7.899,25%,$5.924
703,METRONIDAZOL OVULOS,METRONIDAZOL 500mg X10OVULOS,LABORATORIO CHILE,$2.699,47%,$1.430
704,MICOFENOLATO MOFETIL,LINFONEX (B) 250mg X60COM.REC.,RECALCINE,$65.499,35%,$42.574
705,MICOFENOLATO MOFETIL,LINFONEX (B) 500mg X30COM.REC.,RECALCINE,$65.999,30%,$46.199
706,MICOFENOLATO MOFETIL,MICOFENOLATO (B) 500mg X50COM.,LABORATORIO CHILE,$34.599,18%,$28.371
707,MINOCICLINA,BAGOMICINA 100mg COMP.X15,BAGO,$23.999,30%,$16.799
