,Laboratorio,Medicamento / Insumo,Precio Referencia Retail 09/2017,Descuento Botiquín Las Condes,Precio referencial Botiquín de Las Condes
635,RECALCINE,VALNOC 3mg X30COM.REC.,$10.999,25%,$8.249
636,GALENICUM HEALTH CHILE SPA,VALVITAE PLUS (B) 160/12.5 X28COM.REC.,$16.399,30%,$11.479
637,GALENICUM HEALTH CHILE SPA,VALVITAE PLUS (B) 160/25 X28COM.REC.,$16.499,30%,$11.549
638,GALENICUM HEALTH CHILE SPA,VALVITAE PLUS (B) 80/12.5 X28COM.REC.,$15.999,30%,$11.199
639,RECALCINE,VARTALAN 160mg X30CAP/COM,$16.799,25%,$12.599
640,RECALCINE,VARTALAN 320mg X30COM.REC.,$14.599,25%,$10.949
641,RECALCINE,VARTALAN 80mg X30CAP/COM,$17.799,25%,$13.349
642,RECALCINE,VARTALAN AM 10/160 X30COM.REC.,$23.299,25%,$17.474
643,RECALCINE,VARTALAN AM 5/160 X30COM.REC.,$21.199,25%,$15.899
644,RECALCINE,VARTALAN AM 5/320 X30COM.REC.,$20.999,25%,$15.749
645,RECALCINE,VARTALAN AM 5/80 X30COM.REC.,$21.999,25%,$16.499
646,RECALCINE,VARTALAN AMD 10/160/12.5 X30CAP.,$20.499,25%,$15.374
647,RECALCINE,VARTALAN AMD 5/160/12.5 X30CAP.,$22.999,25%,$17.249
648,RECALCINE,VARTALAN D 80/12.5 X30COM.REC.,$16.799,25%,$12.599
649,RECALCINE,VARTALAN D FTE.160/12.5 X30COM.REC.,$16.899,25%,$12.674
650,RECALCINE,VARTALAN D PLUS 160/25 X30COM.REC.,$17.999,25%,$13.499
651,CHILE,VENLAFAXINA (B) 75mg X30COM.,$13.999,89%,$1.571
652,MEDIPHARM,VESNIDAN x 30 comprimidos,$15.899,25%,$11.924
653,MEDIPHARM,VESNIDAN x 60 comprimidos,$24.499,25%,$18.374
654,Exeltis,VIORA (B) X21COM.REC.,$13.599,20%,$10.879
655,Exeltis,VIORA 20 X28COM.REC.,$12.599,20%,$10.079
656,Exeltis,VIORA CD (B) X28COM.REC.,$15.999,20%,$12.799
657,MEDIPHARM,VIPLAN FORTE GOTAS x 15 ml,$4.599,25%,$3.449
658,MEDIPHARM,VIPLAN GOTAS x 20 ml.,$6.099,25%,$4.574
659,MEDIPHARM,VITABRAL 30 capsulas,$9.799,25%,$7.349
660,MEDIPHARM,VITABRAL X 60 CAPSULAS BLANDAS,$19.499,25%,$14.624
661,CHILE,VITAMINA ACD GTAS.X30ml,$4.399,78%,$952
662,BIOSANO,VITAMINA B1 B6 B12 10000 X3AMP.,$2.499,78%,$545
663,PASTEUR,VITDE 800 X30COM.,$11.999,20%,$9.599
664,PASTEUR,VITDE GTAS.X10ml,$14.999,20%,$11.999
665,ANDROMACO,YONKA 780mg X40TAB.,$11.699,59%,$4.787
666,GRUNENTHAL,ZALDIAR X20COM.REC.,$21.999,50%,$11.000
667,MEDIPHARM,ZALEDOR 100mg. GOTAS 10 ml.,$8.999,67%,$3.005
668,MEDIPHARM,ZALEDOR XR 100mg. 10 comprimidos,$22.299,25%,$16.724
669,MEDIPHARM,ZALEDOR XR 50mg. 20 comprimidos,$14.699,25%,$11.024
670,MEDIPHARM,ZALEDOR-P 30 Comprimidos Rec.,$11.299,68%,$3.582
671,CHILE,ZOPICLONA 7.5mg X30COM.,$4.299,87%,$546
672,LABORATORIO CHILE,ZOPINOM 3 MG 30 CR,$6.299,35%,$4.094
