,Descripción Medicamento,Laboratorio,Descuento,Precio referencial sin convenio 06/05/2019,Precio referencial con Descuento
567,CUROCEF 250mg/5ml S.O.X100ml,GLAXO,57%,$ 34.299,$ 14.749
568,CYCLOBIOL 1mg COMP.X30,SILESIA,20%,$ 9.599,$ 7.679
569,D HIPOGLOS 100g,ANDROMACO FARMA,20%,$ 6.593,$ 5.274
570,D HIPOGLOS 60g,ANDROMACO FARMA,20%,$ 5.499,$ 4.399
571,D HIPOGLOS EXTREME 60g,ANDROMACO FARMA,20%,$ 6.299,$ 5.039
572,D HIPOGLOS SPRAY 100g,ANDROMACO FARMA,20%,$ 5.699,$ 4.559
573,DACNEL 100mg COMP.X30,ANDROMACO FARMA,30%,$ 34.399,$ 24.079
574,DAGOTIL 3mg X30COM.,PHARMA INVESTI,93%,$ 23.099,$ 1.617
575,DAIVA 150/10 X1AMP,EUROFARMA CHILE S.A.,44%,$ 8.099,$ 4.535
576,DAKSOL (B) 100mg X28COM.,PHARMAVITA S.A.,20%,$ 35.999,$ 28.799
577,DAKSOL (B) 25mg X28COM.,PHARMAVITA S.A.,20%,$ 10.299,$ 8.239
578,DAKSOL (B) 50mg X28COM.,PHARMAVITA S.A.,20%,$ 20.999,$ 16.799
579,DAKSOL 200mg 28COM.,EXELTIS CHILE,20%,$ 49.599,$ 39.679
580,DAL X28COM.REC.,RECALCINE,25%,$ 13.599,$ 10.199
581,DALACIN C 300mg X16CAP.,PFIZER,34%,$ 41.699,$ 27.521
582,DALGIET (B) X28COM.,EXELTIS CHILE,20%,$ 18.099,$ 14.479
583,DAMIXAN TABL.RECUBIE 10 MG X 30,MEDIPHARM,33%,$ 15.299,$ 10.250
584,DANIELE (B) X28COM.REC,EXELTIS CHILE,20%,$ 12.399,$ 9.919
585,DAZOLIN ODT 10mg X30COM.DISP.,RECALCINE,80%,$ 81.999,$ 16.400
586,DAZOLIN ODT 5mg X30COM.DISP.,RECALCINE,76%,$ 74.999,$ 18.000
587,DAZOLIN SR 23mg X30COM.,RECALCINE,50%,$ 80.999,$ 40.500
588,DDAVP 0.1mg X30COM.,FERRING,9%,$ 34.699,$ 31.576
589,DEATEN 40MG. FCO. 30 COMP.,ANDROMACO FARMA,40%,$ 50.099,$ 30.059
590,DEATEN 80MG. CAJA 15 COMP.,ANDROMACO FARMA,40%,$ 43.799,$ 26.279
591,DEFLAMAT 1% GEL 60g,ANDROMACO FARMA,30%,$ 8.499,$ 5.949
592,DEPO MEDROL 80mg/ml X1F-A,PFIZER,41%,$ 41.999,$ 24.779
593,DESDOL X 20 COMPR.,MEDIPHARM,55%,$ 7.399,$ 3.330
594,DESLORATADINA 2.5mg/5ml JBE.X60ml,INTERPHARMA,57%,$ 4.299,$ 1.849
595,DESLORATADINA 2.5mg/5ml JBE.X60ml,GENERICOS,57%,$ 4.299,$ 1.849
596,DESLORATADINA 2.5mg/5ml JBE.X60ml,ByB FARMACEUTICA,57%,$ 4.299,$ 1.849
597,DESPEX (B) 5mg X30COM.REC.,LABORATORIO CHILE,46%,$ 9.999,$ 5.399
598,DETRUSITOL 2mg X28COM.REC.,PFIZER,25%,$ 26.999,$ 20.249
599,DETRUSITOL SR 4mg X30COM.REC.,PFIZER,28%,$ 42.099,$ 30.311
600,DEUCOALER 30 comprimidos,MEDIPHARM,25%,$ 6.099,$ 4.574
601,DEUCODOL FTE.200mg/5ml S.O.X120ml,MEDIPHARM,91%,$ 5.799,$ 522
602,DEUCODOL SUSPENSION x 120 ml,MEDIPHARM,40%,$ 3.999,$ 2.399
603,DEZARTAL (B) 30mg X20COM.,ANDROMACO FARMA,50%,$ 59.999,$ 30.000
604,DIAREN X20COM.,SAVAL S.A.,25%,$ 8.499,$ 6.374
605,DIAZEPAM (B) 10mg X20COM.,LABORATORIO CHILE,46%,$ 899,$ 485
606,DICLOFENACO 50mg X10COM.,GENERICOS,93%,$ 799,$ 56
607,DICLOFENACO 50mg X10COM.,ANDROMACO FARMA,93%,$ 799,$ 56
608,DICLOFENACO 50mg X10COM.,OPKO,93%,$ 799,$ 56
609,DICLOFENACO 50mg X10COM.,GENEXX,93%,$ 799,$ 56
610,DICLOFENACO 50mg X10COM.,MINTLAB,93%,$ 799,$ 56
611,DICLOFENACO 50mg X10COM.,BAGO,93%,$ 799,$ 56
612,DICLOFENACO 50mg X10COM.,RECALCINE,93%,$ 799,$ 56
613,DICLOFENACO 50mg X10COM.,LABORATORIO CHILE,93%,$ 799,$ 56
614,DICLOFENACO 75mg X5AMP.,GENERICOS,97%,$ 2.999,$ 90
615,DICLOFENACO 75mg X5AMP.,HOSPIFARMA,97%,$ 2.999,$ 90
616,DICLOFENACO 75mg X5AMP.,MINTLAB,97%,$ 2.999,$ 90
617,DICLOFENACO 75mg X5AMP.,RECALCINE,97%,$ 2.999,$ 90
618,DICLOFENACO 75mg X5AMP.,EUROFARMA CHILE S.A.,97%,$ 2.999,$ 90
619,DICLOFENACO 75mg X5AMP.,ANDROMACO FARMA,97%,$ 2.999,$ 90
620,DICLOFENACO 75mg X5AMP.,LABORATORIO CHILE,97%,$ 2.999,$ 90
621,DICLOFENACO PED.12.5mg X5SUP.,GENERICOS,63%,$ 1.199,$ 444
622,DICLOFENACO PED.12.5mg X5SUP.,PASTEUR,63%,$ 1.199,$ 444
623,DICLOFENACO PED.12.5mg X5SUP.,RECALCINE,63%,$ 1.199,$ 444
624,DICLOFENACO PED.12.5mg X5SUP.,ANDROMACO FARMA,63%,$ 1.199,$ 444
625,DICLOFENACO PED.12.5mg X5SUP.,LABORATORIO CHILE,63%,$ 1.199,$ 444
626,DIGOXINA (B) 0.25mg X30COM.,GENERICOS,64%,$ 2.099,$ 756
627,DIGOXINA (B) 0.25mg X30COM.,LABORATORIO CHILE,64%,$ 2.099,$ 756
628,DIOLASA COMP.X30,ANDROMACO FARMA,20%,$ 13.999,$ 11.199
629,DIOLASA VAINILLA COMP.X30,ANDROMACO FARMA,20%,$ 11.999,$ 9.599
630,DIPIRONA 1g/2ml X5AMP.,GENERICOS,39%,$ 1.999,$ 1.219
631,DIPIRONA 1g/2ml X5AMP.,LABORATORIO CHILE,39%,$ 1.999,$ 1.219
632,DIPIRONA 1g/2ml X5AMP.,RECALCINE,39%,$ 1.999,$ 1.219
633,DIPIRONA 1g/2ml X5AMP.,ANDROMACO FARMA,39%,$ 1.999,$ 1.219
634,DIPIRONA 300mg X20COM.,GENERICOS,72%,$ 1.299,$ 364
635,DIPIRONA 300mg X20COM.,LABORATORIO CHILE,72%,$ 1.299,$ 364
636,DIPIRONA 300mg X20COM.,MINTLAB,72%,$ 1.299,$ 364
637,DIPIRONA 300mg X20COM.,RECALCINE,72%,$ 1.299,$ 364
638,DIPIRONA 300mg X20COM.,VALMA,72%,$ 1.299,$ 364
639,DIPIRONA 300mg X20COM.,ANDROMACO FARMA,72%,$ 1.299,$ 364
640,DIRTOP 100 mg. x 5 comprimidos Rec.,MEDIPHARM,78%,$ 11.899,$ 2.618
641,DIRTOP 50 mg. x 1 comprimido BE,MEDIPHARM,31%,$ 1.499,$ 1.034
642,DIRTOP 50 mg. x 10 comprimidos BE,MEDIPHARM,59%,$ 11.799,$ 4.838
643,DIRTOP 50 mg. x 20 comprimidos Rec. BE,MEDIPHARM,58%,$ 13.899,$ 5.838
644,DIRTOP 50 mg. x 5 comprimidos,MEDIPHARM,68%,$ 5.990,$ 1.917
645,DIVANON 100mg X7OV.,TECNOFARMA LTDA.,25%,$ 20.899,$ 15.674
646,DIVARIL (B) 30mg X30COM.REC.,TECNOFARMA LTDA.,30%,$ 40.699,$ 28.489
647,DIXI 35 X21GRA.,RECALCINE,50%,$ 22.199,$ 11.100
648,DOFITEX 5mg COMP.X30,MEDIPHARM,25%,$ 9.199,$ 6.899
649,DOLIPRAN 2.5mg X6COM.,RECALCINE,25%,$ 11.999,$ 8.999
650,DOLOFAR 50 MG X 30 CAPS.,MEDIPHARM,59%,$ 4.999,$ 2.050
651,DOLONASE X 10 COMPR.REC.,MEDIPHARM,62%,$ 7.799,$ 2.964
652,DOMPERIDONA (B) 10mg X20COM.,GENERICOS,70%,$ 1.199,$ 360
653,DOMPERIDONA (B) 10mg X20COM.,LABORATORIO CHILE,70%,$ 1.199,$ 360
654,DOMPERIDONA (B) 10mg X20COM.,OPKO,70%,$ 1.199,$ 360
655,DOMPERIDONA (B) 10mg X20COM.,MINTLAB,70%,$ 1.199,$ 360
656,DOMPERIDONA (B) 10mg X20COM.,RECALCINE,70%,$ 1.199,$ 360
657,DOMPERIDONA (B) 10mg X20COM.,ANDROMACO FARMA,70%,$ 1.199,$ 360
658,DONABEL 2/1 COMP.X28,EXELTIS CHILE,20%,$ 19.999,$ 15.999
659,DONEGAL 10 Mg (I) B/E X 30 COM.REC.,MEDIPHARM,50%,$ 5.899,$ 2.950
660,DONEGAL GOTAS X 15 ML,MEDIPHARM,50%,$ 5.099,$ 2.550
661,DOOX 5 MG 30 COMP,LABORATORIO CHILE,48%,$ 20.599,$ 10.711
662,DOPABEN (B) 10mg X30COM.REC.,LABORATORIO CHILE,35%,$ 61.999,$ 40.299
663,DUCETEN 30mg X30CAP.,RECALCINE,35%,$ 18.899,$ 12.284
664,DUCETEN 60mg X30CAP.,RECALCINE,35%,$ 22.799,$ 14.819
665,DUODART 0.5mg X30CAP.,GLAXO,53%,$ 43.199,$ 20.304
666,DUPHALAC JBE.X150ml,ABBOTT CHILE,84%,$ 14.899,$ 2.384
667,DVIDA GTAS.10ml,ANDROMACO FARMA,35%,$ 17.999,$ 11.699
668,DVIDA MAX PVO.1g,ANDROMACO FARMA,39%,$ 19.899,$ 12.138
669,EBIXA (R) 10mg X28COM.REC.,LUNDBECK,25%,$ 66.599,$ 49.949
670,EBIXA (R) 10mg X56COM.REC.,LUNDBECK,25%,$ 92.699,$ 69.524
671,EBIXA 20mg X28COM.REC.,LUNDBECK,25%,$ 88.999,$ 66.749
672,ECITALEX FT 10mg COMP.X30,ANDROMACO FARMA,30%,$ 11.999,$ 8.399
673,ECOTRIN (R) 100mg X28COM.REC.,GLAXO,66%,$ 8.999,$ 3.060
674,ECTIBAN 10MG 30CR,LABORATORIO CHILE,35%,$ 15.299,$ 9.944
675,ECTIEN XR 150 MG X 30 CAPSULAS,LABORATORIO CHILE,35%,$ 39.499,$ 25.674
676,ECTIEN XR 37.5 MG X 30 CAPSULAS,LABORATORIO CHILE,35%,$ 15.499,$ 10.074
677,ECTIEN XR 75 MG X 30 CAPSULAS,LABORATORIO CHILE,55%,$ 21.099,$ 9.495
678,EFEXOR XR (R) 75mg X30CAP.,PFIZER,91%,$ 60.599,$ 5.454
679,ELATER CREMA X 15 G,MEDIPHARM,43%,$ 5.899,$ 3.362
680,ELCAL 320mg CAPS.X30,ANDROMACO FARMA,30%,$ 10.299,$ 7.209
681,ELCAL CI COMP.X60,ANDROMACO FARMA,30%,$ 15.699,$ 10.989
682,ELCAL D 500/800 CAPS.X60,ANDROMACO FARMA,30%,$ 13.299,$ 9.309
683,ELCAL D CAPS.X30,ANDROMACO FARMA,30%,$ 7.799,$ 5.459
684,ELCAL D CAPS.X60,ANDROMACO FARMA,30%,$ 9.499,$ 6.649
685,ELCAL D FTE.CAPS.X30,ANDROMACO FARMA,30%,$ 8.999,$ 6.299
686,ELCAL D FTE.CAPS.X60,ANDROMACO FARMA,30%,$ 11.199,$ 7.839
687,ELCAL D PLUS CAPS.X30,ANDROMACO FARMA,30%,$ 12.399,$ 8.679
688,ELCAL D PLUS CAPS.X60,ANDROMACO FARMA,30%,$ 12.999,$ 9.099
689,ELCAL D SUPRA SOB.X30,ANDROMACO FARMA,30%,$ 18.999,$ 13.299
690,ELCAL FTE 450mg CAPS.X30,ANDROMACO FARMA,30%,$ 6.699,$ 4.689
691,ELCAL KID JBE.180ml,ANDROMACO FARMA,30%,$ 12.299,$ 8.609
692,ELEMIGROL 40MG. CAJA 4COMP. REC.,ANDROMACO FARMA,40%,$ 16.499,$ 9.899
693,ELEVAL 100mg X30COM.REC.,RECALCINE,25%,$ 36.999,$ 27.749
694,ELEVAL 50mg X30COM.REC.,RECALCINE,25%,$ 19.299,$ 14.474
695,ELEVAL 50mg X60COM.REC.,RECALCINE,25%,$ 33.999,$ 25.499
696,ELIQUIS 5mg X60COM.,PFIZER,30%,$ 78.699,$ 55.089
697,ELITOS ET FTE.JBE.120ml,ANDROMACO FARMA,30%,$ 16.999,$ 11.899
698,ELITOS ET JBE.120ml,ANDROMACO FARMA,30%,$ 16.999,$ 11.899
699,ELONTRIL XL 150mg X30COM.PROL.,GLAXO,92%,$ 37.499,$ 3.000
700,EMERGEN 100MG 30C,LABORATORIO CHILE,35%,$ 36.999,$ 24.049
701,EMERGEN 50MG 30CR,LABORATORIO CHILE,35%,$ 23.999,$ 15.599
702,EMEZOL 40mg CAPS.X30,ANDROMACO FARMA,30%,$ 24.099,$ 16.869
703,ENALAPRIL 10mg X20COM.,GENERICOS,86%,$ 899,$ 126
704,ENALAPRIL 10mg X20COM.,ANDROMACO FARMA,86%,$ 899,$ 126
705,ENALAPRIL 10mg X20COM.,OPKO,86%,$ 899,$ 126
706,ENALAPRIL 10mg X20COM.,GENEXX,86%,$ 899,$ 126
707,ENALAPRIL 10mg X20COM.,MINTLAB,86%,$ 899,$ 126
708,ENALAPRIL 10mg X20COM.,RECALCINE,86%,$ 899,$ 126
709,ENALAPRIL 10mg X20COM.,SANITAS S.A.,86%,$ 899,$ 126
710,ENALAPRIL 10mg X20COM.,LABORATORIO CHILE,86%,$ 899,$ 126
711,ENALAPRIL 5mg COMP.X20,GENERICOS,30%,$ 1.499,$ 1.049
712,ENALAPRIL 5mg X20COM.,HOSPIFARMA,30%,$ 1.499,$ 1.049
713,ENALTEN-D 10/25 COMP.X30,SAVAL S.A.,25%,$ 22.999,$ 17.249
714,EPRAL 20mg X30CAP.,LABORATORIO CHILE,20%,$ 15.499,$ 12.399
715,EPRAL 40mg X30CAP.,LABORATORIO CHILE,35%,$ 25.999,$ 16.899
716,ESOMEPRAZOL (B) 20mg CAP.X30,GENERICOS,30%,$ 5.399,$ 3.779
717,ESOMEPRAZOL (B) 20mg CAP.X30,ByB FARMACEUTICA,30%,$ 5.399,$ 3.779
718,ESOMEPRAZOL (B) 20mg CAP.X30,HOSPIFARMA,30%,$ 5.399,$ 3.779
719,ESOMEPRAZOL (B) 20mg CAP.X30,PRATER,30%,$ 5.399,$ 3.779
720,ESOMEPRAZOL (B) 40mg CAP.X30,GENERICOS,30%,$ 7.099,$ 4.969
721,ESOMEPRAZOL (B) 40mg CAP.X30,HOSPIFARMA,30%,$ 7.099,$ 4.969
722,ESOMEPRAZOL (B) 40mg CAP.X30,PRATER,30%,$ 7.099,$ 4.969
723,ESOMEPRAZOL (B) 40mg CAP.X30,GENERICOS,30%,$ 6.299,$ 4.409
724,ESOMEPRAZOL (B) 40mg CAP.X30,OPKO,30%,$ 7.099,$ 4.969
725,ESOMEPRAZOL (B) 40mg X30CAP.,SEVEN PHARMA CHILE SPA,30%,$ 7.099,$ 4.969
726,ESPERCIL 500mg X20COM.REC.,GRUNENTHAL,42%,$ 59.999,$ 34.799
727,ESPIRONOLACTONA 25mg X20COM.,GENERICOS,75%,$ 2.099,$ 525
728,ESPIRONOLACTONA 25mg X20COM.,LABORATORIO CHILE,75%,$ 2.099,$ 525
729,ESPIRONOLACTONA 25mg X20COM.,MINTLAB,75%,$ 2.099,$ 525
730,ESPIRONOLACTONA 25mg X20COM.,RECALCINE,75%,$ 2.099,$ 525
731,ESPIRONOLACTONA 25mg X20COM.,ANDROMACO FARMA,75%,$ 2.099,$ 525
732,ESZOP 3 MG 30 COMP. REC,SILESIA,40%,$ 18.799,$ 11.279
733,EUFRENIM (B) 100mg X30COM.REC.,NOVARTIS CHILE S.A.,84%,$ 21.599,$ 3.456
734,EURAX 10% CR.X60g,NOVARTIS CHILE S.A.,33%,$ 9.499,$ 6.364
735,EUROVIR 800mg X35COM.,SAVAL S.A.,15%,$ 54.499,$ 46.324
736,EUTEBROL 10mg X30COM.,TECNOFARMA LTDA.,30%,$ 37.499,$ 26.249
737,EUTEBROL 10mg X60COM.REC.,TECNOFARMA LTDA.,30%,$ 47.099,$ 32.969
738,EUTEBROL 20mg X30COM.,TECNOFARMA LTDA.,30%,$ 56.999,$ 39.899
739,EUTIROX (R) 137mcg X50COM.,MERCK SA CHILE,54%,$ 15.699,$ 7.222
740,EUTIROX (R) 150mcg X50COM.,MERCK SA CHILE,44%,$ 12.999,$ 7.279
741,EUTIROX (R) 175mcg X50COM.,MERCK SA CHILE,56%,$ 18.099,$ 7.964
742,EUTIROX (R) 200mcg X50COM.,MERCK SA CHILE,53%,$ 18.799,$ 8.836
743,EVADOL XR 200mg CAPS.X30,ANDROMACO FARMA,48%,$ 24.999,$ 12.999
744,EVIMAL 10 MG x 30 COMP,ANDROMACO FARMA,40%,$ 72.099,$ 43.259
745,EXELON (R) 1.5mg X28CAP.,NOVARTIS CHILE S.A.,30%,$ 75.799,$ 53.059
746,EXELON (R) 3mg X28CAP.,NOVARTIS CHILE S.A.,30%,$ 71.599,$ 50.119
747,EXELON (R) 4.5mg X28CAP.,NOVARTIS CHILE S.A.,30%,$ 71.499,$ 50.049
748,EXELON (R) 6mg X28CAP.,NOVARTIS CHILE S.A.,30%,$ 71.499,$ 50.049
749,EXELON 10 X30PCHE.,NOVARTIS CHILE S.A.,30%,$ 138.099,$ 96.669
750,EXELON 15 X30PCHE.,NOVARTIS CHILE S.A.,30%,$ 129.399,$ 90.579
751,EXELON 5 X30PCHE.,NOVARTIS CHILE S.A.,30%,$ 122.899,$ 86.029
752,EXFORGE 10/160 X28COM.REC.,NOVARTIS CHILE S.A.,20%,$ 38.899,$ 31.119
753,EXFORGE 10/160 X56COM.REC.,NOVARTIS CHILE S.A.,20%,$ 60.299,$ 48.239
754,EXFORGE 10/320 X28COM.REC.,NOVARTIS CHILE S.A.,20%,$ 37.499,$ 29.999
755,EXFORGE 5/160 X28COM.REC.,NOVARTIS CHILE S.A.,20%,$ 39.999,$ 31.999
756,EXFORGE 5/160 X56COM.REC.,NOVARTIS CHILE S.A.,20%,$ 73.499,$ 58.799
757,EXFORGE 5/320 X28COM.REC.,NOVARTIS CHILE S.A.,20%,$ 37.499,$ 29.999
758,EXFORGE 5/320 X56COM.REC.,NOVARTIS CHILE S.A.,20%,$ 58.199,$ 46.559
759,EXFORGE 5/80 X56COM.REC.,NOVARTIS CHILE S.A.,20%,$ 56.399,$ 45.119
760,EXFORGE D 10/160/12.5 X28COM.REC.,NOVARTIS CHILE S.A.,20%,$ 37.199,$ 29.759
761,EXFORGE D 10/320/25 X28COM.REC.,NOVARTIS CHILE S.A.,20%,$ 37.999,$ 30.399
762,EXFORGE D 5/160/12.5 X28COM.REC.,NOVARTIS CHILE S.A.,20%,$ 49.299,$ 39.439
763,EXTOSEN JBE.X100ml,SANITAS S.A.,86%,$ 5.999,$ 840
764,FAMIDAL CR.VAG.60g,ANDROMACO FARMA,30%,$ 19.999,$ 13.999
765,FAMIDAL DUAL CR.20g+10OVULO,ANDROMACO FARMA,30%,$ 23.999,$ 16.799
766,FAMIDAL OVUL.VAG.X10,ANDROMACO FARMA,30%,$ 22.399,$ 15.679
767,FAMOTIDINA 40mg X10COM.,GENERICOS,76%,$ 799,$ 192
768,FAMOTIDINA 40mg X10COM.,LABORATORIO CHILE,76%,$ 799,$ 192
769,FAMOTIDINA 40mg X10COM.,OPKO,76%,$ 799,$ 192
770,FAMOTIDINA 40mg X10COM.,GENEXX,76%,$ 799,$ 192
771,FAMOTIDINA 40mg X10COM.,MINTLAB,76%,$ 799,$ 192
772,FAMOTIDINA 40mg X10COM.,BAGO,76%,$ 799,$ 192
773,FAMOTIDINA 40mg X10COM.,RECALCINE,76%,$ 799,$ 192
774,FAMOTIDINA 40mg X10COM.,SANITAS S.A.,76%,$ 799,$ 192
775,FAMOTIDINA 40mg X10COM.,ANDROMACO FARMA,76%,$ 799,$ 192
776,FEMELLE 20 FOL X28COM.REC.,RECALCINE,25%,$ 20.199,$ 15.149
777,FEMELLE 20 X28COM.REC.,RECALCINE,25%,$ 14.499,$ 10.874
778,FEMELLE FOL X28COM.REC.,RECALCINE,25%,$ 19.999,$ 14.999
779,FEMELLE X28COM.REC.,RECALCINE,78%,$ 18.199,$ 4.004
780,FEMIPLUS 20 CD COMP.X28,EUROFARMA CHILE S.A.,38%,$ 15.799,$ 9.795
781,FEMIPLUS CD COMP.X28,EUROFARMA CHILE S.A.,30%,$ 16.299,$ 11.409
782,FENITOINA (B) 100mg X30COM.,GENERICOS,54%,$ 1.499,$ 690
783,FENITOINA (B) 100mg X30COM.,LABORATORIO CHILE,54%,$ 1.499,$ 690
784,FENITOINA (B) 100mg X30COM.,MINTLAB,54%,$ 1.499,$ 690
785,FENITOINA (B) 100mg X30COM.,RECALCINE,54%,$ 1.499,$ 690
786,FENITOINA (B) 100mg X30COM.,ANDROMACO FARMA,54%,$ 1.499,$ 690
787,FENOBARBITAL 100mg X10COM.,ANDROMACO GENERICOS,75%,$ 6.399,$ 1.600
788,FERRIGOT 25mg/ml GTAS.X30ml,PASTEUR,88%,$ 6.199,$ 744
789,FINDALER JARABE X 100 ML,MEDIPHARM,54%,$ 9.499,$ 4.370
790,FINDALER-D x 20 cápsulas,MEDIPHARM,25%,$ 10.599,$ 7.949
791,FINDER SH. X 100ML,MEDIPHARM,52%,$ 12.799,$ 6.144
792,FISIOLIMP LN.X100ml,PASTEUR,33%,$ 14.999,$ 10.049
793,FLAPEX 4% GTAS.15ml,ANDROMACO FARMA,20%,$ 13.199,$ 10.559
794,FLAPEX E CAPS.X10,ANDROMACO FARMA,20%,$ 4.499,$ 3.599
795,FLAPEX E CAPS.X20,ANDROMACO FARMA,20%,$ 7.299,$ 5.839
796,FLEMEX J.A.T.FTE.JBE.X120ml,RECALCINE,25%,$ 13.799,$ 10.349
797,FLEMEX JAT JBE.X120ml,RECALCINE,25%,$ 13.099,$ 9.824
798,FLIXONASE 50mcg INH.X120DS.,GLAXO,92%,$ 39.699,$ 3.176
799,FLIXOTIDE LF 125mcg INH.X120DS.,GLAXO,63%,$ 63.199,$ 23.384
800,FLOGOFIN 100mg X20COM.,LABORATORIO CHILE,75%,$ 5.599,$ 1.400
801,FLUCLOXACILINA 250mg/5ml S.O.X60ml,GENERICOS,66%,$ 4.599,$ 1.564
802,FLUCLOXACILINA 250mg/5ml S.O.X60ml,MINTLAB,66%,$ 4.599,$ 1.564
803,FLUCLOXACILINA 250mg/5ml S.O.X60ml,RECALCINE,66%,$ 4.599,$ 1.564
804,FLUCLOXACILINA 250mg/5ml S.O.X60ml,ANDROMACO FARMA,66%,$ 4.599,$ 1.564
805,FLUCLOXACILINA 250mg/5ml S.O.X60ml,LABORATORIO CHILE,66%,$ 4.599,$ 1.564
806,FLUCONAZOL 150mg X4CAP.,GENERICOS,62%,$ 6.699,$ 2.546
807,FLUCONAZOL 150mg X4CAP.,INTERPHARMA,62%,$ 6.699,$ 2.546
808,FLUCTIN (B) 150mg X4CAP.,RECALCINE,91%,$ 22.199,$ 1.998
809,FLUIDASA 100mg X10SOB.,RECALCINE,20%,$ 4.499,$ 3.599
810,FLUIDASA 600mg X10SOB.,RECALCINE,20%,$ 4.799,$ 3.839
811,FLUOXETINA (B) 20mg X20COM.,GENERICOS,79%,$ 1.399,$ 294
812,FLUOXETINA (B) 20mg X20COM.,LABORATORIO CHILE,79%,$ 1.399,$ 294
813,FLUOXETINA (B) 20mg X20COM.,GENEXX,79%,$ 1.399,$ 294
814,FLUOXETINA (B) 20mg X20COM.,MINTLAB,79%,$ 1.399,$ 294
815,FLUOXETINA (B) 20mg X20COM.,BAGO,79%,$ 1.399,$ 294
816,FLUOXETINA (B) 20mg X20COM.,RECALCINE,79%,$ 1.399,$ 294
817,FLUOXETINA (B) 20mg X20COM.,ANDROMACO FARMA,79%,$ 1.399,$ 294
818,FLUSONA 125mcg INH.X120DS.,RECALCINE,83%,$ 28.499,$ 4.845
819,FLUTAMIDA 250mg X90COM.,GADOR,52%,$ 21.999,$ 10.560
820,FLUTAMIDA 250mg X90COM.,GENERICOS,52%,$ 21.999,$ 10.560
821,FLUYET (B) 75mg X30COM.,PHARMAVITA S.A.,79%,$ 19.999,$ 4.200
822,FOLACID 5mg COMP.X30,ITF (EX LABOMED),81%,$ 4.199,$ 798
823,FOLISANIN 1mg X30COM.,SANITAS S.A.,87%,$ 3.899,$ 507
824,FOLVIT 1mg COMP.X30,ANDROMACO FARMA,30%,$ 5.899,$ 4.129
825,FOLVIT 5mg COMP.X30,ANDROMACO FARMA,30%,$ 5.999,$ 4.199
826,FORXIGA 10mg X28COM.,ASTRA ZENECA DE CHILE LTDA.,46%,$ 38.999,$ 21.059
827,FRAGMIN 10000UI/4ml X1JP.,PFIZER,60%,$ 12.890,$ 5.156
828,FRAGMIN 2500UI/0.2ml XJP.,PFIZER,83%,$ 8.299,$ 1.411
829,FRENALER D JBE.X100ml,LABORATORIO CHILE,20%,$ 13.999,$ 11.199
830,FRENALER D X10CAP.LIB.SOST.,LABORATORIO CHILE,20%,$ 17.599,$ 14.079
831,FRENALER D X20CAP.LIB.SOST.,LABORATORIO CHILE,20%,$ 21.199,$ 16.959
832,FUROKAL 250mg X100CAP.,RECALCINE,25%,$ 70.999,$ 53.249
833,FUROKAL 500mg X50CAP.,RECALCINE,25%,$ 77.999,$ 58.499
834,FUROSEMIDA (B) 40mg X12COM.,GENERICOS,80%,$ 1.099,$ 220
835,FUROSEMIDA (B) 40mg X12COM.,LABORATORIO CHILE,80%,$ 1.099,$ 220
836,FUROSEMIDA (B) 40mg X12COM.,MINTLAB,80%,$ 1.099,$ 220
837,FUROSEMIDA (B) 40mg X12COM.,RECALCINE,80%,$ 1.099,$ 220
838,FUROSEMIDA (B) 40mg X12COM.,SANITAS S.A.,80%,$ 1.099,$ 220
839,FUROSEMIDA (B) 40mg X12COM.,ANDROMACO FARMA,80%,$ 1.099,$ 220
840,GALVUS 50mg X28COM.,NOVARTIS CHILE S.A.,61%,$ 25.999,$ 10.140
841,GALVUS 50mg X56COM.,NOVARTIS CHILE S.A.,20%,$ 40.499,$ 32.399
842,GALVUS MET 50/1000 X28COM.REC.,NOVARTIS CHILE S.A.,20%,$ 26.999,$ 21.599
843,GALVUS MET 50/1000 X56COM.REC.,NOVARTIS CHILE S.A.,20%,$ 46.399,$ 37.119
844,GALVUS MET 50/500 X28COM.REC.,NOVARTIS CHILE S.A.,55%,$ 24.899,$ 11.205
845,GALVUS MET 50/500 X56COM.REC.,NOVARTIS CHILE S.A.,20%,$ 45.899,$ 36.719
846,GALVUS MET 50/850 X28COM.REC.,NOVARTIS CHILE S.A.,65%,$ 31.999,$ 11.200
847,GALVUS MET 50/850 X56COM.REC.,NOVARTIS CHILE S.A.,20%,$ 45.899,$ 36.719
848,GAMALATE B6 30GRAG,ANDROMACO FARMA,40%,$ 20.999,$ 12.599
849,GAMALATE B6 60GRAG.,ANDROMACO FARMA,40%,$ 33.299,$ 19.979
850,GAMALATE B6 JBE.80ML.,ANDROMACO FARMA,45%,$ 24.999,$ 13.749
851,GASORBOL GTAS.15ml,ANDROMACO FARMA,30%,$ 17.099,$ 11.969
852,GASTRIDE 30mg X28COM.,LABORATORIO CHILE,20%,$ 19.999,$ 15.999
853,GASTRODINE 20 mg. x 28 comprimidos,MEDIPHARM,51%,$ 15.299,$ 7.497
854,GEMFIBROZILO (B) 300mg X30COM.REC.,LABORATORIO CHILE,50%,$ 3.699,$ 1.850
855,GEMFIBROZILO 300mg COMP.X30,GENERICOS,50%,$ 3.699,$ 1.850
